[09:34:18]	GamingTheGames has connected.
[09:36:04]	GamingTheGames loaded the character 'CCA.C17-UNION.i5.31328'
[09:36:32]	CCA.C17-UNION.i5.31328 used command '/Radio 11-99'.
[09:36:46]	CCA.C17-UNION.i5.31328 used command '/Radio help'.
[09:36:51]	CCA.C17-UNION.i5.31328 used command '/Radio 11-99'.
[09:37:04]	GamingTheGames (STEAM_0:1:78969471) has disconnected.
[09:56:59]	elkay has connected.
[09:57:49]	elkay loaded the character 'CCA.C17-UNION.i5.74645'
[10:02:49]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:12:49]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:13:47]	CCA.C17-UNION.i5.74645 opened the '' #203 container.
[10:13:51]	CCA.C17-UNION.i5.74645 closed the '' #203 container.
[10:13:52]	CCA.C17-UNION.i5.74645 opened the '' #203 container.
[10:13:55]	CCA.C17-UNION.i5.74645 closed the '' #203 container.
[10:14:24]	elkay (STEAM_0:1:76095374) has disconnected.
[10:16:36]	elkay has connected.
[10:17:06]	elkay loaded the character 'CCA.C17-UNION.i5.74645'
[10:18:21]	CCA.C17-UNION.i5.74645 used the 'Shopkeeper' vendor.
[10:18:27]	CCA.C17-UNION.i5.74645 has lost 4 tokens.
[10:18:27]	CCA.C17-UNION.i5.74645 has gained a 'Bagel' #4760.
[10:18:33]	CCA.C17-UNION.i5.74645 ran 'Consume' on item 'Bagel' (#4760)
[10:21:00]	CCA.C17-UNION.i5.74645 has taken 27 damage from worldspawn.
[10:21:13]	CCA.C17-UNION.i5.74645 has taken 80 damage from worldspawn.
[10:21:13]	worldspawn has killed CCA.C17-UNION.i5.74645.
[10:22:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:27:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:32:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:33:03]	CCA.C17-UNION.i5.74645 used command '/ActMotion'.
[10:33:13]	CCA.C17-UNION.i5.74645 used command '/ActThreat'.
[10:33:29]	CCA.C17-UNION.i5.74645 used the 'Armory Supply' vendor.
[10:33:52]	CCA.C17-UNION.i5.74645 used the 'Armory Supply' vendor.
[10:37:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:37:53]	CCA.C17-UNION.i5.74645 opened the '' #229 container.
[10:38:07]	CCA.C17-UNION.i5.74645 closed the '' #229 container.
[10:38:13]	CCA.C17-UNION.i5.74645 opened the '' #23 container.
[10:38:32]	CCA.C17-UNION.i5.74645 closed the '' #23 container.
[10:42:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[10:46:39]	CCA.C17-UNION.i5.74645 used command '/kickdoor'.
[10:47:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:04:20]	Dilly_ has connected.
[11:05:02]	Dilly_ loaded the character 'Carson Copper'
[11:06:22]	[LOOC] Carson Copper: *oh great can man*
[11:06:45]	Carson Copper has lost 5 tokens.
[11:07:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:07:33]	[LOOC] CCA.C17-UNION.i5.74645: the shit me and doughnut did last night lmao
[11:07:50]	[LOOC] Carson Copper: I can tell judging from the pac it was pretty chaotic 
[11:08:17]	Carson Copper ran 'take' on item 'Consulate Water' (#4760)
[11:08:17]	Carson Copper has gained a 'Consulate Water' #4760.
[11:08:21]	Carson Copper used command '/CharFallOver 1'.
[11:08:26]	[LOOC] CCA.C17-UNION.i5.74645: oh
[11:10:34]	Dilly_ loaded the character 'CCA.C17-UNION.i3.93347'
[11:12:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:17:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:22:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:23:53]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[11:24:02]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[11:26:41]	[LOOC] CCA.C17-UNION.i3.93347: ew
