[04:45:06]	nicoida1990 has connected.
[04:45:35]	nicoida1990 (STEAM_0:1:548052735) has disconnected.
[12:20:28]	DRD has connected.
[12:23:24]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[12:23:41]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gate_door02a.mdl'.
[12:24:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gate_door02a.mdl'.
[12:24:48]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[12:25:02]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:02]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:04]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:06]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:06]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:11]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:16]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:18]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:20]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:21]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:22]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:30]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:59]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:25:59]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:00]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:01]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:02]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:06]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:07]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:11]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:13]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:20]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:23]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:27]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:30]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:34]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:38]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[12:26:44]	FB|| light ROOM has connected.
[12:27:29]	FB|| light ROOM loaded the character 'PFC Mitchell 'Lazzy' Lazarus'
[12:28:22]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_curve360x2.mdl'.
[12:28:24]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[12:28:24]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:28:36]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:29:56]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_dome360.mdl'.
[12:30:04]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate4x4.mdl'.
[12:30:15]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x2.mdl'.
[12:30:30]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[12:30:40]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_curve360x1.mdl'.
[12:30:51]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/glass/glass_dome360.mdl'.
[12:33:24]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[12:37:27]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[12:37:30]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[12:37:52]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[12:37:56]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[12:38:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[12:38:19]	CCA.C17-GRID.i1.59212 has taken 10 damage from CCA.C17-GRID.i1.59212.
[12:38:24]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[12:38:40]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected (timed out).
[12:39:24]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone001a.mdl'.
[12:39:42]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone002a.mdl'.
[12:40:02]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:40:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[12:41:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnituretable002a.mdl'.
[12:41:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnituretable002a.mdl'.
[12:41:38]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnituretable002a.mdl'.
[12:41:38]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnituretable002a.mdl'.
[12:41:40]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnituretable002a.mdl'.
[12:41:40]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnituretable002a.mdl'.
[12:41:42]	FB|| light ROOM has connected.
[12:42:16]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:18]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:18]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:20]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:20]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:21]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:21]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gravestone004a.mdl'.
[12:42:28]	FB|| light ROOM loaded the character 'PFC Mitchell 'Lazzy' Lazarus'
[12:42:31]	PFC Mitchell 'Lazzy' Lazarus has taken 10 damage from prop_physics.
[12:42:31]	PFC Mitchell 'Lazzy' Lazarus has taken 5 damage from prop_physics.
[12:42:31]	PFC Mitchell 'Lazzy' Lazarus has taken 5 damage from prop_physics.
[12:42:31]	PFC Mitchell 'Lazzy' Lazarus has taken 10 damage from prop_physics.
[12:42:31]	PFC Mitchell 'Lazzy' Lazarus has taken 5 damage from prop_physics.
[12:42:35]	PFC Mitchell 'Lazzy' Lazarus has taken 100 damage from prop_physics.
[12:42:35]	prop_physics has killed PFC Mitchell 'Lazzy' Lazarus.
[12:43:21]	PFC Mitchell 'Lazzy' Lazarus ran 'Equip' on item 'MP7' (#6828)
[12:43:24]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[12:43:27]	PFC Mitchell 'Lazzy' Lazarus ran 'drop' on item 'Combat Knife' (#6331)
