[01:18:33]	UNKNOWN has connected.
[01:20:14]	UNKNOWN created the character 'galangar'
[01:20:15]	UNKNOWN loaded the character 'galangar'
[01:21:02]	UNKNOWN (STEAM_0:0:198379480) has disconnected.
[02:37:49]	Progen has connected.
[02:40:06]	Progen created the character 'Lars Johnson'
[02:40:06]	Lars Johnson has gained a 'Suitcase' #21459.
[02:40:06]	Lars Johnson has gained a 'Relocation Coupon' #21460.
[02:40:06]	Lars Johnson has gained a 'Green Citizen Suit' #21461.
[02:40:06]	Lars Johnson has gained a 'Citizen Filter' #21462.
[02:40:06]	Progen loaded the character 'Lars Johnson'
[02:40:23]	Lars Johnson ran 'Equip' on item 'Green Citizen Suit' (#21461)
[02:40:26]	Lars Johnson ran 'equip' on item 'Citizen Filter' (#21462)
[02:41:37]	Lars Johnson used command '/Content'.
[02:48:32]	Progen created the character 'Laeao'
[02:48:39]	Progen loaded the character 'Laeao'
[02:49:48]	Progen (STEAM_0:0:104469312) has disconnected.
