[00:01:09]	Mrchicken has connected.
[00:01:36]	matt saton loaded the character 'OTA.C17-NOVA.20019'
[00:01:38]	OTA.C17-NOVA.20019 entered observer.
[00:03:05]	[OOC] Thomas Banks: hello
[00:03:55]	Zurlox has connected.
[00:04:02]	[OOC] Thomas Banks: hey Q you said your a bit stressed i could help out if you want im not gonna do anything stupid
[00:04:10]	KirtsteepAC has connected.
[00:04:31]	TheBloodMaster has connected.
[00:05:04]	PenguinXD has connected.
[00:05:06]	bruh moment has connected.
[00:05:28]	bruh moment loaded the character 'Hans DuBist'
[00:05:33]	[OOC] Hans DuBist: wussup motha fuckas
[00:05:48]	[OOC] Thomas Banks: hey q my doors still locked
[00:05:49]	[OOC] Hans DuBist: only two motha fuckas on?
[00:05:50]	Zurlox created the character 'Oscar McArthur'
[00:05:51]	Zapper has connected.
[00:05:51]	Zurlox loaded the character 'Oscar McArthur'
[00:06:00]	PenguinXD loaded the character 'Thomas Farrer'
[00:06:06]	[OOC] Thomas Farrer: hey guys i hacked an unban
[00:06:13]	[OOC] Hans DuBist: uh oh
[00:06:26]	[OOC] Oscar McArthur: i cant leave spawn
[00:06:31]	[LOOC] Hans DuBist: yo how u get that
[00:06:35]	Zapper loaded the character 'The Consul'
[00:06:35]	[LOOC] Hans DuBist: epic suit
[00:06:37]	OTA.C17-NOVA.20019 has gained 40 tokens.
[00:06:38]	Mr. Chief has connected.
[00:06:43]	[LOOC] Thomas Farrer: uh
[00:06:44]	OTA.C17-NOVA.20019 exited observer at their location.
[00:06:45]	[LOOC] Thomas Farrer: it's cwu
[00:06:47]	[LOOC] OTA.C17-NOVA.20019: sorry,i  gotta print you an ID
[00:06:47]	OTA.C17-NOVA.20019 entered observer.
[00:06:48]	OTA.C17-NOVA.20019 exited observer at their location.
[00:06:50]	[LOOC] Oscar McArthur: np
[00:06:51]	[LOOC] Hans DuBist: how to get CWU?
[00:06:54]	[LOOC] OTA.C17-NOVA.20019: i'll take your relocation coupon
[00:06:56]	[LOOC] Thomas Farrer: i applied 
[00:06:57]	The Consul entered observer.
[00:07:00]	[LOOC] Hans DuBist: huh
[00:07:04]	[LOOC] Oscar McArthur: hm i dont see it in my inv one sec
[00:07:11]	[LOOC] Oscar McArthur: thats weird my inv is fucked
[00:07:15]	[LOOC] OTA.C17-NOVA.20019: what's up with it?
[00:07:21]	The Consul exited observer at their location.
[00:07:21]	[OOC] Hans DuBist: me, going to shoot up the CEO of Racisim's school be like
[00:07:24]	[LOOC] Oscar McArthur: i dont see the coupon but this character is fresh
[00:07:25]	[OOC] OTA.C17-NOVA.20019: no
[00:07:27]	The Consul entered observer.
[00:07:28]	[OOC] Hans DuBist: ok
[00:07:30]	[OOC] OTA.C17-NOVA.20019: we don't joke aobut that
[00:07:34]	[OOC] Thomas Farrer: oh i need to go, cya tomorrow
[00:07:35]	[OOC] Thomas Banks: my doors locked q
[00:07:37]	[LOOC] OTA.C17-NOVA.20019: weird. Did you join like right as the server crasheD?
[00:07:44]	The Consul exited observer at their location.
[00:07:47]	[LOOC] Oscar McArthur: maybe, ill try to make a new char
[00:07:48]	[OOC] Thomas Banks: ok have nice night
[00:07:49]	Oscar McArthur used command '/CharDesc'.
[00:07:51]	Oscar McArthur used command '/CharDesc He is a young american man, 5'10 in height. Short brown hair, light blue eyes. Wears a usual City 17 Uniform'.
[00:07:53]	[OOC] OTA.C17-NOVA.20019: you too
[00:07:54]	Zapper loaded the character 'James Jacob'
[00:07:57]	James Jacob entered observer.
[00:07:58]	James Jacob exited observer at their location.
