[06:09:39]	sansgranie has connected.
[06:17:36]	sansgranie created the character 'Xi Jin Tong'
[06:17:36]	Xi Jin Tong has gained a 'Suitcase' #10252.
[06:17:36]	Xi Jin Tong has gained a 'Relocation Coupon' #10253.
[06:17:36]	Xi Jin Tong has gained a 'Cyclopic Citizen Suit' #10254.
[06:17:36]	Xi Jin Tong has gained a 'Citizen Filter' #10255.
[06:17:36]	sansgranie loaded the character 'Xi Jin Tong'
[06:17:54]	Xi Jin Tong ran 'Equip' on item 'Cyclopic Citizen Suit' (#10254)
[06:17:56]	Xi Jin Tong ran 'equip' on item 'Citizen Filter' (#10255)
[06:18:19]	Xi Jin Tong ran 'View' on item 'Notepad' (#9911)
[06:19:22]	Xi Jin Tong ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#10254)
[06:19:36]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:37]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:38]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:39]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:39]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:40]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:41]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:42]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:42]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:43]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:44]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:45]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:45]	Xi Jin Tong has taken 1 damage from worldspawn.
[06:19:46]	Xi Jin Tong ran 'Equip' on item 'Cyclopic Citizen Suit' (#10254)
[06:19:53]	Xi Jin Tong used command '/CharFallOver'.
[06:19:55]	Xi Jin Tong used command '/CharGetUp'.
[06:19:56]	Xi Jin Tong used command '/CharGetUp'.
[06:19:56]	Xi Jin Tong used command '/CharGetUp'.
[06:19:59]	Xi Jin Tong used command '/CharGetUp'.
[06:20:13]	sansgranie (STEAM_0:0:580233524) has disconnected.
