[01:45:14]	japan1793 has connected.
[01:46:45]	japan1793 (STEAM_0:1:534723608) has disconnected.
[06:15:05]	Amiro has connected.
[06:16:06]	Amiro created the character 'cock lover'
[06:16:06]	cock lover has gained a 'Suitcase' #10255.
[06:16:06]	cock lover has gained a 'Relocation Coupon' #10256.
[06:16:06]	cock lover has gained a 'Green Citizen Suit' #10257.
[06:16:06]	cock lover has gained a 'Citizen Filter' #10258.
[06:16:06]	Amiro loaded the character 'cock lover'
[06:16:21]	cock lover used command '/Content'.
[06:16:29]	Amiro (STEAM_0:0:540491690) has disconnected.
[06:38:48]	Amiro has connected.
[06:41:30]	Amiro created the character 'Maverick Hudson'
[06:41:30]	Maverick Hudson has gained a 'Suitcase' #10259.
[06:41:30]	Maverick Hudson has gained a 'Relocation Coupon' #10260.
[06:41:30]	Maverick Hudson has gained a 'Green Citizen Suit' #10261.
[06:41:30]	Maverick Hudson has gained a 'Citizen Filter' #10262.
[06:41:30]	Amiro loaded the character 'Maverick Hudson'
[06:41:54]	Maverick Hudson ran 'Equip' on item 'Green Citizen Suit' (#10261)
[06:42:00]	Maverick Hudson ran 'equip' on item 'Citizen Filter' (#10262)
[06:42:29]	Maverick Hudson ran 'View' on item 'Notepad' (#9911)
[06:42:57]	Maverick Hudson ran 'EquipUn' on item 'Green Citizen Suit' (#10261)
[06:43:30]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:30]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:31]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:32]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:33]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:34]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:34]	Maverick Hudson has taken 1 damage from worldspawn.
[06:43:34]	Maverick Hudson ran 'Equip' on item 'Green Citizen Suit' (#10261)
[06:43:50]	Maverick Hudson used command '/CharFallOver'.
[06:43:50]	Maverick Hudson used command '/CharGetUp'.
[06:43:51]	Maverick Hudson used command '/CharGetUp'.
[06:43:51]	Maverick Hudson used command '/CharGetUp'.
[06:43:52]	Maverick Hudson used command '/CharGetUp'.
[06:43:53]	Maverick Hudson used command '/CharGetUp'.
[06:43:53]	Maverick Hudson used command '/CharGetUp'.
[06:43:54]	Maverick Hudson used command '/CharGetUp'.
[06:43:55]	Maverick Hudson used command '/CharGetUp'.
[06:43:55]	Maverick Hudson used command '/CharGetUp'.
[06:44:02]	Maverick Hudson used command '/CharFallOver'.
[06:44:03]	Maverick Hudson used command '/CharGetUp'.
[06:44:03]	Maverick Hudson used command '/CharGetUp'.
[06:44:04]	Maverick Hudson used command '/CharGetUp'.
[06:44:05]	Maverick Hudson used command '/CharGetUp'.
[06:44:05]	Maverick Hudson used command '/CharGetUp'.
[06:44:06]	Maverick Hudson used command '/CharGetUp'.
[06:44:07]	Maverick Hudson used command '/CharGetUp'.
[06:44:22]	Maverick Hudson used command '/CharFallOver'.
[06:44:22]	Maverick Hudson used command '/CharGetUp'.
[06:44:23]	Maverick Hudson used command '/CharGetUp'.
[06:44:24]	Maverick Hudson used command '/CharGetUp'.
[06:44:24]	Maverick Hudson used command '/CharGetUp'.
[06:44:25]	Maverick Hudson used command '/CharGetUp'.
[06:44:25]	Maverick Hudson used command '/CharGetUp'.
[06:44:26]	Maverick Hudson used command '/CharGetUp'.
[06:44:27]	Maverick Hudson used command '/CharGetUp'.
[06:44:27]	Maverick Hudson used command '/CharGetUp'.
[06:44:45]	Maverick Hudson used command '/CharFallOver'.
[06:44:48]	Maverick Hudson used command '/CharGetUp'.
[06:44:50]	Maverick Hudson used command '/CharGetUp'.
[06:44:50]	Maverick Hudson used command '/CharGetUp'.
[06:44:51]	Maverick Hudson used command '/CharGetUp'.
[06:44:56]	Maverick Hudson used command '/CharGetUp'.
[06:44:59]	Maverick Hudson used command '/CharFallOver'.
[06:45:05]	Maverick Hudson used command '/CharGetUp'.
[06:45:17]	[OOC] Maverick Hudson: my fav part of half life is when im stuck at spawn
[06:45:24]	[OOC] Maverick Hudson: my fav part of half life is when im stuck at spawn
[06:45:26]	Maverick Hudson used command '/CharFallOver'.
