[08:21:01]	Solodon has connected.
[08:21:35]	Solodon loaded the character 'CCA.C17-GRID.i4.83467'
[08:25:08]	CCA.C17-GRID.i4.83467 ran 'Apply' on item 'Health Kit' (#4737)
[08:26:35]	CCA.C17-GRID.i4.83467 has gained 10 tokens.
[08:28:55]	Solodon (STEAM_0:1:100301670) has disconnected.
[14:06:10]	RiverJungle has connected.
[14:06:37]	RiverJungle loaded the character 'Francisco Fernández'
[14:07:00]	Francisco Fernández ran 'Eat' on item 'UU Brand Corn' (#4940)
[14:07:04]	Francisco Fernández has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[14:07:53]	Francisco Fernández has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[14:08:58]	Francisco Fernández opened the '' #745 container.
[14:09:01]	Francisco Fernández closed the '' #745 container.
[14:09:23]	Francisco Fernández has spawned 'models/hunter/plates/plate1.mdl'.
[14:11:19]	Francisco Fernández has spawned 'models/hunter/plates/plate1.mdl'.
[14:12:07]	Francisco Fernández has spawned 'models/hunter/plates/plate05.mdl'.
[14:14:29]	Francisco Fernández has spawned 'models/combinebanner/combinebanner.mdl'.
[14:14:44]	Francisco Fernández has spawned 'models/combinebanner/combinebanner.mdl'.
[14:15:09]	Francisco Fernández has spawned 'models/combinebanner/combinebanner.mdl'.
[14:16:16]	Francisco Fernández has spawned 'models/combine_flags/combine_flags.mdl'.
[14:16:46]	Francisco Fernández has spawned 'models/props_junk/sawblade001a.mdl'.
[14:17:12]	Francisco Fernández has spawned 'models/props_junk/meathook001a.mdl'.
[14:17:25]	Francisco Fernández has spawned 'models/props_junk/meathook001a.mdl'.
[14:18:03]	Francisco Fernández has spawned 'models/props_junk/meathook001a.mdl'.
[14:18:31]	[OOC] Francisco Fernández: Uh nothing I'm just making the grotta a little more scarier
[14:19:09]	[OOC] Francisco Fernández: You coming on soon B?
[14:19:28]	Francisco Fernández has spawned 'models/props_c17/gravestone003a.mdl'.
[14:19:43]	Francisco Fernández has spawned 'models/props_c17/gravestone_coffinpiece002a.mdl'.
[14:21:57]	Francisco Fernández has spawned 'models/hunter/plates/plate025x025.mdl'.
[14:22:46]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:23:49]	Francisco Fernández has spawned 'models/Gibs/HGIBS_rib.mdl'.
[14:23:57]	Francisco Fernández has spawned 'models/Gibs/HGIBS_rib.mdl'.
[14:24:21]	Francisco Fernández has spawned 'models/props_junk/watermelon01.mdl'.
[14:24:47]	Francisco Fernández has spawned 'models/props_lab/harddrive02.mdl'.
[14:24:56]	Francisco Fernández has spawned 'models/props_c17/tv_monitor01.mdl'.
[14:25:01]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:25:27]	Francisco Fernández has spawned 'models/props_junk/MetalBucket01a.mdl'.
[14:25:41]	Francisco Fernández has spawned 'models/props_c17/metalPot001a.mdl'.
[14:25:43]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:26:00]	Francisco Fernández has spawned 'models/props_c17/gravestone004a.mdl'.
[14:26:07]	Francisco Fernández has spawned 'models/props_c17/gravestone004a.mdl'.
[14:26:23]	Francisco Fernández has spawned 'models/props_c17/gravestone004a.mdl'.
[14:27:14]	Francisco Fernández has spawned 'models/props_c17/gravestone002a.mdl'.
[14:27:23]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:27:33]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:34]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:35]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:39]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:40]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:41]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:42]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:27:48]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:28:05]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:28:18]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:20]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:21]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:23]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:24]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:25]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:27]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:28]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:28]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:29]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:56]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:28:57]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:29:05]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:29:06]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:29:06]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:29:09]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:29:09]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:29:10]	Francisco Fernández has spawned 'models/gibs/hgibs.mdl'.
[14:31:04]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:31:21]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:31:32]	Francisco Fernández has spawned 'models/Gibs/HGIBS.mdl'.
[14:32:27]	Francisco Fernández has spawned 'models/props_junk/Shoe001a.mdl'.
