[16:51:57]	dystress has connected.
[16:52:27]	dystress loaded the character 'Leon Wakefield'
[16:52:46]	DRD has connected.
[16:53:01]	Leon Wakefield has taken 3 damage from npc_fastzombie.
[16:53:02]	Leon Wakefield has taken 3 damage from npc_fastzombie.
[16:53:02]	npc_fastzombie has killed Leon Wakefield.
[16:53:25]	Leon Wakefield ran 'View' on item 'Notepad' (#9911)
[16:54:00]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[16:54:06]	[OOC] CCA.C17-GRID.i1.59212: eoeoeo
[16:54:11]	[OOC] Leon Wakefield: wario gaming
[16:54:11]	CCA.C17-GRID.i1.59212 entered observer.
[16:54:24]	[OOC] Leon Wakefield: man its been a while
[16:54:38]	[OOC] CCA.C17-GRID.i1.59212: my pc was in repair for 2 weeks 
[16:54:46]	[OOC] CCA.C17-GRID.i1.59212: i can ACTUALLY HEAR NOW
[16:54:58]	[OOC] Leon Wakefield: lol sick
[16:55:03]	Leon Wakefield ran 'Equip' on item 'Combat Knife' (#8283)
[16:55:20]	Leon Wakefield has taken 10 damage from npc_zombie.
[16:55:38]	[OOC] Leon Wakefield: is that a zombine
[16:55:43]	[OOC] Leon Wakefield: error for me
[16:55:48]	[OOC] CCA.C17-GRID.i1.59212: it's a zombine
[16:55:53]	[OOC] Leon Wakefield: well time to do the funny
[16:55:59]	CCA.C17-GRID.i1.59212 exited observer at their location.
[16:56:00]	CCA.C17-GRID.i1.59212 entered observer.
[16:56:26]	Leon Wakefield has taken 5 damage from npc_headcrab.
[16:56:38]	Leon Wakefield has gained a 'Raw Headcrab Meat' #10274.
[16:56:46]	Leon Wakefield has taken 10 damage from npc_zombie.
[16:56:49]	[LOOC] Leon Wakefield: smh
[16:56:50]	Leon Wakefield ran 'take' on item 'Fingerless Gloves' (#10275)
[16:56:50]	Leon Wakefield has gained a 'Fingerless Gloves' #10275.
[16:56:58]	CCA.C17-GRID.i1.59212 exited observer at their location.
[16:56:58]	CCA.C17-GRID.i1.59212 entered observer.
[16:57:11]	Leon Wakefield has taken 3 damage from npc_fastzombie.
[16:57:11]	Leon Wakefield has taken 3 damage from npc_fastzombie.
[16:57:15]	Leon Wakefield has taken 5 damage from npc_headcrab_fast.
[16:57:16]	Leon Wakefield has taken 5 damage from npc_headcrab_fast.
[16:57:17]	Leon Wakefield has taken 3 damage from npc_fastzombie.
[16:57:18]	Leon Wakefield has taken 3 damage from npc_fastzombie.
[16:57:19]	Leon Wakefield has taken 5 damage from npc_headcrab_fast.
[16:57:22]	Leon Wakefield has gained 20 tokens.
[16:57:28]	[OOC] Leon Wakefield: i cant dodge fast zombies for my life
[16:57:34]	[OOC] Leon Wakefield: >:(
[16:57:42]	Leon Wakefield has taken 5 damage from npc_fastzombie.
[16:58:05]	[OOC] CCA.C17-GRID.i1.59212: run
[16:58:38]	Leon Wakefield ran 'drop' on item 'Powercord' (#9089)
[16:58:38]	Leon Wakefield has lost a 'Powercord' #9089.
[16:58:40]	Leon Wakefield ran 'drop' on item 'Scrap Metal' (#9049)
[16:58:40]	Leon Wakefield has lost a 'Scrap Metal' #9049.
[16:58:41]	Leon Wakefield ran 'Equip' on item 'Fingerless Gloves' (#10275)
[16:58:42]	Leon Wakefield ran 'drop' on item 'Scrap Metal' (#10234)
[16:58:42]	Leon Wakefield has lost a 'Scrap Metal' #10234.
[16:58:43]	Leon Wakefield ran 'EquipUn' on item 'Fingerless Gloves' (#10275)
[16:58:45]	Leon Wakefield ran 'drop' on item 'Fingerless Gloves' (#10275)
[16:58:45]	Leon Wakefield has lost a 'Fingerless Gloves' #10275.
[16:58:46]	Leon Wakefield ran 'drop' on item 'Wires' (#10225)
[16:58:46]	Leon Wakefield has lost a 'Wires' #10225.
[16:58:48]	Leon Wakefield ran 'drop' on item 'Pack of Nails' (#10078)
[16:58:48]	Leon Wakefield has lost a 'Pack of Nails' #10078.
[16:58:49]	Leon Wakefield ran 'drop' on item 'Pack of Screws' (#10224)
[16:58:49]	Leon Wakefield has lost a 'Pack of Screws' #10224.
[16:58:50]	Leon Wakefield ran 'drop' on item 'Pack of Screws' (#7209)
[16:58:50]	Leon Wakefield has lost a 'Pack of Screws' #7209.
[16:58:54]	Leon Wakefield ran 'drop' on item 'Empty Paint Can' (#10077)
[16:58:54]	Leon Wakefield has lost a 'Empty Paint Can' #10077.
[16:58:58]	Leon Wakefield opened the 'Large Locked Cabinet' #491 container.
[16:59:00]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:59:01]	Leon Wakefield closed the 'Large Locked Cabinet' #491 container.
[16:59:04]	Leon Wakefield opened the 'Locked Cabinet' #493 container.
[16:59:08]	Leon Wakefield closed the 'Locked Cabinet' #493 container.
[16:59:13]	Leon Wakefield ran 'drop' on item 'Wrench' (#10235)
[16:59:13]	Leon Wakefield has lost a 'Wrench' #10235.
[16:59:16]	[OOC] CCA.C17-GRID.i1.59212: shut up
[16:59:24]	dystress loaded the character 'Dakota Oswalt'
[16:59:36]	[OOC] Dakota Oswalt: oh my gaawh the blood dono machines are no longer errors i feel whole again
[16:59:40]	[OOC] CCA.C17-GRID.i1.59212: the sewer is creepy 
[16:59:44]	[OOC] CCA.C17-GRID.i1.59212: : (
[16:59:45]	CCA.C17-GRID.i1.59212 exited observer at their location.
[16:59:46]	CCA.C17-GRID.i1.59212 entered observer.
[16:59:51]	CCA.C17-GRID.i1.59212 exited observer at their location.
[16:59:52]	CCA.C17-GRID.i1.59212 entered observer.
[16:59:55]	[OOC] Dakota Oswalt: a shame my other char has to live in there,
[17:00:03]	CCA.C17-GRID.i1.59212 ran 'View' on item 'Notepad' (#9841)
[17:00:05]	[OOC] Dakota Oswalt: chillin in hell
[17:00:13]	[OOC] CCA.C17-GRID.i1.59212: he doesn't *have* to
[17:00:18]	[OOC] Dakota Oswalt: he can go to the beach i suppose
[17:00:29]	[OOC] CCA.C17-GRID.i1.59212: yeah
[17:00:32]	[OOC] Dakota Oswalt: but the whole vault room filled with treasures is important to him right now
[17:00:35]	[OOC] Dakota Oswalt: especially the radio
[17:00:54]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:00:55]	CCA.C17-GRID.i1.59212 entered observer.
[17:01:04]	[OOC] CCA.C17-GRID.i1.59212: i hear sewer noises everywhere
[17:01:20]	[ME] Dakota Oswalt: peers through the window. To no avail yet again, not a single unit in sight. He sighs, and slogs back out the door.
[17:01:31]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:01:33]	CCA.C17-GRID.i1.59212 entered observer.
[17:01:46]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:01:48]	CCA.C17-GRID.i1.59212 entered observer.
[17:01:51]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:01:56]	CCA.C17-GRID.i1.59212 entered observer.
[17:02:08]	[ME] Dakota Oswalt: peers up to the night sky. He sits down on the pavement to stare down the unusually large moon.
[17:02:34]	[ME] Dakota Oswalt: looks back at the empty plaza. He scans it every few moments.
[17:02:41]	[ME] Dakota Oswalt: notices stupid fucking ghosts back at it again.
[17:02:53]	[OOC] CCA.C17-GRID.i1.59212: drink it
[17:03:00]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[17:03:06]	[OOC] Dakota Oswalt: i know its power.,,,
[17:03:25]	CCA.C17-GRID.i1.59212 used command '/Event You have the sudden urge to drink it, almost like there's a gun to your head'.
[17:03:40]	[ME] Dakota Oswalt: does not drink it. He knows not to listen to the voices in his head.
