[13:51:46]	FB|| light ROOM has connected.
[13:53:37]	DRD has connected.
[13:54:40]	FB|| light ROOM loaded the character 'Ethan King'
[13:54:45]	FB|| light ROOM loaded the character 'CCA.C17-OfC.24229'
[13:55:12]	FB|| light ROOM loaded the character 'CCA.C17-UNION.OfC.56321'
[13:55:38]	FB|| light ROOM loaded the character 'Owen 'Unknown' Clark'
[13:56:51]	FB|| light ROOM loaded the character 'LCPL Mitchell 'Lazzy' Lazarus'
[13:57:26]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[13:58:55]	CCA.C17-GRID.i1.59212 entered observer.
[14:00:50]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:00:50]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:00:59]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:01:01]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:01:01]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:01:01]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:01:18]	LCPL Mitchell 'Lazzy' Lazarus has taken 29 damage from trigger_hurt.
[14:01:20]	LCPL Mitchell 'Lazzy' Lazarus has taken 20 damage from trigger_hurt.
[14:01:22]	LCPL Mitchell 'Lazzy' Lazarus has taken 20 damage from trigger_hurt.
[14:01:31]	LCPL Mitchell 'Lazzy' Lazarus has taken 5 damage from npc_headcrab_fast.
[14:01:32]	LCPL Mitchell 'Lazzy' Lazarus has taken 4 damage from monster_gonome.
[14:01:32]	monster_gonome has killed LCPL Mitchell 'Lazzy' Lazarus.
[14:02:13]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PropaneCanister001a.mdl'.
[14:02:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:02:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:02:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
