[04:20:12]	Avi has connected.
[04:20:43]	Avi loaded the character 'Alessandro Noviello'
[04:21:03]	Avi (STEAM_0:1:40322870) has disconnected.
[12:54:30]	FB|| light ROOM has connected.
[12:55:08]	FB|| light ROOM loaded the character 'Mitchell Lazarus'
[13:12:31]	XYZ509 has connected.
[13:15:26]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[13:16:59]	FB|| light ROOM has connected.
[13:17:22]	FB|| light ROOM loaded the character 'Mitchell Lazarus'
[13:17:57]	Mitchell Lazarus used command '/ActLean'.
[13:20:52]	XYZ509 loaded the character 'CCA.C08-UNION.i4.19691'
[13:23:54]	Kayle Solo has connected.
[13:25:14]	Kayle Solo loaded the character 'Alexei Stravolsky'
[13:25:31]	[OOC] Alexei Stravolsky: please tell me an admin is on
[13:25:41]	[OOC] Mitchell Lazarus: Nope
[13:25:49]	[OOC] Mitchell Lazarus: Yo
[13:25:53]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:25:56]	[OOC] Alexei Stravolsky: bruh what who sent me that message
[13:26:07]	[OOC] Alexei Stravolsky: ok 
[13:26:08]	[OOC] Mitchell Lazarus: Trying to get my fuckin mic to work
[13:26:11]	[OOC] Alexei Stravolsky: oh epic
[13:26:16]	[OOC] Alexei Stravolsky: yeah im literally stuck
[13:27:00]	[OOC] Alexei Stravolsky: what?
[13:27:25]	[OOC] Alexei Stravolsky: no like i cant go up this ladder and i cant even suicide with the fan\
[13:27:47]	[OOC] Alexei Stravolsky: who?
[13:28:00]	[OOC] Alexei Stravolsky: oh union i4?
[13:28:03]	[OOC] Alexei Stravolsky: i guess
[13:28:08]	[OOC] Mitchell Lazarus: Finally my Mic works.
[13:28:09]	Mitchell Lazarus used command '/ExitAct'.
[13:28:24]	[OOC] Mitchell Lazarus: Can't hear anything but it works
[13:28:36]	[OOC] Alexei Stravolsky: i will now only talk to you through mic
[13:28:55]	[OOC] Mitchell Lazarus: Pretty sure I can only hear Discord now.
[13:29:00]	[OOC] Mitchell Lazarus: Neat
[13:30:15]	[OOC] Alexei Stravolsky: ill afk till you get on, console
[13:30:33]	[OOC] Alexei Stravolsky: why did i call you console
[13:30:35]	[OOC] Mitchell Lazarus: Haven't played it even though i'm a Half-Life fanboy.
[13:30:46]	matt saton has connected.
[13:30:53]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:30:57]	[OOC] Mitchell Lazarus: Neat
[13:32:23]	[OOC] Mitchell Lazarus: Can someone joing General on Discord gotta test something.
[13:33:08]	Mitchell Lazarus used command '/ActLean'.
[13:35:37]	Mitchell Lazarus used command '/ExitAct'.
[13:35:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:36:46]	FB|| light ROOM loaded the character 'Ethan King'
[13:37:23]	Ethan King has taken 20 damage from worldspawn.
[13:37:39]	Ethan King has taken 250 damage from trigger_hurt.
[13:37:39]	trigger_hurt has killed Ethan King.
[13:38:14]	matt saton loaded the character 'Joseph Kimsler'
[13:38:17]	Joseph Kimsler entered observer.
[13:38:22]	Joseph Kimsler exited observer at their location.
[13:38:27]	Joseph Kimsler entered observer.
[13:38:38]	Ethan King opened the '' #893 container.
[13:38:40]	Ethan King closed the '' #893 container.
[13:38:41]	Joseph Kimsler exited observer at their location.
[13:38:43]	Ethan King opened the '' #892 container.
[13:38:45]	Ethan King closed the '' #892 container.
[13:38:53]	[OOC] Joseph Kimsler: shit, i didn't get all my server contrent re-enabled
[13:38:55]	[OOC] Joseph Kimsler: i'll be right bakc
[13:39:00]	[OOC] Ethan King: YEE
[13:39:56]	Ethan King has taken 16 damage from worldspawn.
[13:40:48]	matt saton (STEAM_0:1:53097688) has disconnected.
[13:40:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:40:55]	CCA.C08-UNION.i4.19691 entered observer.
[13:40:56]	CCA.C08-UNION.i4.19691 exited observer at their location.
[13:40:57]	CCA.C08-UNION.i4.19691 entered observer.
[13:40:57]	CCA.C08-UNION.i4.19691 exited observer at their location.
[13:41:03]	CCA.C08-UNION.i4.19691 entered observer.
[13:41:03]	CCA.C08-UNION.i4.19691 exited observer at their location.
[13:41:22]	[LOOC] Ethan King: Can't hear you bud.
[13:41:32]	[LOOC] Ethan King: Use chat.
[13:41:44]	[LOOC] Ethan King: I literally can't hear anything it's pretty fuckin cool
[13:42:58]	[ME] CCA.C08-UNION.i4.19691: grabs the mans wrists, attempting to tie them together. Does the man resist?
[13:43:08]	[ME] Ethan King: Does not resist at all.
[13:43:10]	CCA.C08-UNION.i4.19691 ran 'Use' on item 'Zip Tie' (#6675)
[13:43:27]	[ME] CCA.C08-UNION.i4.19691: searches over the man, looking for anything illegal.
[13:43:37]	[LOOC] Ethan King: One sec
[13:43:44]	Ethan King has taken 15 damage from CCA.C08-UNION.i4.19691.
[13:43:46]	[LOOC] CCA.C08-UNION.i4.19691: shit
[13:43:48]	[LOOC] CCA.C08-UNION.i4.19691: misclick
[13:44:00]	Kayle Solo loaded the character 'Nicholas Nilsson'
[13:44:07]	[LOOC] Ethan King: Nice job.
[13:44:14]	[LOOC] CCA.C08-UNION.i4.19691: to be honest i forgot the button to search
[13:44:16]	[LOOC] Ethan King: I can hear now.
[13:44:20]	[LOOC] Ethan King: /charsearch
[13:44:24]	CCA.C08-UNION.i4.19691 used command '/CharSearch'.
[13:44:29]	[OOC] Nicholas Nilsson: hey ethan
[13:44:34]	[OOC] Ethan King: yee
[13:44:41]	[OOC] Nicholas Nilsson: come to the civil hospital and open the door please
[13:44:53]	[OOC] Ethan King: can't right now
[13:45:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:45:57]	[LOOC] Ethan King: Not a good idea letting me walk away without being knocked out or anything.
[13:46:01]	Kayle Solo (STEAM_0:1:39753467) has disconnected.
[13:46:29]	Kayle Solo has connected.
[13:46:31]	[LOOC] Ethan King: By the way didn't wanna sound rude just giving advise.
[13:46:47]	Kayle Solo loaded the character 'Nicholas Nilsson'
[13:46:49]	[ME] CCA.C08-UNION.i4.19691: flicked his stunstick up a level, raising it in the air. He swung it down on his head, doing more than once if need be. His goal was to knock the man out.
[13:46:56]	[LOOC] CCA.C08-UNION.i4.19691: do your /me before i go on
[13:46:59]	[OOC] Nicholas Nilsson: now im higher in the ceiling
[13:47:01]	[OOC] Nicholas Nilsson: le epic!
[13:47:09]	[ME] Ethan King: Flops to the ground out cold.
[13:47:11]	Ethan King has taken 15 damage from CCA.C08-UNION.i4.19691.
[13:47:11]	Ethan King has taken 15 damage from CCA.C08-UNION.i4.19691.
[13:47:13]	Ethan King has taken 15 damage from CCA.C08-UNION.i4.19691.
[13:47:14]	Ethan King has taken 15 damage from CCA.C08-UNION.i4.19691.
[13:47:16]	Ethan King has taken 15 damage from CCA.C08-UNION.i4.19691.
