[04:55:10]	AY|scroll has connected.
[05:01:52]	AY|scroll created the character 'kauã'
[05:01:52]	kauã has gained a 'Suitcase' #10321.
[05:01:52]	kauã has gained a 'Relocation Coupon' #10322.
[05:01:52]	kauã has gained a 'Cyclopic Citizen Suit' #10323.
[05:01:52]	kauã has gained a 'Citizen Filter' #10324.
[05:01:52]	AY|scroll loaded the character 'kauã'
[05:02:51]	kauã ran 'Equip' on item 'Cyclopic Citizen Suit' (#10323)
[05:04:43]	kauã ran 'drop' on item 'Relocation Coupon' (#10322)
[05:04:43]	kauã has lost a 'Relocation Coupon' #10322.
[05:04:50]	kauã ran 'take' on item 'Relocation Coupon' (#10322)
[05:04:50]	kauã has gained a 'Relocation Coupon' #10322.
[05:04:52]	kauã has taken 1 damage from worldspawn.
[05:04:53]	kauã has taken 1 damage from worldspawn.
[05:04:54]	kauã has taken 1 damage from worldspawn.
[05:04:55]	kauã has taken 1 damage from worldspawn.
[05:04:55]	kauã has taken 1 damage from worldspawn.
[05:04:56]	kauã has taken 1 damage from worldspawn.
[05:04:57]	kauã has taken 1 damage from worldspawn.
[05:04:58]	kauã has taken 1 damage from worldspawn.
[05:04:58]	kauã has taken 1 damage from worldspawn.
[05:04:59]	kauã has taken 1 damage from worldspawn.
[05:05:00]	kauã has taken 1 damage from worldspawn.
[05:05:02]	kauã ran 'equip' on item 'Citizen Filter' (#10324)
[05:09:56]	AY|scroll (STEAM_0:1:228784040) has disconnected.
