[23:47:19]	DRD has connected.
[23:50:37]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[23:50:44]	CCA.C17-GRID.i1.59212 entered observer.
[23:51:39]	CCA.C17-GRID.i1.59212 ran 'View' on item 'Notepad' (#9911)
[23:52:01]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:52:03]	CCA.C17-GRID.i1.59212 entered observer.
[23:52:03]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:52:05]	CCA.C17-GRID.i1.59212 entered observer.
[23:52:10]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:52:13]	CCA.C17-GRID.i1.59212 entered observer.
[23:52:14]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:52:14]	CCA.C17-GRID.i1.59212 entered observer.
[23:52:15]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:52:15]	CCA.C17-GRID.i1.59212 entered observer.
[23:52:15]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:52:16]	CCA.C17-GRID.i1.59212 entered observer.
[23:54:45]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:54:46]	CCA.C17-GRID.i1.59212 entered observer.
[23:54:47]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:54:49]	CCA.C17-GRID.i1.59212 entered observer.
[23:54:58]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:04]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:08]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:09]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:10]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:10]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:11]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:11]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:12]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:12]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:13]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:13]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:14]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:14]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:15]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:15]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:16]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:16]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:19]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:20]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:20]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:21]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:21]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:21]	CCA.C17-GRID.i1.59212 entered observer.
[23:55:40]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[23:55:57]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:55:58]	CCA.C17-GRID.i1.59212 entered observer.
[23:56:01]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:56:01]	CCA.C17-GRID.i1.59212 entered observer.
[23:56:03]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:56:04]	CCA.C17-GRID.i1.59212 entered observer.
[23:56:36]	Doughnut has connected.
[23:57:27]	Doughnut loaded the character 'Klaudiusz Olszewski'
[23:57:38]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:57:39]	CCA.C17-GRID.i1.59212 entered observer.
[23:57:41]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:57:41]	CCA.C17-GRID.i1.59212 entered observer.
[23:57:50]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:57:51]	CCA.C17-GRID.i1.59212 entered observer.
[23:57:52]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:57:53]	CCA.C17-GRID.i1.59212 entered observer.
[23:58:03]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:58:04]	CCA.C17-GRID.i1.59212 entered observer.
[23:58:42]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:58:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[23:58:59]	Klaudiusz Olszewski has taken 500 damage from prop_physics.
[23:58:59]	prop_physics has killed Klaudiusz Olszewski.
[23:59:06]	CCA.C17-GRID.i1.59212 entered observer.
[23:59:10]	Klaudiusz Olszewski entered observer.
[23:59:36]	[OOC] Klaudiusz Olszewski: proof: [SERVER] CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.[SERVER] Klaudiusz Olszewski has taken 500 damage from prop_physics.[SERVER] prop_physics has killed Klaudiusz Olszewski.
[23:59:46]	[OOC] Klaudiusz Olszewski: sugg nuts
[23:59:52]	CCA.C17-GRID.i1.59212 exited observer at their location.
[23:59:52]	CCA.C17-GRID.i1.59212 entered observer.
