[00:20:16]	PS64 has connected.
[00:23:17]	PS64 created the character 'Mirror4K'
[00:23:17]	Mirror4K has gained a 'Suitcase' #9041.
[00:23:17]	PS64 loaded the character 'Mirror4K'
[00:23:35]	PS64 (STEAM_0:0:88623759) has disconnected (timed out).
[11:30:14]	FB|| light ROOM has connected.
[11:30:38]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i5.98240 [X]'
[11:30:44]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[16:26:15]	FB|| light ROOM has connected.
[16:26:39]	FB|| light ROOM loaded the character 'Gordo Kin'
[16:26:50]	FB|| light ROOM loaded the character 'Ethan King'
[16:32:53]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i5.98240 [X]'
[16:32:59]	FB|| light ROOM loaded the character 'Ethan King'
[16:33:15]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[16:56:39]	FB|| light ROOM has connected.
[16:57:14]	FB|| light ROOM loaded the character 'Ethan King'
[17:23:51]	FB|| light ROOM loaded the character 'Gordo Kin'
[17:34:53]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[19:09:16]	FB|| light ROOM has connected.
[19:09:39]	FB|| light ROOM loaded the character 'Ethan King'
[19:12:11]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[19:21:31]	FB|| light ROOM has connected.
[19:21:57]	FB|| light ROOM loaded the character 'Gordo Kin'
[19:59:28]	Gordo Kin has taken 2 damage from worldspawn.
[20:00:26]	Gordo Kin has taken 27 damage from worldspawn.
[20:00:29]	Gordo Kin ran 'Eat' on item 'Standard Grade Citizen Food Product' (#9029)
[20:08:45]	FB|| light ROOM loaded the character 'Ethan King'
[20:21:45]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[20:41:06]	Combine-3746 has connected.
[20:41:17]	FB|| light ROOM has connected.
[20:44:20]	FB|| light ROOM loaded the character 'Gordo Kin'
[20:44:21]	Combine-3746 (STEAM_0:0:467243158) has disconnected (timed out).
[20:54:36]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:40:19]	FB|| light ROOM has connected.
[21:41:36]	FB|| light ROOM loaded the character 'Gordo Kin'
[21:50:21]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[22:42:56]	Ollie Garner has connected.
[22:44:55]	Ollie Garner loaded the character 'CCA.C08-HELIX.i2.58841'
[22:45:43]	matt saton has connected.
[22:47:04]	matt saton loaded the character 'CCA.C08-GRID.i4.69192'
[22:47:08]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[22:47:10]	CCA.C08-GRID.i4.69192 entered observer.
[22:47:15]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:47:46]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[22:47:56]	[LOOC] CCA.C08-HELIX.i2.58841: I
[22:48:04]	[LOOC] CCA.C08-GRID.i4.69192: take it out bitch
[22:48:05]	[LOOC] CCA.C08-HELIX.i2.58841: I'll miss the small glow of the last ones
[22:48:08]	[LOOC] CCA.C08-GRID.i4.69192: i know me too
[22:48:15]	[LOOC] CCA.C08-GRID.i4.69192: they make new noises
[22:48:19]	[LOOC] CCA.C08-HELIX.i2.58841: I heard
[22:48:20]	[LOOC] CCA.C08-GRID.i4.69192: KO mode still works
[22:48:22]	CCA.C08-HELIX.i2.58841 has taken 5 damage from CCA.C08-GRID.i4.69192.
[22:48:25]	CCA.C08-HELIX.i2.58841 has taken 5 damage from CCA.C08-GRID.i4.69192.
[22:48:31]	[LOOC] CCA.C08-HELIX.i2.58841: I tested it a bit before ya got on
[22:48:35]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[22:48:37]	[LOOC] CCA.C08-GRID.i4.69192: oh
[22:48:38]	CCA.C08-GRID.i4.69192 entered observer.
[22:48:44]	CCA.C08-HELIX.i2.58841 ran 'Take' on item 'UU Brand Cigarette Pack' (#7385)
[22:48:44]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette' #9042.
[22:48:45]	CCA.C08-HELIX.i2.58841 ran 'Eat' on item 'UU Brand Cigarette' (#9042)
[22:48:46]	CCA.C08-HELIX.i2.58841 ran 'View' on item 'UU Brand Cigarette Pack' (#7385)
[22:48:53]	[OOC] CCA.C08-GRID.i4.69192: also vortbroom
[22:48:58]	CCA.C08-GRID.i4.69192 used command '/PlyWhitelist grid enslaved'.
[22:49:02]	[OOC] CCA.C08-HELIX.i2.58841: Nice. Does it get rid of decals?
[22:49:20]	matt saton created the character 'UU.C08-BIOTIC.10294'
[22:49:25]	matt saton loaded the character 'UU.C08-BIOTIC.10294'
[22:49:25]	UU.C08-BIOTIC.10294 used command '/DoorSetHidden true'.
[22:49:32]	[OOC] UU.C08-BIOTIC.10294: wanna try out the new air tank filling?
[22:49:32]	UU.C08-BIOTIC.10294 entered observer.
[22:49:39]	UU.C08-BIOTIC.10294 exited observer at their location.
[22:49:39]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:49:40]	[OOC] CCA.C08-HELIX.i2.58841: Yee, give me a quick sec tho
[22:49:46]	UU.C08-BIOTIC.10294 entered observer.
[22:49:46]	UU.C08-BIOTIC.10294 entered observer.
[22:49:48]	[LOOC] CCA.C08-HELIX.i2.58841: Might wanna move
[22:49:52]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:49:54]	UU.C08-BIOTIC.10294 exited observer at their location.
[22:49:55]	CCA.C08-HELIX.i2.58841 has gained 10 tokens.
[22:50:06]	[LOOC] CCA.C08-HELIX.i2.58841: holy fuck where are their corpses?
[22:50:30]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:50:33]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:51:15]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:51:27]	[LOOC] CCA.C08-HELIX.i2.58841: Time to set up my voice shit. Give me a hot minute
[22:51:28]	CCA.C08-HELIX.i2.58841 entered observer.
[22:51:28]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:51:38]	UU.C08-BIOTIC.10294 used command '/ToggleRaise'.
[22:51:43]	UU.C08-BIOTIC.10294 entered observer.
[22:51:51]	UU.C08-BIOTIC.10294 exited observer at their location.
[22:52:05]	matt saton loaded the character 'CCA.C08-GRID.i4.69192'
[22:52:07]	CCA.C08-GRID.i4.69192 entered observer.
[22:52:08]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[22:52:11]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:52:13]	CCA.C08-GRID.i4.69192 entered observer.
[22:52:14]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:52:15]	CCA.C08-GRID.i4.69192 entered observer.
[22:52:23]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:53:53]	CCA.C08-GRID.i4.69192 entered observer.
[22:53:54]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:53:57]	CCA.C08-GRID.i4.69192 has spawned a 'Entity [572][ix_station_forge]'.
[22:54:10]	CCA.C08-GRID.i4.69192 entered observer.
[22:54:24]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:54:35]	CCA.C08-GRID.i4.69192 entered observer.
[22:54:36]	CCA.C08-GRID.i4.69192 has spawned a 'Entity [2898][ix_station_airpressurizer]'.
[22:54:37]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:54:38]	CCA.C08-GRID.i4.69192 has spawned a 'Entity [2890][ix_station_airpressurizer]'.
[22:54:40]	CCA.C08-GRID.i4.69192 entered observer.
[22:54:45]	[OOC] CCA.C08-HELIX.i2.58841: Tfw voice shit decided to crash
[22:54:57]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:54:58]	CCA.C08-GRID.i4.69192 entered observer.
[22:54:58]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:55:10]	CCA.C08-GRID.i4.69192 entered observer.
[22:55:15]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:55:15]	CCA.C08-GRID.i4.69192 entered observer.
[22:55:25]	[OOC] CCA.C08-GRID.i4.69192: tfw check this shito ut
[22:55:28]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:55:28]	CCA.C08-GRID.i4.69192 entered observer.
[22:55:30]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:55:31]	CCA.C08-GRID.i4.69192 entered observer.
[22:55:31]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:55:32]	CCA.C08-GRID.i4.69192 entered observer.
[22:55:33]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:55:34]	CCA.C08-GRID.i4.69192 entered observer.
[22:55:38]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[22:55:45]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:46]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:46]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:46]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:47]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:47]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:47]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:48]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:48]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:48]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:49]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:49]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:49]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:50]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:50]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:50]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:51]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:51]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:51]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:52]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:52]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:53]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:53]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:53]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:54]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:54]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:54]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:55:55]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:08]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[22:56:11]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:12]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:12]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:12]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:15]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[22:56:18]	[OOC] CCA.C08-HELIX.i2.58841: Got it set up
[22:56:19]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:19]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:19]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:20]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:20]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:20]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:20]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:21]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:21]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:21]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[22:56:23]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:56:27]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[22:56:28]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9071.
[22:56:29]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9070.
[22:56:29]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9072.
[22:56:30]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9073.
[22:56:31]	CCA.C08-GRID.i4.69192 entered observer.
[22:56:31]	[OOC] CCA.C08-HELIX.i2.58841: Fuckkk it deafened shit AGAIN
[22:56:34]	CCA.C08-GRID.i4.69192 used command '/Radio Helix.'.
[22:56:36]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[22:56:40]	CCA.C08-HELIX.i2.58841 used command '/Radio Yeah?'.
[22:56:42]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:56:48]	CCA.C08-GRID.i4.69192 used command '/Radio Quit being a fuckboy and get to this apartment.'.
[22:56:50]	CCA.C08-GRID.i4.69192 entered observer.
[22:56:59]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:56:59]	CCA.C08-HELIX.i2.58841 used command '/Radio 10-4'.
[22:56:59]	CCA.C08-GRID.i4.69192 entered observer.
[22:57:04]	CCA.C08-GRID.i4.69192 used command '/Radio Factory, sorry.'.
[22:57:06]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:57:08]	CCA.C08-GRID.i4.69192 entered observer.
[22:57:09]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:57:27]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9062)
[22:57:27]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9062.
[22:57:31]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9050)
[22:57:31]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9050.
[22:57:33]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9057)
[22:57:33]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9057.
[22:57:35]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9058)
[22:57:35]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9058.
