[07:06:13]	Haggiez has connected.
[07:08:32]	Haggiez created the character 'raz1234'
[07:08:32]	raz1234 has gained a 'Suitcase' #12197.
[07:08:32]	raz1234 has gained a 'Relocation Coupon' #12198.
[07:08:32]	raz1234 has gained a 'Green Citizen Suit' #12199.
[07:08:32]	raz1234 has gained a 'Citizen Filter' #12200.
[07:08:33]	Haggiez loaded the character 'raz1234'
[07:10:13]	raz1234 has taken 250 damage from trigger_hurt.
[07:10:13]	trigger_hurt has killed raz1234.
[07:11:09]	Haggiez (STEAM_0:0:62192883) has disconnected.
[07:36:34]	matt saton has connected.
[07:37:11]	matt saton loaded the character 'Lee Maylor'
[07:37:13]	Lee Maylor entered observer.
[07:37:24]	Lee Maylor exited observer at their location.
[07:37:32]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[07:37:33]	CCA.C08-UNION.i1.51023 entered observer.
[07:37:42]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:37:52]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [598][ix_forcefield]'.
[07:37:53]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:37:54]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [597][ix_forcefield]'.
[07:37:55]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:37:56]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2899][ix_forcefield]'.
[07:37:57]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [597][ix_forcefield]'.
[07:37:58]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:00]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [598][ix_forcefield]'.
[07:38:01]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:01]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [598][ix_forcefield]'.
[07:38:02]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2898][ix_forcefield]'.
[07:38:03]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:03]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [597][ix_forcefield]'.
[07:38:05]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2895][ix_forcefield]'.
[07:38:06]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [597][ix_forcefield]'.
[07:38:10]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:15]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:16]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:17]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2898][ix_forcefield]'.
[07:38:18]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2901][ix_forcefield]'.
[07:38:24]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:25]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2899][ix_forcefield]'.
[07:38:28]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:29]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:30]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2895][ix_forcefield]'.
[07:38:30]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2899][ix_forcefield]'.
[07:38:31]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2901][ix_forcefield]'.
[07:38:32]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:33]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2899][ix_forcefield]'.
[07:38:37]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:42]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:43]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:44]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2895][ix_forcefield]'.
[07:38:46]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2901][ix_forcefield]'.
[07:38:48]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:49]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:50]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:55]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:55]	CCA.C08-UNION.i1.51023 entered observer.
[07:38:55]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:38:56]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:57]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2903][ix_forcefield]'.
[07:38:57]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2895][ix_forcefield]'.
[07:38:58]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:38:59]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2895][ix_forcefield]'.
[07:39:00]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2898][ix_forcefield]'.
[07:39:01]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2895][ix_forcefield]'.
[07:39:02]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2898][ix_forcefield]'.
[07:39:04]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:39:04]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:39:05]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:39:06]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:39:06]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [618][ix_forcefield]'.
[07:39:23]	CCA.C08-UNION.i1.51023 entered observer.
[07:39:43]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:39:44]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2903][ix_forcefield]'.
[07:39:45]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:39:45]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2903][ix_forcefield]'.
[07:39:46]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2907][ix_forcefield]'.
[07:39:49]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2903][ix_forcefield]'.
[07:39:50]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:39:54]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2903][ix_forcefield]'.
[07:39:54]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:39:55]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2898][ix_forcefield]'.
[07:39:59]	CCA.C08-UNION.i1.51023 entered observer.
[07:40:26]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:40:31]	CCA.C08-UNION.i1.51023 entered observer.
[07:40:33]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:40:40]	CCA.C08-UNION.i1.51023 entered observer.
[07:40:46]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:40:46]	CCA.C08-UNION.i1.51023 entered observer.
[07:40:52]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][stormfox_digitalclock2]'.
[07:40:56]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:41:05]	CCA.C08-UNION.i1.51023 entered observer.
[07:41:09]	CCA.C08-UNION.i1.51023 has killed CCA.C08-UNION.i1.51023.
[07:41:19]	CCA.C08-UNION.i1.51023 entered observer.
[07:41:25]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:41:30]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_forcefield]'.
[07:41:30]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:41:31]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_forcefield]'.
[07:41:34]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_forcefield]'.
[07:41:35]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:41:36]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2915][ix_forcefield]'.
[07:41:36]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_forcefield]'.
[07:41:37]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:41:38]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:41:39]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2915][ix_forcefield]'.
[07:41:40]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:41:41]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:41:41]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2915][ix_forcefield]'.
[07:41:44]	CCA.C08-UNION.i1.51023 entered observer.
[07:41:56]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2911][ix_forcefield]'.
[07:41:57]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:41:59]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:41:59]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_forcefield]'.
[07:42:00]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2914][ix_forcefield]'.
[07:42:01]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:42:02]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_forcefield]'.
[07:42:02]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2914][ix_forcefield]'.
[07:42:04]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:42:04]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2911][ix_forcefield]'.
[07:42:06]	CCA.C08-UNION.i1.51023 entered observer.
[07:42:14]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:42:15]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2915][ix_forcefield]'.
[07:42:17]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:42:18]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2915][ix_forcefield]'.
[07:42:19]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2918][ix_forcefield]'.
[07:42:19]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_forcefield]'.
[07:42:20]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2916][ix_forcefield]'.
[07:42:32]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[07:42:36]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:42:45]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_blooddono]'.
[07:42:58]	CCA.C08-UNION.i1.51023 entered observer.
[07:43:02]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:43:37]	CCA.C08-UNION.i1.51023 entered observer.
[07:43:37]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:43:38]	CCA.C08-UNION.i1.51023 entered observer.
[07:43:39]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:43:39]	CCA.C08-UNION.i1.51023 entered observer.
[07:43:40]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:43:43]	CCA.C08-UNION.i1.51023 entered observer.
[07:43:49]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:43:52]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_testent3]'.
[07:43:53]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2914][ix_testent3]'.
[07:43:55]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2915][ix_blooddono]'.
[07:44:08]	CCA.C08-UNION.i1.51023 entered observer.
[07:44:09]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:44:11]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_blooddono]'.
[07:44:18]	CCA.C08-UNION.i1.51023 entered observer.
[07:44:18]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:44:19]	CCA.C08-UNION.i1.51023 entered observer.
[07:44:19]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:44:19]	CCA.C08-UNION.i1.51023 entered observer.
[07:44:20]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:44:38]	CCA.C08-UNION.i1.51023 entered observer.
[07:44:49]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:44:50]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_blooddono]'.
[07:45:04]	CCA.C08-UNION.i1.51023 entered observer.
[07:45:28]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:45:30]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2905][ix_blooddono]'.
[07:45:41]	CCA.C08-UNION.i1.51023 entered observer.
[07:45:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:45:45]	CCA.C08-UNION.i1.51023 entered observer.
[07:45:53]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:45:55]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2897][ix_blooddono]'.
[07:46:01]	CCA.C08-UNION.i1.51023 entered observer.
[07:46:05]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:46:08]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:00]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:01]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:11]	CCA.C08-UNION.i1.51023 exited observer at their location.
