[13:58:40]	OsoPonderoso has connected.
[14:01:24]	OsoPonderoso (STEAM_0:0:606496709) has disconnected.
[16:58:28]	Nihilanth has connected.
[17:03:19]	Nihilanth created the character 'Sam Andrew Herrera'
[17:03:19]	Sam Andrew Herrera has gained a 'Suitcase' #12514.
[17:03:19]	Sam Andrew Herrera has gained a 'Relocation Coupon' #12515.
[17:03:19]	Sam Andrew Herrera has gained a 'Green Citizen Suit' #12516.
[17:03:19]	Sam Andrew Herrera has gained a 'Citizen Filter' #12517.
[17:03:19]	Nihilanth loaded the character 'Sam Andrew Herrera'
[17:03:43]	Sam Andrew Herrera ran 'Equip' on item 'Green Citizen Suit' (#12516)
[17:03:46]	Sam Andrew Herrera ran 'equip' on item 'Citizen Filter' (#12517)
[17:04:24]	Sam Andrew Herrera has taken 250 damage from trigger_hurt.
[17:04:24]	trigger_hurt has killed Sam Andrew Herrera.
[17:06:13]	Sam Andrew Herrera has taken 250 damage from trigger_hurt.
[17:06:13]	trigger_hurt has killed Sam Andrew Herrera.
[17:06:50]	Sam Andrew Herrera has taken 5 damage from Sam Andrew Herrera.
[17:06:50]	Sam Andrew Herrera has gained 10 tokens.
[17:08:25]	Sam Andrew Herrera has taken 250 damage from trigger_hurt.
[17:08:25]	trigger_hurt has killed Sam Andrew Herrera.
[17:10:03]	Nihilanth (STEAM_0:0:159680127) deleted character 'Sam Andrew Herrera'
[17:11:20]	Nihilanth created the character 'Sam Andrew Reeves'
[17:11:20]	Sam Andrew Reeves has gained a 'Suitcase' #12514.
[17:11:20]	Sam Andrew Reeves has gained a 'Relocation Coupon' #12515.
[17:11:20]	Sam Andrew Reeves has gained a 'Cyclopic Citizen Suit' #12516.
[17:11:20]	Sam Andrew Reeves has gained a 'Citizen Filter' #12517.
[17:11:21]	Nihilanth loaded the character 'Sam Andrew Reeves'
[17:11:43]	Sam Andrew Reeves ran 'Equip' on item 'Cyclopic Citizen Suit' (#12516)
[17:11:47]	Sam Andrew Reeves ran 'equip' on item 'Citizen Filter' (#12517)
[17:11:52]	Sam Andrew Reeves ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#12516)
[17:11:58]	Sam Andrew Reeves ran 'Equip' on item 'Cyclopic Citizen Suit' (#12516)
[17:12:20]	Nihilanth created the character 'theee'
[17:12:20]	theee has gained a 'Suitcase' #12517.
[17:12:20]	theee has gained a 'Relocation Coupon' #12518.
[17:12:20]	theee has gained a 'Cyclopic Citizen Suit' #12519.
[17:12:20]	theee has gained a 'Citizen Filter' #12520.
[17:12:27]	Nihilanth loaded the character 'theee'
[17:12:32]	theee ran 'Equip' on item 'Cyclopic Citizen Suit' (#12519)
[17:12:39]	Nihilanth (STEAM_0:0:159680127) deleted character 'theee'
[17:13:07]	Nihilanth created the character 'aaaaaaaaaaaaaaaaaaaa'
[17:13:07]	aaaaaaaaaaaaaaaaaaaa has gained a 'Suitcase' #12517.
[17:13:07]	aaaaaaaaaaaaaaaaaaaa has gained a 'Relocation Coupon' #12518.
[17:13:07]	aaaaaaaaaaaaaaaaaaaa has gained a 'Cyclopic Citizen Suit' #12519.
[17:13:07]	aaaaaaaaaaaaaaaaaaaa has gained a 'Citizen Filter' #12520.
[17:13:08]	Nihilanth loaded the character 'aaaaaaaaaaaaaaaaaaaa'
[17:13:18]	aaaaaaaaaaaaaaaaaaaa ran 'Equip' on item 'Cyclopic Citizen Suit' (#12519)
[17:13:27]	Nihilanth (STEAM_0:0:159680127) deleted character 'aaaaaaaaaaaaaaaaaaaa'
[17:13:50]	Nihilanth created the character 'ayyyyyyyyyyyy'
[17:13:50]	ayyyyyyyyyyyy has gained a 'Suitcase' #12517.
[17:13:50]	ayyyyyyyyyyyy has gained a 'Relocation Coupon' #12518.
[17:13:50]	ayyyyyyyyyyyy has gained a 'Cyclopic Citizen Suit' #12519.
[17:13:50]	ayyyyyyyyyyyy has gained a 'Citizen Filter' #12520.
[17:13:51]	Nihilanth loaded the character 'ayyyyyyyyyyyy'
[17:13:56]	ayyyyyyyyyyyy ran 'Equip' on item 'Cyclopic Citizen Suit' (#12519)
[17:14:03]	Nihilanth (STEAM_0:0:159680127) deleted character 'ayyyyyyyyyyyy'
[17:14:05]	Nihilanth loaded the character 'Sam Andrew Reeves'
[17:14:14]	Sam Andrew Reeves ran 'drop' on item 'Cyclopic Citizen Suit' (#12516)
[17:14:14]	Sam Andrew Reeves has lost a 'Cyclopic Citizen Suit' #12516.
[17:14:21]	Sam Andrew Reeves ran 'take' on item 'Cyclopic Citizen Suit' (#12516)
[17:14:21]	Sam Andrew Reeves has gained a 'Cyclopic Citizen Suit' #12516.
[17:14:24]	Sam Andrew Reeves ran 'Equip' on item 'Cyclopic Citizen Suit' (#12516)
[17:14:48]	Nihilanth created the character 'theeeheee'
[17:14:48]	theeeheee has gained a 'Suitcase' #12517.
[17:14:48]	theeeheee has gained a 'Relocation Coupon' #12518.
[17:14:48]	theeeheee has gained a 'Cyclopic Citizen Suit' #12519.
[17:14:48]	theeeheee has gained a 'Citizen Filter' #12520.
[17:14:54]	Nihilanth loaded the character 'theeeheee'
[17:14:59]	theeeheee ran 'Equip' on item 'Cyclopic Citizen Suit' (#12519)
[17:15:06]	Nihilanth (STEAM_0:0:159680127) deleted character 'theeeheee'
[17:16:01]	Nihilanth created the character 'Sam Andrew Reeves'
[17:16:01]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:16:01]	Sam Andrew Reeves has gained a 'Relocation Coupon' #12518.
[17:16:01]	Sam Andrew Reeves has gained a 'Green Citizen Suit' #12519.
[17:16:01]	Sam Andrew Reeves has gained a 'Citizen Filter' #12520.
[17:16:01]	Nihilanth loaded the character 'Sam Andrew Reeves'
[17:16:07]	Sam Andrew Reeves ran 'Equip' on item 'Green Citizen Suit' (#12519)
[17:16:19]	Nihilanth (STEAM_0:0:159680127) deleted character 'Sam Andrew Reeves'
[17:16:35]	Sam Andrew Reeves ran 'equip' on item 'Citizen Filter' (#12520)
[17:16:55]	Sam Andrew Reeves has taken 5 damage from Sam Andrew Reeves.
[17:16:55]	Sam Andrew Reeves has gained 10 tokens.
[17:18:11]	Sam Andrew Reeves has lost 7 tokens.
[17:18:16]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[17:18:18]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[17:18:21]	Sam Andrew Reeves ran 'take' on item 'Flavored Consulate Water' (#12520)
[17:18:21]	Sam Andrew Reeves has gained a 'Flavored Consulate Water' #12520.
[17:18:27]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[17:18:32]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[17:18:36]	wheat has connected.
[17:21:58]	wheat loaded the character 'CAC.C08-CRM.34712'
[17:22:31]	wheat (STEAM_0:0:460056698) has disconnected.
[17:29:12]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[17:29:41]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:29:41]	trigger_hurt has killed Sam Andrew Reeves.
[17:29:57]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[17:30:21]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:30:21]	trigger_hurt has killed Sam Andrew Reeves.
[17:31:23]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:31:23]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:31:26]	Sam Andrew Reeves ran 'drop' on item 'Green Citizen Suit' (#12519)
[17:31:26]	Sam Andrew Reeves has lost a 'Green Citizen Suit' #12519.
[17:31:50]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:31:50]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:31:51]	Sam Andrew Reeves ran 'take' on item 'Green Citizen Suit' (#12519)
[17:31:51]	Sam Andrew Reeves has gained a 'Green Citizen Suit' #12519.
[17:31:56]	Sam Andrew Reeves ran 'drop' on item 'Green Citizen Suit' (#12519)
[17:31:56]	Sam Andrew Reeves has lost a 'Green Citizen Suit' #12519.
[17:31:57]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
