[15:34:23]	hnbug01 has connected.
[15:36:17]	hnbug01 loaded the character 'Feng Yi Hseuh'
[15:38:54]	matt saton has connected.
[15:39:59]	matt saton loaded the character 'Lee Maylor'
[15:40:00]	Lee Maylor entered observer.
[15:56:52]	Lee Maylor opened the '' #1409 container.
[15:56:54]	Lee Maylor closed the '' #1409 container.
[15:57:03]	Lee Maylor exited observer at their location.
[15:57:08]	Lee Maylor has taken 2 damage from Lee Maylor.
[15:57:10]	Lee Maylor entered observer.
[15:57:18]	Lee Maylor exited observer at their location.
[15:57:20]	Lee Maylor used command '/CharSetHunger maylor 100'.
[15:57:23]	Lee Maylor has taken 2 damage from Lee Maylor.
[15:57:24]	Lee Maylor used command '/CharSetThirst maylor 100'.
[15:57:26]	Lee Maylor entered observer.
[15:57:28]	Lee Maylor exited observer at their location.
[15:59:39]	Lee Maylor entered observer.
[16:00:13]	Lee Maylor exited observer at their location.
[16:00:20]	Lee Maylor entered observer.
[16:00:21]	Lee Maylor exited observer at their location.
[16:00:28]	Lee Maylor entered observer.
[16:00:28]	Lee Maylor exited observer at their location.
[16:00:59]	Lee Maylor entered observer.
[16:01:01]	Lee Maylor has spawned 'models/hunter/plates/plate2x2.mdl'.
[16:01:02]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:01:41]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:01:48]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:01:59]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:02:19]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:02:19]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:02:22]	Lee Maylor exited observer at their location.
[16:02:28]	Lee Maylor entered observer.
[16:02:29]	Lee Maylor exited observer at their location.
[16:02:31]	Lee Maylor entered observer.
[16:02:34]	Lee Maylor exited observer at their location.
[16:02:45]	Lee Maylor entered observer.
[16:02:46]	Lee Maylor exited observer at their location.
[16:02:48]	Lee Maylor entered observer.
[16:03:21]	Lee Maylor exited observer at their location.
[16:03:23]	Lee Maylor entered observer.
[16:03:28]	Lee Maylor exited observer at their location.
[16:03:41]	Lee Maylor entered observer.
[16:03:43]	Lee Maylor exited observer at their location.
[16:03:47]	Lee Maylor entered observer.
[16:03:51]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:03:52]	Lee Maylor has spawned 'models/hunter/plates/plate1x2.mdl'.
[16:03:53]	Lee Maylor exited observer at their location.
[16:03:56]	Lee Maylor entered observer.
[16:04:12]	Lee Maylor exited observer at their location.
[16:04:13]	Lee Maylor entered observer.
[16:04:14]	Lee Maylor exited observer at their location.
[16:04:15]	Lee Maylor entered observer.
[16:04:15]	Lee Maylor exited observer at their location.
[16:04:16]	Lee Maylor entered observer.
[16:04:17]	Lee Maylor exited observer at their location.
[16:04:17]	Lee Maylor entered observer.
[16:04:18]	Lee Maylor exited observer at their location.
[16:04:21]	Lee Maylor entered observer.
[16:04:22]	Lee Maylor exited observer at their location.
[16:04:22]	Lee Maylor entered observer.
[16:04:23]	Lee Maylor exited observer at their location.
[16:04:40]	Lee Maylor entered observer.
[16:04:41]	Lee Maylor exited observer at their location.
[16:04:45]	Lee Maylor has spawned 'models/props_combine/combine_bridge_b.mdl'.
[16:04:47]	Lee Maylor has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[16:04:48]	Lee Maylor entered observer.
[16:05:09]	Lee Maylor has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[16:05:12]	Lee Maylor has spawned 'models/props_combine/combine_barricade_short03a.mdl'.
[16:05:14]	Lee Maylor has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[16:05:23]	Lee Maylor exited observer at their location.
[16:05:29]	Lee Maylor entered observer.
[16:05:31]	Lee Maylor exited observer at their location.
[16:05:32]	Lee Maylor entered observer.
[16:05:44]	Lee Maylor exited observer at their location.
[16:05:45]	Lee Maylor entered observer.
[16:05:46]	Lee Maylor exited observer at their location.
[16:06:42]	Lee Maylor entered observer.
[16:06:42]	Lee Maylor exited observer at their location.
[16:06:43]	Lee Maylor entered observer.
[16:06:48]	Lee Maylor exited observer at their location.
[16:06:49]	Lee Maylor entered observer.
[16:06:49]	Lee Maylor exited observer at their location.
[16:06:50]	Lee Maylor entered observer.
[16:06:51]	Lee Maylor exited observer at their location.
[16:06:52]	Lee Maylor entered observer.
[16:06:52]	Lee Maylor exited observer at their location.
[16:06:53]	Lee Maylor entered observer.
[16:06:54]	Lee Maylor exited observer at their location.
[16:06:54]	Lee Maylor entered observer.
[16:06:54]	Lee Maylor exited observer at their location.
[16:06:55]	Lee Maylor entered observer.
[16:06:58]	Lee Maylor exited observer at their location.
[16:06:58]	Lee Maylor entered observer.
[16:06:59]	Lee Maylor exited observer at their location.
[16:06:59]	Lee Maylor entered observer.
[16:07:00]	Lee Maylor exited observer at their location.
[16:07:11]	Lee Maylor entered observer.
[16:07:11]	Lee Maylor exited observer at their location.
[16:07:11]	Lee Maylor entered observer.
[16:07:17]	Lee Maylor exited observer at their location.
[16:07:18]	Lee Maylor entered observer.
[16:08:04]	Lee Maylor exited observer at their location.
[16:08:05]	Lee Maylor entered observer.
[16:08:05]	Lee Maylor exited observer at their location.
[16:08:05]	Lee Maylor entered observer.
[16:08:06]	Lee Maylor exited observer at their location.
[16:08:06]	Lee Maylor entered observer.
[16:08:07]	Lee Maylor exited observer at their location.
[16:08:08]	Lee Maylor entered observer.
[16:21:49]	matt saton (STEAM_0:1:53097688) has disconnected.
[21:12:16]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:12:31]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:12:46]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:13:01]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:13:16]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:13:31]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:13:46]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:14:01]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:14:16]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:14:31]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:14:46]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:15:01]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:15:16]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:15:31]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:15:46]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:16:01]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:16:16]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:16:31]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:16:46]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:17:01]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:17:16]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:17:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:17:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:18:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:18:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:18:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:18:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:19:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:19:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:19:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:19:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:20:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:20:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:20:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:20:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:21:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:21:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:21:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:21:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:22:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:22:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:22:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:22:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:23:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:23:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:23:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:23:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:24:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:24:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:24:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:24:47]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:25:02]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:25:17]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:25:32]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:25:48]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:26:03]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:26:18]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:26:33]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:26:48]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:27:03]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:27:18]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:27:33]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:27:48]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:28:03]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:28:18]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:28:33]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:28:48]	Feng Yi Hseuh has taken 2 damage from Feng Yi Hseuh.
[21:28:48]	Feng Yi Hseuh has killed Feng Yi Hseuh.
[22:25:47]	hnbug01 (STEAM_0:1:575208276) has disconnected (timed out).
[22:48:00]	kinnairdkeisha has connected.
[22:49:02]	kinnairdkeisha loaded the character 'levi'
[22:49:14]	levi ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#12851)
[22:49:25]	levi used command '/CharDesc'.
[22:57:03]	levi ran 'Equip' on item 'Cyclopic Citizen Suit' (#12851)
[22:57:11]	levi ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#12851)
[22:58:51]	kinnairdkeisha (STEAM_0:0:596396211) has disconnected.
