[00:10:52]	_--Ashley--_ has connected.
[00:11:27]	_--Ashley--_ loaded the character 'Ashley Adams'
[00:12:01]	Ashley Adams has gained a 'Pin' #27054.
[00:12:04]	Ashley Adams ran 'drop' on item 'Pin' (#27054)
[00:12:04]	Ashley Adams has lost a 'Pin' #27054.
[00:12:09]	Ashley Adams ran 'drop' on item 'Gas Analyser' (#26954)
[00:12:09]	Ashley Adams has lost a 'Gas Analyser' #26954.
[00:12:10]	Ashley Adams ran 'drop' on item 'Gas Analyser' (#26630)
[00:12:10]	Ashley Adams has lost a 'Gas Analyser' #26630.
[00:12:12]	Ashley Adams ran 'drop' on item 'Car Battery' (#26298)
[00:12:12]	Ashley Adams has lost a 'Car Battery' #26298.
[00:12:13]	Ashley Adams ran 'Use' on item 'Padlock' (#27014)
[00:12:14]	Ashley Adams ran 'drop' on item 'Padlock' (#27014)
[00:12:14]	Ashley Adams has lost a 'Padlock' #27014.
[00:12:15]	Ashley Adams ran 'drop' on item 'Reinforced Padlock' (#26995)
[00:12:15]	Ashley Adams has lost a 'Reinforced Padlock' #26995.
[00:12:16]	Ashley Adams ran 'drop' on item 'Padlock' (#27024)
[00:12:16]	Ashley Adams has lost a 'Padlock' #27024.
[00:12:17]	Ashley Adams ran 'drop' on item 'Small Thermos' (#26949)
[00:12:17]	Ashley Adams has lost a 'Small Thermos' #26949.
[00:12:18]	Ashley Adams ran 'drop' on item 'Piece of Plexiglass' (#27048)
[00:12:18]	Ashley Adams has lost a 'Piece of Plexiglass' #27048.
[00:12:31]	Ashley Adams has gained a 'Light Bulb' #27055.
[00:12:34]	Ashley Adams ran 'drop' on item 'Light Bulb' (#27055)
[00:12:34]	Ashley Adams has lost a 'Light Bulb' #27055.
[00:12:35]	Ashley Adams ran 'drop' on item 'Military Circuit Board' (#26950)
[00:12:35]	Ashley Adams has lost a 'Military Circuit Board' #26950.
[00:13:00]	Ashley Adams has gained a 'Power Supply Unit' #27056.
[00:13:06]	Ashley Adams ran 'drop' on item 'Power Supply Unit' (#27056)
[00:13:06]	Ashley Adams has lost a 'Power Supply Unit' #27056.
[00:13:59]	Ashley Adams ran 'take' on item 'Pan' (#26611)
