[00:00:00]	[OOC] Rodriguo Ouh: early
[00:00:51]	Morgan Beck entered observer.
[00:00:51]	Morgan Beck exited observer at their location.
[00:00:52]	Morgan Beck entered observer.
[00:00:55]	Morgan Beck exited observer at their location.
[00:01:04]	Stefanko71 has connected.
[00:01:09]	[OOC] Emily Brown: 6am for me gonna go soon
[00:01:13]	[OOC] Rodriguo Ouh: understandable
[00:01:18]	[OOC] Morgan Beck: FUCK I REGRET NOT DOING JARVIS FOR THE WORK SHIFT
[00:01:27]	[OOC] Morgan Beck: i need to buy him gloves
[00:01:28]	[OOC] Emily Brown: i need joseph
[00:01:29]	[OOC] Rodriguo Ouh: SECOND WORK CYCLE BOYS
[00:01:51]	CCA.C14-JUDGE.OfC.91412 opened the 'Metal Cabinet' #1828 container.
[00:01:53]	CCA.C14-JUDGE.OfC.91412 has gained a 'Combine Worker Outfit' #19160.
[00:01:53]	CCA.C14-JUDGE.OfC.91412 closed the 'Metal Cabinet' #1828 container.
[00:01:56]	matt saton loaded the character 'Joseph Kimsler'
[00:01:58]	Joseph Kimsler entered observer.
[00:02:07]	Joseph Kimsler exited observer at their location.
[00:02:07]	Joseph Kimsler entered observer.
[00:02:08]	Joseph Kimsler exited observer at their location.
[00:02:08]	Emily Brown opened the '' #1810 container.
[00:02:10]	Emily Brown closed the '' #1810 container.
[00:02:22]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[00:03:21]	[ME] Emily Brown: gives him a notepad with all of her sales in a table
[00:03:26]	Stefanko71 (STEAM_0:0:145547500) has disconnected.
[00:03:26]	[LOOC] Joseph Kimsler: in the google doc?
[00:03:31]	[LOOC] Emily Brown: yes its in the google document
[00:03:33]	Joseph Kimsler has spawned a 'Entity [869][pfx4_00~]'.
[00:03:37]	[LOOC] Joseph Kimsler: wunderbar
[00:03:57]	Joseph Kimsler entered observer.
[00:03:57]	Joseph Kimsler exited observer at their location.
[00:03:58]	Joseph Kimsler entered observer.
[00:03:58]	Joseph Kimsler exited observer at their location.
[00:04:19]	[OOC] Joseph Kimsler: common sense emily
[00:04:20]	Joseph Kimsler entered observer.
[00:04:27]	[OOC] Emily Brown: bruh
[00:04:28]	Emily Brown opened the '' #1810 container.
[00:04:34]	[OOC] Joseph Kimsler: no, i'm complimenting you
[00:04:35]	Emily Brown has taken 148 tokens from '' #1810 (0 tokens left).
[00:04:36]	Emily Brown closed the '' #1810 container.
[00:04:46]	Joseph Kimsler exited observer at their location.
[00:04:46]	Joseph Kimsler entered observer.
[00:04:47]	Joseph Kimsler exited observer at their location.
[00:04:47]	[OOC] Emily Brown: for writing them down?
[00:04:49]	Joseph Kimsler entered observer.
[00:04:50]	Joseph Kimsler exited observer at their location.
[00:04:55]	[OOC] Joseph Kimsler: no, for keeping all your toeksn not on your person
[00:05:00]	[OOC] Emily Brown: ye
[00:05:03]	[OOC] Joseph Kimsler: benrey evenmt
[00:05:15]	[OOC] Morgan Beck: please no
[00:05:32]	[ME] Emily Brown: holds a sack of tokens, with "CWU" wrote on it with a black sharpie
[00:05:36]	[OOC] Joseph Kimsler: tfw sleepy actually fell asleep
[00:05:37]	[ME] Emily Brown: empties it onto the counter
[00:05:37]	[OOC] Morgan Beck: I will ban myself from the server for a year if you do
[00:05:43]	Emily Brown has lost 148 tokens.
[00:05:43]	Emily Brown used command '/DropTokens 148'.
[00:05:46]	Joseph Kimsler has gained 148 tokens.
[00:05:52]	[ME] Joseph Kimsler: takes them, counts them and smiles.
[00:05:53]	[LOOC] Emily Brown: count*
[00:06:11]	Joseph Kimsler entered observer.
[00:06:13]	Morgan Beck entered observer.
[00:06:16]	Morgan Beck exited observer at their location.
[00:06:21]	matt saton loaded the character 'Rodriguo Ouh'
[00:06:22]	Rodriguo Ouh entered observer.
[00:06:23]	Rodriguo Ouh exited observer at their location.
[00:06:39]	[ME] Rodriguo Ouh: pulls out a perfectly-cooked chicken nugget.
[00:06:40]	[IT] Rodriguo Ouh: Crisky and all.
[00:06:44]	[LOOC] Rodriguo Ouh: Crispy*
[00:06:46]	[ME] Morgan Beck: leans against the wall, and begins to watch.
[00:06:54]	[ME] CCA.C14-JUDGE.OfC.91412: drops a worker outfit with gloves, orange-colored. It was lined with rubber.
[00:06:57]	CCA.C14-JUDGE.OfC.91412 ran 'drop' on item 'Combine Worker Outfit' (#19160)
[00:06:57]	CCA.C14-JUDGE.OfC.91412 has lost a 'Combine Worker Outfit' #19160.
[00:07:02]	Rodriguo Ouh ran 'take' on item 'Combine Worker Outfit' (#19160)
[00:07:02]	Rodriguo Ouh has gained a 'Combine Worker Outfit' #19160.
[00:07:08]	Rodriguo Ouh ran 'Equip' on item 'Combine Worker Outfit' (#19160)
[00:07:22]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[00:07:48]	Rodriguo Ouh entered observer.
[00:07:57]	Rodriguo Ouh has spawned 'models/Combine_Strider.mdl'.
[00:08:09]	Morgan Beck entered observer.
[00:08:12]	Morgan Beck exited observer at their location.
[00:08:15]	Morgan Beck entered observer.
[00:08:18]	Morgan Beck exited observer at their location.
[00:08:51]	[OOC] Rodriguo Ouh: /me attempts to seduc hte strider
[00:08:57]	Morgan Beck entered observer.
[00:09:02]	Morgan Beck used command '/RollStat agi'.
[00:09:06]	[LOOC] Morgan Beck: LETS FUCKING GOOOO
[00:09:12]	Morgan Beck exited observer at their location.
[00:09:26]	[OOC] Morgan Beck: m e a t
[00:10:09]	Stefanko71 has connected.
[00:10:34]	[OOC] Emily Brown: why has this robin guy been afk for hours
[00:10:39]	[OOC] Rodriguo Ouh: i dunno
[00:10:39]	[OOC] Morgan Beck: Prob asleep
[00:10:42]	Morgan Beck entered observer.
[00:10:43]	[OOC] Rodriguo Ouh: maybe stealing our code via a scraper
[00:10:43]	Morgan Beck exited observer at their location.
[00:10:43]	Morgan Beck entered observer.
[00:10:43]	Morgan Beck exited observer at their location.
[00:10:46]	Rodriguo Ouh has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[00:10:50]	[OOC] Morgan Beck: eh
[00:10:51]	Rodriguo Ouh has spawned 'models/props_phx/construct/metal_plate2x2.mdl'.
[00:10:59]	[OOC] Rodriguo Ouh: put tha'ts just a theroy
[00:11:01]	[OOC] Rodriguo Ouh: ASERVER 
[00:11:08]	[OOC] Emily Brown: aserver
[00:11:14]	[OOC] Emily Brown: can i flag up
[00:11:18]	[OOC] Rodriguo Ouh: dA
[00:11:20]	[OOC] Rodriguo Ouh: Da*
[00:11:26]	PhilipIsBored loaded the character 'CCA.C14-UNION.i5.39867'
[00:11:27]	Rodriguo Ouh has spawned 'models/props_phx/construct/metal_wire2x2b.mdl'.
[00:11:29]	Rodriguo Ouh has spawned 'models/props_phx/construct/metal_wire2x2b.mdl'.
[00:11:37]	[ME] Morgan Beck: leans back a bit against the destroyed vehicle, watching.
[00:11:42]	Rodriguo Ouh has spawned 'models/props_phx/construct/metal_wire2x2b.mdl'.
[00:11:43]	Rodriguo Ouh exited observer at their location.
[00:11:44]	Rodriguo Ouh entered observer.
[00:11:45]	Rodriguo Ouh has spawned 'models/props_phx/construct/metal_wire2x2b.mdl'.
[00:11:46]	[OOC] CCA.C14-UNION.i5.39867: oh i am now stuck in the lower level nexus
[00:11:47]	Rodriguo Ouh exited observer at their location.
[00:11:50]	Rodriguo Ouh entered observer.
[00:11:50]	[OOC] CCA.C14-UNION.i5.39867: brilliant
[00:11:50]	Morgan Beck entered observer.
[00:11:56]	Morgan Beck exited observer at their location.
[00:11:58]	[LOOC] Morgan Beck: magic
[00:12:08]	Rodriguo Ouh exited observer at their location.
[00:12:16]	Rodriguo Ouh entered observer.
[00:12:19]	Rodriguo Ouh exited observer at their location.
[00:12:20]	Rodriguo Ouh entered observer.
[00:12:22]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[00:12:46]	Rodriguo Ouh exited observer at their location.
[00:13:05]	Rodriguo Ouh entered observer.
[00:13:07]	Rodriguo Ouh exited observer at their location.
[00:13:48]	Rodriguo Ouh entered observer.
[00:13:49]	Rodriguo Ouh exited observer at their location.
[00:13:58]	[Y] Rodriguo Ouh: I didn't get any tools!
[00:14:04]	Rodriguo Ouh has taken 19 damage from worldspawn.
[00:14:45]	CCA.C14-JUDGE.OfC.91412 used command '/ToggleRaise'.
[00:14:46]	[ME] Rodriguo Ouh: pulls out one perfect, amazingly brown, crispy, wendy's nugget worthy chicken nugget out of his pocket.
[00:14:47]	Rodriguo Ouh has taken 5 damage from CCA.C14-JUDGE.OfC.91412.
[00:14:50]	CCA.C14-JUDGE.OfC.91412 used command '/ToggleRaise'.
[00:15:01]	[ME] Rodriguo Ouh: pulls out one perfect, amazingly brown, crispy, wendy's nugget worthy chicken nugget out of his pocket.
[00:15:06]	[ME] Rodriguo Ouh: holds it out to the man.
[00:15:09]	[Y] Rodriguo Ouh: Tickle fight!
[00:15:19]	[ME] Rodriguo Ouh: would attempt to tickle the man. What would he do?
[00:15:27]	[ME] Morgan Beck: tries to get the fuck away from this lunatic
[00:15:35]	[LOOC] Rodriguo Ouh: roll agi
[00:15:39]	Morgan Beck used command '/RollStat agi'.
[00:15:40]	Rodriguo Ouh used command '/RollStat agi'.
[00:15:42]	CCA.C14-JUDGE.OfC.91412 used command '/ToggleRaise'.
[00:15:43]	Rodriguo Ouh has taken 5 damage from CCA.C14-JUDGE.OfC.91412.
[00:15:43]	Rodriguo Ouh has taken 5 damage from CCA.C14-JUDGE.OfC.91412.
[00:15:44]	Rodriguo Ouh has taken 5 damage from CCA.C14-JUDGE.OfC.91412.
[00:15:45]	Rodriguo Ouh has taken 5 damage from CCA.C14-JUDGE.OfC.91412.
[00:16:03]	[ME] Morgan Beck: was ready to beat the man with a damn headcrab corpse
[00:16:05]	CCA.C14-JUDGE.OfC.91412 used command '/ToggleRaise'.
[00:16:26]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[00:16:39]	[OOC] CCA.C14-UNION.i5.39867: tik tok is finally dyin
[00:16:41]	[OOC] CCA.C14-UNION.i5.39867: its being purged
[00:16:55]	[OOC] Rodriguo Ouh: imagine being this salty about being punked by a punch of teenagers
[00:17:03]	[OOC] CCA.C14-UNION.i5.39867: everyone with a amazon email that has tik tok on their device has to remove it by Jun-10
[00:17:11]	[OOC] CCA.C14-UNION.i5.39867: to keep the amazon email
[00:17:15]	[OOC] Rodriguo Ouh: LOL WHAT
[00:17:16]	Rodriguo Ouh used command '/DoorSetHidden true'.
[00:17:18]	[OOC] CCA.C14-UNION.i5.39867: because of the chinese security risk
[00:17:18]	[ME] CCA.C14-JUDGE.OfC.91412: takes out tools dog.
[00:17:20]	[OOC] CCA.C14-UNION.i5.39867: yeah lol look it up
[00:17:22]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[00:17:24]	[OOC] Rodriguo Ouh: >Chinese security risk
[00:17:25]	[OOC] CCA.C14-UNION.i5.39867: just got reported
[00:17:27]	[ME] CCA.C14-JUDGE.OfC.91412: hands the dumbass some tools dog
[00:17:28]	[OOC] Rodriguo Ouh: wher'es that one meme
[00:17:32]	[OOC] Rodriguo Ouh: of like
[00:17:33]	[OOC] Rodriguo Ouh: hold on
[00:17:34]	Rodriguo Ouh used command '/DoorSetHidden true'.
[00:17:36]	[OOC] Rodriguo Ouh: i'll send it later
[00:17:44]	[OOC] Morgan Beck: can't believe I got two nat 100s in a single day
[00:17:58]	[OOC] CCA.C14-UNION.i5.39867: whats a nat 100
[00:17:59]	[OOC] Morgan Beck: especially the fact I was trying to get away from Oouh
[00:18:03]	Rodriguo Ouh has taken 5 damage from CCA.C14-JUDGE.OfC.91412.
[00:18:05]	[OOC] Morgan Beck: When you roll a 100 without mods
[00:18:15]	[OOC] Morgan Beck: Basically means you do whatever you were doing perfectly
[00:18:19]	[OOC] Morgan Beck: IF IT is possible
[00:18:19]	Rodriguo Ouh entered observer.
[00:18:22]	Rodriguo Ouh exited observer at their location.
[00:18:24]	[OOC] CCA.C14-JUDGE.OfC.91412: i rolled a nat 100 when planting a charge ona  buiolding earlier
[00:18:24]	[OOC] CCA.C14-UNION.i5.39867: what if you got 100 while looting
[00:18:26]	[OOC] Morgan Beck: If it isn't, it barely works
[00:18:28]	[OOC] Rodriguo Ouh: critical success
[00:18:32]	[OOC] Morgan Beck: Youi get something really good
[00:18:37]	[OOC] CCA.C14-UNION.i5.39867: lilke wat
[00:18:41]	[OOC] Morgan Beck: For example, searching a dumpster and roll nat 100?
[00:18:46]	[OOC] Morgan Beck: Perfectly untouched full ration.
[00:18:53]	[OOC] Rodriguo Ouh: or if it's like in the swers
[00:18:56]	[OOC] Rodriguo Ouh: gun
[00:18:58]	[OOC] Rodriguo Ouh: or bullest
[00:18:59]	[OOC] Rodriguo Ouh: idfk
[00:19:13]	[OOC] Morgan Beck: I tune it to how freqently something gets looted
[00:19:22]	[OOC] Morgan Beck: So dumpsters don't yield much
[00:19:25]	[ME] Rodriguo Ouh: would grab the severed wires and climb back on the stirder.
[00:19:27]	[OOC] Rodriguo Ouh: also this
[00:19:27]	Rodriguo Ouh entered observer.
[00:19:29]	Rodriguo Ouh exited observer at their location.
[00:19:29]	Rodriguo Ouh entered observer.
