[15:33:26]	Doughnut has connected.
[15:34:28]	Doughnut loaded the character 'Klaudiusz Olszewski'
[15:34:30]	Klaudiusz Olszewski entered observer.
[15:35:58]	Klaudiusz Olszewski exited observer at their location.
[15:35:58]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:35:59]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:35:59]	Klaudiusz Olszewski entered observer.
[15:36:01]	Klaudiusz Olszewski exited observer at their location.
[15:36:01]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:02]	Klaudiusz Olszewski entered observer.
[15:36:04]	Klaudiusz Olszewski exited observer at their location.
[15:36:04]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:04]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:05]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:06]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:06]	Klaudiusz Olszewski entered observer.
[15:36:08]	Klaudiusz Olszewski exited observer at their location.
[15:36:08]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:09]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:09]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:10]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:11]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:12]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:13]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:13]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:14]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:15]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:16]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:16]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:17]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:18]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:19]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:19]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:20]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:21]	Klaudiusz Olszewski has spawned a 'Entity [2896][ix_testent9]'.
[15:36:21]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:22]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:22]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:23]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:24]	Klaudiusz Olszewski has taken 1 damage from worldspawn.
[15:36:24]	Klaudiusz Olszewski has spawned a 'Entity [2896][ix_airvent]'.
[15:36:26]	Klaudiusz Olszewski entered observer.
[15:36:26]	Klaudiusz Olszewski exited observer at their location.
[15:48:26]	Doughnut (STEAM_0:1:127409364) has disconnected.
[16:21:48]	jbizrico1 has connected.
[16:21:56]	Orbo has connected.
[16:23:05]	jbizrico1 loaded the character 'johnson'
[16:24:07]	jbizrico1 (STEAM_0:0:178437759) has disconnected.
[16:25:10]	Orbo created the character 'Max Robertson'
[16:25:10]	Max Robertson has gained a 'Suitcase' #13028.
[16:25:10]	Max Robertson has gained a 'Relocation Coupon' #13029.
[16:25:10]	Max Robertson has gained a 'Cyclopic Citizen Suit' #13030.
[16:25:10]	Max Robertson has gained a 'Citizen Filter' #13031.
[16:25:10]	Orbo loaded the character 'Max Robertson'
[16:25:25]	Max Robertson ran 'Equip' on item 'Cyclopic Citizen Suit' (#13030)
[16:25:25]	Max Robertson ran 'equip' on item 'Citizen Filter' (#13031)
[16:26:32]	Max Robertson used command '/Content'.
[16:28:48]	Max Robertson has taken 250 damage from trigger_hurt.
[16:28:48]	trigger_hurt has killed Max Robertson.
[16:29:17]	Orbo (STEAM_0:0:50988948) has disconnected.
