[00:13:47]	beansman67 has connected.
[00:16:56]	beansman67 created the character 'mario'
[00:16:56]	mario has gained a 'Suitcase' #13887.
[00:16:56]	mario has gained a 'Relocation Coupon' #13888.
[00:16:56]	mario has gained a 'Cyclopic Citizen Suit' #13889.
[00:16:56]	mario has gained a 'Citizen Filter' #13890.
[00:16:56]	beansman67 loaded the character 'mario'
[00:17:04]	mario has taken 250 damage from trigger_hurt.
[00:17:04]	trigger_hurt has killed mario.
[00:17:44]	mario has taken 5 damage from mario.
[00:17:44]	mario has gained 10 tokens.
[00:17:56]	mario has taken 1 damage from worldspawn.
[00:17:57]	mario has taken 1 damage from worldspawn.
[00:17:58]	mario has taken 1 damage from worldspawn.
[00:17:59]	mario has taken 1 damage from worldspawn.
[00:20:08]	beansman67 (STEAM_0:1:581036245) has disconnected.
[09:33:55]	hnbug01 has connected.
[09:36:01]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[09:54:16]	matt saton has connected.
[09:55:02]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[09:55:05]	CCA.C08-UNION.i1.51023 entered observer.
[09:55:05]	CCA.C08-UNION.i1.51023 exited observer at their location.
[09:55:06]	CCA.C08-UNION.i1.51023 entered observer.
[09:55:08]	CCA.C08-UNION.i1.51023 exited observer at their location.
[09:58:18]	CCA.C08-UNION.i1.51023 entered observer.
[09:59:15]	CCA.C08-UNION.i1.51023 exited observer at their location.
[09:59:17]	CCA.C08-UNION.i1.51023 entered observer.
[09:59:18]	CCA.C08-UNION.i1.51023 exited observer at their location.
[09:59:19]	CCA.C08-UNION.i1.51023 entered observer.
[10:00:02]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[10:00:40]	[ME] CCA.C08-UNION.i1.51023: takes out their datapad and types a couple things in.
[10:04:44]	CCA.C08-UNION.i1.51023 used command '/VisorDanger test'.
[10:04:54]	CCA.C08-UNION.i1.51023 used command '/VisorDanger Help!'.
[10:05:02]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[10:05:25]	CCA.C08-UNION.i1.51023 used command '/adminspawnmenu'.
[10:06:46]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:06:46]	CCA.C08-UNION.i1.51023 entered observer.
[10:06:51]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2903][ix_printer]'.
[10:07:04]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:07:48]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:13]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:15]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:16]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:22]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:23]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:24]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:36]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:38]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:39]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:39]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:40]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:40]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:41]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:41]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:42]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:42]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:43]	CCA.C08-UNION.i1.51023 entered observer.
[10:28:46]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:28:48]	CCA.C08-UNION.i1.51023 has taken 69 damage from worldspawn.
[10:28:53]	CCA.C08-UNION.i1.51023 entered observer.
[10:34:01]	Cheese has connected.
[10:36:05]	Cheese loaded the character 'CCA.C08-UNION.i5.99915'
[10:36:21]	[OOC] CCA.C08-UNION.i5.99915: i forgot i have 4 suitcases of filters
[10:36:39]	[OOC] CCA.C08-UNION.i1.51023: give me one sec, i need to burn some incense around the house
[10:36:44]	[OOC] CCA.C08-UNION.i1.51023: i'll be fast
[10:36:49]	[OOC] CCA.C08-UNION.i5.99915: stinky house
[10:42:26]	[OOC] CCA.C08-UNION.i1.51023: sorry, had to cleanse the house
[10:42:32]	[OOC] CCA.C08-UNION.i1.51023: was talking abouit some native american mythical creatures
[10:43:04]	[OOC] CCA.C08-UNION.i1.51023: what's up
[10:43:30]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:43:35]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[10:43:36]	CCA.C08-GRID.i3.08313 entered observer.
[10:43:43]	CCA.C08-GRID.i3.08313 used command '/Radio Union!'.
[10:43:54]	CCA.C08-GRID.i3.08313 used command '/Radio Union!'.
[10:44:19]	[OOC] CCA.C08-UNION.i5.99915: back
[10:44:21]	[OOC] CCA.C08-GRID.i3.08313: wbwb
[10:44:27]	CCA.C08-GRID.i3.08313 used command '/Radio Union!'.
[10:45:04]	CCA.C08-UNION.i5.99915 used command '/Radio Copy?'.
