[03:57:41]	PhilipIsBored has connected.
[04:40:40]	PhilipIsBored loaded the character 'CCA.C14-UNION.i5.39867'
[04:40:58]	CCA.C14-UNION.i5.39867 ran 'drop' on item '.9mm Pistol' (#18969)
[04:40:58]	CCA.C14-UNION.i5.39867 has lost a '.9mm Pistol' #18969.
[04:41:01]	CCA.C14-UNION.i5.39867 ran 'take' on item '.9mm Pistol' (#18969)
[04:41:01]	CCA.C14-UNION.i5.39867 has gained a '.9mm Pistol' #18969.
[04:41:03]	CCA.C14-UNION.i5.39867 ran 'Equip' on item '.9mm Pistol' (#18969)
[04:41:04]	CCA.C14-UNION.i5.39867 ran 'Equip' on item 'Combat Knife' (#22008)
[04:41:21]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[04:41:27]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[04:41:28]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[04:45:31]	PhilipIsBored (STEAM_0:0:38537787) has disconnected (timed out).
[10:48:37]	Madeline Wuntch has connected.
[10:49:02]	FB|| light ROOM has connected.
[10:50:35]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i4.36307'
[10:51:42]	Madeline Wuntch loaded the character 'Janet Fraiser'
[10:51:46]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[10:51:51]	[OOC] CCA.C14-UNION.EpU.72633: yo
[10:51:58]	[OOC] Janet Fraiser: hey hey
[10:52:06]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item 'XM31 OICW' (#18856)
[10:52:06]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item '.9mm Pistol' (#18841)
[10:52:12]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i4.36307'
[10:52:23]	[OOC] CCA.C14-UNION.EpU.72633: What the fuck I can't switch to my equipped OICW/Pistol
[10:52:25]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item '.9mm Pistol' (#18841)
[10:52:26]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'XM31 OICW' (#18856)
[10:52:33]	CCA.C14-UNION.i4.36307 ran 'Equip' on item '.9mm Pistol' (#18976)
[10:52:33]	[LOOC] CCA.C14-UNION.EpU.72633: Fixed
[10:52:38]	CCA.C14-UNION.i4.36307 ran 'Equip' on item 'Combat Knife' (#21987)
[10:52:47]	[LOOC] CCA.C14-UNION.EpU.72633: It do be OOC hours
[10:52:48]	CCA.C14-UNION.i4.36307 ran 'drop' on item 'UU Brand Chocolate' (#22084)
[10:52:48]	CCA.C14-UNION.i4.36307 has lost a 'UU Brand Chocolate' #22084.
[10:53:13]	[LOOC] CCA.C14-UNION.EpU.72633: Can you see what I'm saying?
[10:53:21]	[LOOC] CCA.C14-UNION.i4.36307: :shrug:
[10:53:41]	[LOOC] CCA.C14-UNION.EpU.72633: I'm saying random letters and it's acting like I'm not saying anything
[10:53:48]	[LOOC] CCA.C14-UNION.i4.36307: the fuckj
[10:53:57]	[LOOC] CCA.C14-UNION.EpU.72633: Bruh
[10:54:04]	[LOOC] CCA.C14-UNION.i4.36307: help me
[10:54:22]	[LOOC] CCA.C14-UNION.i4.36307: i cant type anything
[10:54:23]	[LOOC] CCA.C14-UNION.EpU.72633: We might have to speak with Q about this
[10:54:34]	[LOOC] CCA.C14-UNION.i4.36307: yep
[10:54:48]	[LOOC] CCA.C14-UNION.EpU.72633: Maybe switch chars and see if that fixes it
[10:54:52]	FB|| light ROOM loaded the character 'Journey Robertson'
[10:54:55]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[10:54:59]	[LOOC] CCA.C14-UNION.EpU.72633: Nope
[10:55:01]	[LOOC] CCA.C14-UNION.EpU.72633: fuck
[10:55:20]	[LOOC] CCA.C14-UNION.i4.36307: the fuck
[10:55:29]	CCA.C14-UNION.i4.36307 used command '/Radio g'.
[10:55:41]	[LOOC] CCA.C14-UNION.i4.36307: radio works
[10:55:57]	[LOOC] CCA.C14-UNION.EpU.72633: Seems so
[10:56:14]	[LOOC] CCA.C14-UNION.i4.36307: gonna rejoin
[10:56:18]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[10:57:18]	Madeline Wuntch has connected.
[10:59:53]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i4.36307'
[10:59:55]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:00:02]	[OOC] CCA.C14-UNION.i4.36307: rejoin doesnt work
[11:04:53]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:04:55]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:08:07]	[OOC] CCA.C14-UNION.EpU.72633: Back
[11:08:15]	[LOOC] CCA.C14-UNION.EpU.72633: Fuck
[11:08:34]	[LOOC] CCA.C14-UNION.EpU.72633: Welp we're fucked until Q can get on and fix this ;-;
[11:08:39]	[LOOC] CCA.C14-UNION.i4.36307: yep
[11:08:57]	[LOOC] CCA.C14-UNION.EpU.72633: Atleast it's OOC hours so we don't really need to worry about IC shit
[11:09:01]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item 'XM31 OICW' (#18856)
[11:09:01]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item '.9mm Pistol' (#18841)
[11:09:03]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'XM31 OICW' (#18856)
[11:09:04]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item '.9mm Pistol' (#18841)
[11:09:32]	[LOOC] CCA.C14-UNION.i4.36307: the fuck
[11:09:38]	[LOOC] CCA.C14-UNION.EpU.72633: ?
[11:09:44]	[LOOC] CCA.C14-UNION.i4.36307: i cant equip my gun nor my knife
