[13:36:30]	Painevan has connected.
[13:37:01]	Painevan loaded the character 'Karl Von Habsburg'
[13:37:29]	Karl Von Habsburg entered observer.
[13:50:58]	Painevan (STEAM_0:0:68118061) has disconnected.
[14:33:58]	matt saton has connected.
[14:45:19]	matt saton loaded the character 'James Albright'
[14:45:21]	James Albright entered observer.
[14:45:47]	James Albright used command '/ToggleRaise'.
[14:48:22]	James Albright has spawned a 'Entity [3192][ix_unionlight]'.
[14:48:24]	James Albright exited observer at their location.
[14:48:36]	James Albright entered observer.
[14:49:02]	James Albright exited observer at their location.
[14:49:05]	James Albright entered observer.
[14:49:06]	James Albright exited observer at their location.
[14:49:14]	James Albright entered observer.
[14:49:14]	James Albright exited observer at their location.
[14:49:16]	James Albright entered observer.
[14:49:17]	James Albright exited observer at their location.
[14:49:24]	James Albright entered observer.
[14:49:24]	James Albright exited observer at their location.
[14:49:25]	James Albright entered observer.
[14:49:25]	James Albright exited observer at their location.
[14:51:22]	James Albright entered observer.
[14:51:29]	James Albright has spawned a 'Entity [3192][witcher_gateway]'.
[14:51:30]	James Albright has spawned a 'Entity [3194][witcher_gateway]'.
[14:51:32]	James Albright exited observer at their location.
[14:52:48]	James Albright entered observer.
[14:52:59]	James Albright exited observer at their location.
[14:52:59]	James Albright entered observer.
[14:52:59]	James Albright exited observer at their location.
[14:53:00]	James Albright entered observer.
[14:53:00]	James Albright exited observer at their location.
[14:55:34]	James Albright has taken 4 damage from worldspawn.
[14:55:37]	James Albright entered observer.
[14:55:42]	James Albright exited observer at their location.
[14:56:12]	James Albright entered observer.
[14:56:15]	James Albright exited observer at their location.
[14:56:18]	James Albright entered observer.
[14:56:20]	James Albright exited observer at their location.
[14:56:27]	James Albright entered observer.
[14:56:28]	James Albright exited observer at their location.
[14:56:31]	James Albright entered observer.
[14:59:28]	James Albright exited observer at their location.
[14:59:41]	James Albright has spawned 'models/props/cs_assault/forklift.mdl'.
[14:59:57]	James Albright has spawned 'models/props/de_tides/menu_stand.mdl'.
[15:00:36]	James Albright has spawned 'models\props/CS_militia/crate_extralargemill.mdl'.
[15:00:43]	James Albright has spawned 'models\props/CS_militia/crate_extrasmallmill.mdl'.
[15:00:49]	James Albright has spawned 'models/props/de_nuke/crate_large.mdl'.
[15:00:55]	James Albright has spawned 'models/props/de_nuke/crate_extralarge.mdl'.
[15:00:57]	James Albright has spawned 'models/props/de_nuke/crate_large.mdl'.
[15:00:58]	James Albright has spawned 'models/props/de_nuke/crate_extrasmall.mdl'.
[15:01:05]	James Albright has spawned 'models/props/de_nuke/crate_extrasmall.mdl'.
[15:01:14]	James Albright entered observer.
[15:01:22]	James Albright exited observer at their location.
[15:01:26]	James Albright has spawned 'models/props/de_nuke/cinderblock_stack.mdl'.
[15:01:30]	James Albright has spawned 'models/props/de_nuke/NuclearFuelContainer.mdl'.
[15:01:32]	James Albright entered observer.
[15:01:38]	James Albright exited observer at their location.
[15:01:38]	James Albright entered observer.
[15:01:42]	James Albright exited observer at their location.
[15:01:42]	James Albright entered observer.
[15:01:43]	James Albright exited observer at their location.
[15:01:53]	James Albright has spawned 'models\props/cs_office/Crates_indoor.mdl'.
[15:01:56]	James Albright entered observer.
[15:02:05]	James Albright has spawned 'models/props/de_nuke/NuclearFuelContainer.mdl'.
[15:02:10]	James Albright exited observer at their location.
[15:02:16]	James Albright has spawned 'models\props/CS_militia/crate_stackmill.mdl'.
[15:02:17]	James Albright has taken 10 damage from prop_physics.
[15:02:17]	James Albright has taken 200 damage from worldspawn.
[15:02:17]	worldspawn has killed James Albright.
[15:02:21]	James Albright entered observer.
[15:02:32]	James Albright has spawned 'models/props/cs_assault/dryer_box.mdl'.
[15:02:38]	James Albright has spawned 'models/props/cs_assault/dryer_box2.mdl'.
[15:02:38]	James Albright exited observer at their location.
[15:02:40]	James Albright has spawned 'models/props/cs_assault/washer_box.mdl'.
[15:02:41]	James Albright has spawned 'models/props/cs_assault/washer_box2.mdl'.
[15:02:45]	James Albright has spawned 'models\props/CS_militia/boxes_frontroom.mdl'.
[15:02:46]	James Albright entered observer.
[15:02:46]	James Albright exited observer at their location.
[15:02:56]	James Albright entered observer.
[15:02:57]	James Albright exited observer at their location.
[15:03:25]	James Albright has spawned 'models\props/CS_militia/boxes_garage_lower.mdl'.
[15:03:25]	James Albright entered observer.
[15:03:26]	James Albright used command '/ToggleRaise'.
[15:03:29]	James Albright exited observer at their location.
[15:03:33]	James Albright has spawned 'models/props/de_nuke/crate_extrasmall.mdl'.
[15:03:34]	James Albright entered observer.
[15:03:47]	James Albright has spawned 'models/props/cs_assault/MoneyPallet_WasherDryer.mdl'.
[15:03:56]	James Albright has spawned 'models/props/cs_assault/dryer_box2.mdl'.
[15:04:10]	James Albright has spawned 'models\props/CS_militia/microwave01.mdl'.
[15:04:15]	James Albright exited observer at their location.
[15:04:22]	James Albright has spawned 'models/props/de_nuke/NuclearContainerBoxClosed.mdl'.
[15:04:29]	James Albright has spawned 'models/props/cs_assault/dryer_box.mdl'.
[15:04:32]	James Albright has spawned 'models/props/cs_assault/box_stack2.mdl'.
[15:04:33]	James Albright entered observer.
[15:04:34]	James Albright exited observer at their location.
[15:04:39]	James Albright has spawned 'models/props/cs_office/paperbox_pile_01.mdl'.
[15:04:51]	James Albright has spawned 'models/props/cs_assault/handtruck.mdl'.
[15:04:55]	James Albright entered observer.
[15:05:01]	James Albright exited observer at their location.
[15:05:04]	James Albright entered observer.
[15:05:04]	James Albright exited observer at their location.
[15:05:33]	James Albright has gained a 'Traffic Cone' #25638.
[15:05:33]	James Albright used command '/CreateCustomItem Traffic Cone models/props_junk/TrafficCone001a.mdl An orange traffic cone with reflective tape near its top.'.
[15:05:36]	James Albright has gained a 'Traffic Cone' #25639.
[15:05:36]	James Albright used command '/CreateCustomItem Traffic Cone models/props_junk/TrafficCone001a.mdl An orange traffic cone with reflective tape near its top.'.
[15:05:37]	James Albright has gained a 'Traffic Cone' #25640.
[15:05:37]	James Albright used command '/CreateCustomItem Traffic Cone models/props_junk/TrafficCone001a.mdl An orange traffic cone with reflective tape near its top.'.
[15:05:43]	James Albright ran 'drop' on item 'Traffic Cone' (#25639)
[15:05:43]	James Albright has lost a 'Traffic Cone' #25639.
[15:05:50]	James Albright ran 'drop' on item 'Traffic Cone' (#25640)
[15:05:50]	James Albright has lost a 'Traffic Cone' #25640.
[15:05:56]	James Albright ran 'drop' on item 'Traffic Cone' (#25638)
[15:05:56]	James Albright has lost a 'Traffic Cone' #25638.
[15:06:01]	James Albright entered observer.
[15:06:36]	James Albright exited observer at their location.
[15:06:40]	James Albright has gained a 'Traffic Cone' #25641.
[15:06:40]	James Albright used command '/CreateCustomItem Traffic Cone models/props_junk/TrafficCone001a.mdl An orange traffic cone with reflective tape near its top.'.
[15:06:40]	James Albright has gained a 'Traffic Cone' #25642.
[15:06:40]	James Albright used command '/CreateCustomItem Traffic Cone models/props_junk/TrafficCone001a.mdl An orange traffic cone with reflective tape near its top.'.
[15:06:41]	James Albright has gained a 'Traffic Cone' #25643.
[15:06:41]	James Albright used command '/CreateCustomItem Traffic Cone models/props_junk/TrafficCone001a.mdl An orange traffic cone with reflective tape near its top.'.
[15:06:43]	James Albright ran 'drop' on item 'Traffic Cone' (#25643)
[15:06:43]	James Albright has lost a 'Traffic Cone' #25643.
[15:06:51]	James Albright ran 'drop' on item 'Traffic Cone' (#25642)
[15:06:51]	James Albright has lost a 'Traffic Cone' #25642.
[15:07:08]	James Albright entered observer.
[15:07:25]	James Albright exited observer at their location.
[15:09:09]	James Albright entered observer.
[15:09:12]	James Albright exited observer at their location.
[15:09:31]	James Albright has spawned 'models/player/zelpa/male_06_extended.mdl'.
[15:09:32]	James Albright has spawned 'models/player/zelpa/male_07_extended.mdl'.
[15:09:33]	James Albright has spawned 'models/player/zelpa/male_09_extended.mdl'.
[15:15:52]	James Albright has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[15:16:06]	James Albright entered observer.
[15:16:07]	James Albright has spawned a 'NPC [3209][monster_gonome]'.
[15:16:09]	James Albright has spawned a 'NPC [3210][monster_panthereye]'.
[15:16:15]	James Albright used command '/ToggleRaise'.
[15:16:39]	James Albright used command '/ToggleRaise'.
[15:16:50]	James Albright exited observer at their location.
[15:16:50]	James Albright entered observer.
[15:16:51]	James Albright exited observer at their location.
[15:16:51]	James Albright has taken 4 damage from James Albright.
[15:16:54]	James Albright has taken 4 damage from James Albright.
[15:16:56]	James Albright entered observer.
[15:17:02]	James Albright exited observer at their location.
[15:17:10]	James Albright has spawned a 'NPC [3216][monster_bullsquid]'.
[15:17:11]	James Albright has taken 4 damage from monster_bullsquid.
[15:17:11]	James Albright has taken 4 damage from monster_bullsquid.
[15:17:11]	James Albright has taken 4 damage from monster_bullsquid.
[15:17:11]	James Albright has taken 4 damage from monster_bullsquid.
[15:17:11]	James Albright has taken 4 damage from monster_bullsquid.
[15:17:11]	James Albright has taken 4 damage from monster_bullsquid.
[15:17:11]	James Albright entered observer.
[15:17:15]	James Albright used command '/ToggleRaise'.
[15:17:16]	James Albright exited observer at their location.
[15:17:16]	James Albright has taken 28 damage from monster_bullsquid.
[15:17:17]	James Albright entered observer.
[15:17:17]	James Albright used command '/ToggleRaise'.
[15:17:18]	James Albright exited observer at their location.
[15:17:19]	James Albright entered observer.
[15:17:20]	James Albright exited observer at their location.
[15:18:00]	James Albright used command '/ToggleRaise'.
[15:18:12]	James Albright has spawned a 'NPC [3212][npc_vortigaunt]'.
[15:18:58]	James Albright used command '/ToggleRaise'.
[15:19:43]	James Albright has spawned 'models/tnb/items/shirt_citizen1.mdl'.
[15:19:44]	James Albright entered observer.
[15:19:45]	James Albright has spawned 'models/tnb/items/shirt_rebel1.mdl'.
[15:20:32]	James Albright has spawned 'models/tnb/items/wintercoat.mdl'.
[15:20:32]	James Albright exited observer at their location.
[15:20:33]	James Albright entered observer.
[15:20:34]	James Albright exited observer at their location.
[15:20:37]	James Albright has spawned 'models/tnb/citizens/male_07.mdl'.
[15:20:42]	James Albright entered observer.
[15:20:57]	James Albright has spawned 'models/tnb/citizens/male_16.mdl'.
[15:21:35]	James Albright exited observer at their location.
[15:21:36]	James Albright entered observer.
[15:21:37]	James Albright exited observer at their location.
[15:21:38]	James Albright entered observer.
[15:21:38]	James Albright exited observer at their location.
[15:21:39]	James Albright entered observer.
[15:21:40]	James Albright exited observer at their location.
[15:21:41]	James Albright entered observer.
[15:21:41]	James Albright exited observer at their location.
[15:22:08]	James Albright has spawned 'models/tnb/citizens/male_07.mdl'.
[15:25:47]	James Albright has spawned 'models/tnb/citizens/male_17.mdl'.
[15:26:11]	James Albright has spawned 'models/tnb/citizens/male_07.mdl'.
[15:53:48]	matt saton has connected.
[15:59:46]	matt saton loaded the character 'James Albright'
[15:59:49]	[ME] James Albright: would proceed to tie the individual. Would they resist?
[15:59:54]	James Albright used command '/CharGiveItem james skull'.
[15:59:57]	James Albright has gained a 'Gas Mask' #25644.
[15:59:57]	James Albright used command '/CharGiveItem james mask'.
[16:00:03]	James Albright used command '/CharGiveItem james floating'.
[16:01:07]	James Albright ran 'drop' on item 'Raw Pyrosquid Meat' (#22635)
[16:01:07]	James Albright has lost a 'Raw Pyrosquid Meat' #22635.
[16:01:08]	James Albright used command '/CharGiveItem james floating'.
[16:01:11]	James Albright used command '/CharGiveItem james floating'.
[16:01:14]	James Albright used command '/adminspawnmenu'.
[16:01:36]	James Albright used command '/adminspawnmenu'.
[16:19:42]	matt saton has connected.
[16:29:36]	matt saton loaded the character 'James Albright'
[16:30:57]	James Albright has spawned 'models/dpfilms/metropolice/elite_police.mdl'.
[18:42:05]	James Albright entered observer.
[22:54:54]	James Albright exited observer at their location.
[22:57:05]	James Albright entered observer.
[22:57:26]	James Albright opened the '' #1923 container.
[22:57:28]	James Albright closed the '' #1923 container.
[22:58:03]	James Albright exited observer at their location.
[22:58:04]	James Albright entered observer.
[22:58:04]	James Albright exited observer at their location.
[22:58:04]	James Albright entered observer.
[22:58:06]	James Albright exited observer at their location.
[22:58:06]	James Albright entered observer.
[22:58:21]	James Albright exited observer at their location.
[22:58:21]	James Albright entered observer.
[22:58:22]	James Albright exited observer at their location.
[22:58:28]	James Albright used command '/ToggleRaise'.
[22:58:38]	James Albright has taken 4 damage from James Albright.
[22:58:40]	James Albright has taken 4 damage from James Albright.
[22:58:42]	James Albright has taken 4 damage from James Albright.
[22:58:53]	James Albright entered observer.
[22:58:58]	James Albright exited observer at their location.
[22:59:07]	James Albright has spawned a 'NPC [1651][npc_vortigaunt]'.
[22:59:09]	James Albright has spawned a 'NPC [1652][npc_vortigaunt]'.
[22:59:10]	James Albright has spawned a 'NPC [1655][npc_vortigaunt]'.
[22:59:11]	James Albright entered observer.
[22:59:19]	James Albright exited observer at their location.
[22:59:19]	James Albright has spawned a 'NPC [1651][npc_vortigaunt]'.
[22:59:22]	James Albright entered observer.
[22:59:31]	James Albright has spawned a 'NPC [1651][npc_vortigaunt]'.
[22:59:32]	James Albright exited observer at their location.
[22:59:44]	James Albright entered observer.
[22:59:49]	James Albright exited observer at their location.
[22:59:50]	James Albright entered observer.
[22:59:50]	James Albright exited observer at their location.
[23:00:35]	James Albright entered observer.
[23:00:44]	James Albright has spawned a 'NPC [1641][npc_vortigaunt]'.
[23:01:04]	James Albright has spawned a 'NPC [1641][npc_barnacle]'.
[23:01:07]	James Albright exited observer at their location.
[23:01:15]	James Albright has spawned a 'NPC [1651][npc_vortigaunt]'.
[23:01:17]	James Albright has spawned a 'NPC [1655][npc_vortigaunt]'.
[23:01:19]	James Albright has spawned a 'NPC [1651][npc_vortigaunt]'.
[23:01:23]	James Albright has spawned a 'NPC [1651][npc_vortigaunt]'.
[23:04:12]	matt saton (STEAM_0:1:53097688) has disconnected.
