[00:00:17]	[LOOC] Gregory Smith: locked
[00:00:23]	[ME] John Zimmer: searches dumpster
[00:00:24]	John Zimmer rolled 19 out of 100.
[00:00:24]	John Zimmer used command '/Roll'.
[00:00:27]	[LOOC] John Zimmer: oof
[00:00:28]	Wallace Breen used command '/Broadcast We learned as a species that what we call magic is nothing more than a lie, one that only the most primitive confide in.'.
[00:00:36]	Wallace Breen exited observer at their location.
[00:00:37]	Wallace Breen entered observer.
[00:00:41]	Wallace Breen has gained 50 tokens.
[00:00:49]	CCA.C14-UNION.EpU.72633 used command '/Radio Amputated one parasitic. 10-20 CWU shop.'.
[00:01:09]	[OOC] Gregory Smith: I have to go
[00:01:16]	[OOC] Wallace Breen: damn, alright, thanks for bieng on
[00:01:16]	[OOC] CCA.C14-UNION.EpU.72633: Me to soon
[00:01:23]	[OOC] Gregory Smith: I'll connect tomorrow, or today, because it's 2:00 AM
[00:01:27]	[OOC] Gregory Smith: Bye
[00:01:28]	[OOC] CCA.C14-UNION.EpU.72633: Gonna wait for the speech to end
[00:01:31]	[OOC] Wallace Breen: thank you for bieng on
[00:01:38]	Wallace Breen used command '/RadioBroadcast'.
[00:01:39]	Wallace Breen used command '/DoorSetHidden true'.
[00:01:41]	[OOC] Gregory Smith: NP, i enjoy this SV
[00:01:41]	Wallace Breen used command '/adminspawnmenu'.
[00:01:48]	[OOC] Gregory Smith: i only wait for more people to get on
[00:01:57]	Wallace Breen has spawned "Chunk of Plastic"
[00:01:57]	CCA.C14-UNION.EpU.72633 used command '/Radio Counting another parasitic amputated. 10-20 Plaza.'.
[00:01:59]	Vendo Pan™ (STEAM_0:0:445640226) has disconnected.
[00:02:00]	[OOC] Wallace Breen: yeah, i'm excited
[00:02:02]	John Zimmer ran 'take' on item 'Chunk of Plastic' (#25772)
[00:02:02]	John Zimmer has gained a 'Chunk of Plastic' #25772.
[00:02:03]	[OOC] Wallace Breen: oop
[00:02:12]	[ME] John Zimmer: searches dumpster
[00:02:14]	John Zimmer rolled 49 out of 100.
[00:02:14]	John Zimmer used command '/Roll'.
[00:02:23]	[OOC] CCA.C14-UNION.EpU.72633: This event chain is turning out to be fucking great. And I can't wait for it to finish
[00:02:29]	Wallace Breen used command '/Broadcast Yet some poorly minded individuals are receding back to their primitive ways.'.
[00:03:11]	Wallace Breen used command '/Broadcast Can we logically confine our minds to the caves our evolutionary ancestors found themselves comfortable in?'.
[00:03:50]	Wallace Breen used command '/Broadcast We are at a point, thanks to our benefactors, where science reigns supreme.'.
[00:04:11]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[00:05:01]	Wallace Breen used command '/Broadcast For once we have purpose and direction. Should these individuals throw it all away in exchange for comfort?'.
[00:05:41]	Wallace Breen has gained 50 tokens.
[00:06:16]	Wallace Breen used command '/Broadcast I say no. Let us not return to the dark ways of our primitive past. Let us instead look toward a higher order. We are undergoing another evolution. Resisting improvement is blatant ignorance.'.
[00:06:30]	Wallace Breen used command '/Broadcast Magic is nothing but the unwise man's way of coping with the unknown.'.
[00:06:46]	Wallace Breen used command '/Broadcast Clinging to it is clinging to an outdated mode of life.'.
[00:07:49]	Wallace Breen used command '/Broadcast I urge all of you to not fall to its salacious allure. Instead, work toward our goal of being better, both for ourselves and our peers.'.
[00:08:04]	Wallace Breen used command '/Broadcast To all citizens in City 14, and all of us around the globe, I remind you.'.
[00:08:08]	Wallace Breen used command '/Broadcast Be smart.'.
[00:08:12]	Wallace Breen used command '/Broadcast Be safe.'.
[00:08:16]	Wallace Breen used command '/Broadcast Be aware.'.
[00:08:36]	[OOC] CCA.C14-UNION.EpU.72633: no
[00:08:48]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7, status is green. Updating 10-20 to Outpost storm'.
[00:09:11]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[00:09:29]	[OOC] Wallace Breen: thank you all for being on today
[00:09:31]	[OOC] Wallace Breen: it's a pleasure
[00:09:36]	[OOC] Wallace Breen: and we hope to grow more in the future
[00:09:47]	[OOC] CCA.C14-UNION.EpU.72633: No problem, lets hope we can reach that 40 player milestone
[00:09:48]	[OOC] Wallace Breen: project revival isn't going to stop growing as long as i'm here
[00:10:15]	[OOC] CCA.C14-UNION.EpU.72633: Truly, now i'm gonna go to bed before i decide to sleep at my desk on accident
[00:10:21]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[00:10:41]	Wallace Breen has gained 50 tokens.
[00:10:43]	Wallace Breen exited observer at their location.
