[04:55:41]	The E has connected.
[05:00:35]	The E created the character 'Frank Schultz'
[05:00:35]	Frank Schultz has gained a 'Suitcase' #25866.
[05:00:35]	Frank Schultz has gained a 'Relocation Coupon' #25867.
[05:00:35]	The E loaded the character 'Frank Schultz'
[05:02:38]	The E (STEAM_0:0:40961801) has disconnected.
[10:53:24]	Doughnut has connected.
[10:57:47]	Doughnut loaded the character 'John Zimmer'
[11:16:25]	sand has connected.
[11:17:13]	sand loaded the character 'CCA.C14-UNION.i5.39867'
[11:17:32]	[OOC] CCA.C14-UNION.i5.39867: place of birth city 7
[11:18:01]	[OOC] John Zimmer: e
[11:18:07]	[OOC] CCA.C14-UNION.i5.39867: if u were born in city 7
[11:18:09]	[OOC] CCA.C14-UNION.i5.39867: u die
[11:18:14]	[OOC] CCA.C14-UNION.i5.39867: xdddddddw
[11:18:18]	CCA.C14-UNION.i5.39867 used command '/OldViewData john'.
[11:18:20]	[OOC] John Zimmer: mmmmmk
[11:18:46]	[OOC] CCA.C14-UNION.i5.39867: TURNING IN CONTRABAND
[11:18:49]	[OOC] CCA.C14-UNION.i5.39867: 10 LP GIVEN
[11:18:49]	[OOC] John Zimmer: not really but mmmk
[11:18:52]	[OOC] CCA.C14-UNION.i5.39867: WHAT THE FUCK
[11:18:52]	[OOC] John Zimmer: oh yeah
[11:19:05]	[OOC] John Zimmer: so uhhh, I found a bit of contraband yesterday
[11:19:19]	[OOC] CCA.C14-UNION.i5.39867: if it was a bunch of level 3 contraband
[11:19:24]	[OOC] CCA.C14-UNION.i5.39867: its not supposed to be 3 points each
[11:19:25]	[OOC] John Zimmer: and now im 2 points from a blue tier loyalist
[11:19:42]	[OOC] John Zimmer: well it was like 6-8 things mostly level 2
[11:20:35]	[OOC] CCA.C14-UNION.i5.39867: pain has done something wrong then
[11:20:42]	[OOC] John Zimmer: nahhhhh
[11:20:55]	[OOC] John Zimmer: btw do you accept bullet casings as contraband?
[11:21:03]	[OOC] CCA.C14-UNION.i5.39867: dont know
[11:21:18]	[OOC] John Zimmer: i mean i don't see it on the list so i would assume no
[11:22:08]	[OOC] CCA.C14-UNION.i5.39867: bullet casings are common
[11:22:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:22:21]	[OOC] CCA.C14-UNION.i5.39867: idk why they would be contraband
[11:22:37]	[OOC] CCA.C14-UNION.i5.39867: gunpowder is though
[11:22:45]	[OOC] John Zimmer: mhm
[11:22:56]	[OOC] CCA.C14-UNION.i5.39867: is it empty
[11:23:09]	[OOC] John Zimmer: is what empty?
[11:23:13]	[OOC] CCA.C14-UNION.i5.39867: the bullet
[11:23:15]	[OOC] John Zimmer: yeah
