[02:17:34]	npaynter2 has connected.
[02:22:00]	npaynter2 loaded the character 'Victoria Vesmont'
[02:22:29]	Victoria Vesmont has taken 250 damage from trigger_hurt.
[02:22:29]	trigger_hurt has killed Victoria Vesmont.
[03:06:34]	npaynter2 (STEAM_0:1:80179568) has disconnected.
[09:28:35]	DRD has connected.
[09:32:48]	DRD (STEAM_0:0:193599766) has disconnected.
[10:07:50]	AXION has connected.
[10:09:08]	AXION loaded the character 'CCA.C08-GRID.i4.81530'
[10:10:05]	CCA.C08-GRID.i4.81530 opened the '' #1268 container.
[10:10:07]	CCA.C08-GRID.i4.81530 closed the '' #1268 container.
[10:10:44]	CCA.C08-GRID.i4.81530 ran 'take' on item 'Cooked Fast Headcrab Meat' (#20152)
[10:10:44]	CCA.C08-GRID.i4.81530 has gained a 'Cooked Fast Headcrab Meat' #20152.
[10:10:48]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Cooked Fast Headcrab Meat' (#20152)
[10:10:48]	CCA.C08-GRID.i4.81530 has lost a 'Cooked Fast Headcrab Meat' #20152.
[10:12:44]	CCA.C08-GRID.i4.81530 opened the '' #971 container.
[10:12:44]	CCA.C08-GRID.i4.81530 closed the '' #971 container.
[10:12:46]	CCA.C08-GRID.i4.81530 opened the '' #971 container.
[10:13:00]	CCA.C08-GRID.i4.81530 closed the '' #971 container.
[10:13:03]	CCA.C08-GRID.i4.81530 opened the '' #971 container.
[10:13:08]	CCA.C08-GRID.i4.81530 closed the '' #971 container.
[10:13:10]	CCA.C08-GRID.i4.81530 opened the '' #1141 container.
[10:13:10]	CCA.C08-GRID.i4.81530 closed the '' #1141 container.
[10:13:12]	CCA.C08-GRID.i4.81530 opened the '' #1141 container.
[10:13:14]	CCA.C08-GRID.i4.81530 closed the '' #1141 container.
[10:13:24]	CCA.C08-GRID.i4.81530 used the 'Ration Supply' vendor.
[10:13:26]	CCA.C08-GRID.i4.81530 has gained 0 tokens.
[10:13:26]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Ration' #20461.
[10:13:28]	CCA.C08-GRID.i4.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20461)
[10:13:28]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20462.
[10:13:28]	CCA.C08-GRID.i4.81530 has gained a 'Universal Union Functionary Grade Beverage' #20463.
[10:13:29]	CCA.C08-GRID.i4.81530 ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#20463)
[10:13:30]	CCA.C08-GRID.i4.81530 ran 'Consume' on item 'Civil Protection Functionary Grade Food Product' (#20462)
[10:14:02]	CCA.C08-GRID.i4.81530 used the 'Ration Supply' vendor.
[10:14:04]	CCA.C08-GRID.i4.81530 has gained 0 tokens.
[10:14:04]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Ration' #20461.
[10:14:05]	CCA.C08-GRID.i4.81530 has gained 0 tokens.
[10:14:05]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Ration' #20462.
[10:14:06]	CCA.C08-GRID.i4.81530 has gained 0 tokens.
[10:14:06]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Ration' #20463.
[10:14:08]	CCA.C08-GRID.i4.81530 has gained 10 tokens.
[10:14:10]	CCA.C08-GRID.i4.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20462)
