[05:11:20]	Mr.Ganar has connected.
[05:11:43]	Mr.Ganar (STEAM_0:0:80909581) has disconnected.
[11:41:26]	matt saton has connected.
[11:47:48]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[11:47:52]	CCA.C17-GRID.i3.08313 entered observer.
[11:52:48]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[11:57:48]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[12:03:10]	CCA.C17-GRID.i3.08313 has spawned a 'NPC [369][npc_combine_camera]'.
[12:03:45]	CCA.C17-GRID.i3.08313 has spawned a 'NPC [2951][npc_combine_camera]'.
[12:07:20]	Bean has connected.
[12:07:36]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:07:40]	CCA.C17-GRID.i3.08313 entered observer.
[12:07:44]	Bean loaded the character 'Alex Palovichov'
[12:07:48]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[12:07:56]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:07:59]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[12:08:00]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[12:08:04]	CCA.C17-GRID.i3.08313 entered observer.
[12:08:07]	[OOC] CCA.C17-GRID.i3.08313: FUCK
[12:08:09]	[OOC] CCA.C17-GRID.i3.08313: also hello
[12:08:13]	[OOC] Alex Palovichov: Hi
[12:09:17]	Alex Palovichov opened the '' #2548 container.
[12:09:19]	Alex Palovichov closed the '' #2548 container.
[12:09:20]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:09:32]	Alex Palovichov used the 'Shopkeeper' vendor.
[12:09:35]	CCA.C17-GRID.i3.08313 entered observer.
[12:09:50]	CCA.C17-GRID.i3.08313 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[12:10:01]	Alex Palovichov ran 'View' on item 'Paper' (#5259)
[12:10:18]	CCA.C17-GRID.i3.08313 used command '/Radio Copy that, I'll find him now.'.
