[03:37:46]	Peppermint has connected.
[03:38:15]	Peppermint loaded the character 'Tanya L. Fredrickson'
[03:38:59]	Tanya L. Fredrickson used the 'Shopkeeper Jim' vendor.
[03:41:17]	Tanya L. Fredrickson has spawned 'models/props_lab/kennel_physics.mdl'.
[03:41:20]	Tanya L. Fredrickson has spawned 'models/props_lab/kennel_physics.mdl'.
[03:41:22]	Tanya L. Fredrickson has spawned 'models/props_lab/kennel_physics.mdl'.
[03:43:19]	Tanya L. Fredrickson opened the '' #2404 container.
[03:43:22]	Tanya L. Fredrickson closed the '' #2404 container.
[03:45:10]	Tanya L. Fredrickson destroyed a 'Empty Pill Bottle' #27476.
[03:45:11]	Tanya L. Fredrickson destroyed a 'Empty Tin Can' #29432.
[03:45:13]	Tanya L. Fredrickson destroyed a 'Scrap Electronics' #29431.
[03:45:17]	Tanya L. Fredrickson destroyed a 'Cinderblock' #30433.
[03:45:19]	Tanya L. Fredrickson destroyed a 'Rope' #29407.
[03:45:28]	Tanya L. Fredrickson destroyed a 'Screw Nuts' #29408.
[03:46:00]	Tanya L. Fredrickson destroyed a 'Broken Clock' #29406.
[03:46:02]	Tanya L. Fredrickson destroyed a 'Empty Flavored Consulate Water Can' #29150.
[03:46:05]	Tanya L. Fredrickson destroyed a 'Empty Sparkling Consulate Water Can' #29207.
[03:46:07]	Tanya L. Fredrickson destroyed a 'Empty Flavored Consulate Water Can' #29281.
[03:46:11]	Tanya L. Fredrickson destroyed a 'Cinderblock' #30434.
[03:46:25]	Tanya L. Fredrickson ran 'View' on item 'Paper' (#5259)
[03:52:43]	Peppermint (STEAM_0:1:115933392) has disconnected.
[11:52:55]	Painevan has connected.
[11:53:52]	Painevan loaded the character 'Jonathan Jackson'
[11:54:16]	Painevan loaded the character 'Zombie'
[12:16:22]	Painevan (STEAM_0:0:68118061) has disconnected.
[12:23:55]	Painevan has connected.
[12:25:06]	Painevan loaded the character 'Jonathan Jackson'
[12:25:59]	Jonathan Jackson opened the '' #2706 container.
[12:26:02]	Jonathan Jackson has gained a 'Pipe' #25364.
[12:26:04]	Jonathan Jackson has gained a 'Green Citizen Suit' #28351.
[12:26:05]	Jonathan Jackson closed the '' #2706 container.
[12:26:09]	Jonathan Jackson ran 'Equip' on item 'Pipe' (#25364)
[12:26:10]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[12:28:42]	Jonathan Jackson has taken 47 damage from npc_grenade_frag.
[12:28:42]	npc_grenade_frag has killed Jonathan Jackson.
[12:28:42]	npc_grenade_frag destroyed a '12-Gauge Shells' #30438.
[12:30:02]	Jonathan Jackson ran 'Equip' on item 'Pipe' (#25364)
[12:30:56]	Jonathan Jackson has taken 5 damage from npc_headcrab.
[12:30:58]	Jonathan Jackson has taken 5 damage from npc_headcrab.
[12:30:59]	Jonathan Jackson has taken 5 damage from npc_headcrab.
[12:34:15]	Jonathan Jackson has gained 20 tokens.
[12:35:54]	Jonathan Jackson has taken 10 damage from npc_poisonzombie.
[12:36:19]	Jonathan Jackson has gained 30 tokens.
[12:37:22]	Jonathan Jackson ran 'take' on item 'Padlock' (#30445)
[12:37:22]	Jonathan Jackson has gained a 'Padlock' #30445.
[12:38:18]	Jonathan Jackson ran 'take' on item 'Horse Statue' (#29643)
[12:38:18]	Jonathan Jackson has gained a 'Horse Statue' #29643.
[12:39:15]	Painevan loaded the character 'OTA.C17-ECHO.OHZ.74152'
[12:44:58]	Painevan loaded the character 'Jonathan Jackson'
[12:46:36]	Jonathan Jackson has taken 10 damage from npc_poisonzombie.
[12:46:49]	Jonathan Jackson has taken 10 damage from npc_poisonzombie.
[12:46:58]	Jonathan Jackson has taken 10 damage from npc_poisonzombie.
[12:47:01]	Jonathan Jackson has taken 10 damage from npc_poisonzombie.
[12:47:18]	Jonathan Jackson has taken 10 damage from npc_poisonzombie.
[12:47:28]	Jonathan Jackson has taken 10 damage from npc_zombie.
[12:48:16]	Jonathan Jackson has taken 15 damage from npc_barnacle.
[12:48:16]	npc_barnacle has killed Jonathan Jackson.
[12:48:27]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[12:49:42]	Jonathan Jackson ran 'drop' on item 'Horse Statue' (#29643)
[12:49:42]	Jonathan Jackson has lost a 'Horse Statue' #29643.
[12:49:46]	Painevan (STEAM_0:0:68118061) has disconnected.
[13:22:59]	Painevan has connected.
[13:23:37]	Painevan loaded the character 'Jonathan Jackson'
[13:24:56]	Painevan (STEAM_0:0:68118061) has disconnected.
[13:31:10]	matt saton has connected.
[13:32:47]	matt saton loaded the character 'Andrew Cloverman'
[13:46:54]	Andrew Cloverman entered observer.
[13:47:20]	Andrew Cloverman exited observer at their location.
[13:47:21]	Andrew Cloverman entered observer.
[13:47:45]	Andrew Cloverman exited observer at their location.
[13:48:09]	Andrew Cloverman entered observer.
[13:48:20]	Andrew Cloverman exited observer at their location.
[13:48:22]	Andrew Cloverman has taken 62 damage from worldspawn.
[13:48:22]	Andrew Cloverman has taken 100 damage from worldspawn.
[13:48:22]	Andrew Cloverman entered observer.
[13:48:33]	Andrew Cloverman entered observer.
[13:56:27]	Andrew Cloverman exited observer at their location.
[13:56:27]	Andrew Cloverman entered observer.
[13:56:28]	Andrew Cloverman exited observer at their location.
[13:56:28]	Andrew Cloverman entered observer.
[13:56:37]	Andrew Cloverman exited observer at their location.
[13:56:38]	Andrew Cloverman entered observer.
[13:56:38]	Andrew Cloverman exited observer at their location.
[13:56:39]	Andrew Cloverman entered observer.
[13:56:39]	Andrew Cloverman exited observer at their location.
[13:56:40]	Andrew Cloverman entered observer.
[13:56:40]	Andrew Cloverman exited observer at their location.
[13:56:41]	Andrew Cloverman entered observer.
[13:56:41]	Andrew Cloverman exited observer at their location.
[13:56:41]	Andrew Cloverman entered observer.
[13:56:54]	Andrew Cloverman exited observer at their location.
[13:56:54]	Andrew Cloverman entered observer.
[13:56:56]	Andrew Cloverman exited observer at their location.
[13:56:57]	Andrew Cloverman entered observer.
[13:56:58]	Andrew Cloverman exited observer at their location.
[13:56:59]	Andrew Cloverman entered observer.
[13:57:00]	Andrew Cloverman exited observer at their location.
[13:57:02]	Andrew Cloverman has taken 19 damage from worldspawn.
[13:57:02]	Andrew Cloverman entered observer.
[13:57:03]	Andrew Cloverman exited observer at their location.
[13:57:04]	Andrew Cloverman entered observer.
[13:57:05]	Andrew Cloverman exited observer at their location.
[13:57:07]	Andrew Cloverman entered observer.
[13:57:08]	Andrew Cloverman exited observer at their location.
[13:57:09]	Andrew Cloverman entered observer.
[13:57:10]	Andrew Cloverman exited observer at their location.
[13:57:11]	Andrew Cloverman has taken 19 damage from worldspawn.
[13:57:11]	Andrew Cloverman has taken 100 damage from func_brush.
[13:57:11]	Andrew Cloverman entered observer.
[13:57:12]	Andrew Cloverman exited observer at their location.
[13:57:16]	Andrew Cloverman entered observer.
[13:57:21]	Andrew Cloverman exited observer at their location.
[13:57:22]	Andrew Cloverman entered observer.
[13:57:34]	Andrew Cloverman exited observer at their location.
[13:57:36]	Andrew Cloverman has taken 54 damage from worldspawn.
[13:57:36]	Andrew Cloverman entered observer.
[13:57:38]	Andrew Cloverman exited observer at their location.
[13:57:39]	Andrew Cloverman entered observer.
[13:57:39]	Andrew Cloverman exited observer at their location.
[13:57:40]	Andrew Cloverman entered observer.
[13:57:48]	Andrew Cloverman exited observer at their location.
[13:57:49]	Andrew Cloverman has taken 17 damage from worldspawn.
[13:57:50]	Andrew Cloverman entered observer.
[13:57:50]	Andrew Cloverman exited observer at their location.
[13:57:51]	Andrew Cloverman entered observer.
[13:57:52]	Andrew Cloverman exited observer at their location.
[13:57:53]	Andrew Cloverman entered observer.
[13:58:01]	Andrew Cloverman exited observer at their location.
[13:58:03]	Andrew Cloverman entered observer.
[13:58:16]	Andrew Cloverman exited observer at their location.
[13:58:17]	Andrew Cloverman entered observer.
[13:58:21]	Andrew Cloverman exited observer at their location.
[13:58:21]	Andrew Cloverman entered observer.
[13:58:21]	Andrew Cloverman exited observer at their location.
[13:58:24]	Andrew Cloverman entered observer.
[13:58:25]	Andrew Cloverman exited observer at their location.
[13:58:25]	Andrew Cloverman entered observer.
[13:58:25]	Andrew Cloverman exited observer at their location.
[13:58:26]	Andrew Cloverman entered observer.
[13:58:26]	Andrew Cloverman exited observer at their location.
[13:58:27]	Andrew Cloverman entered observer.
[13:58:28]	Andrew Cloverman exited observer at their location.
[13:58:32]	Andrew Cloverman entered observer.
[13:58:56]	Andrew Cloverman exited observer at their location.
[13:59:10]	Andrew Cloverman has gained a 'Padlock' #30449.
[13:59:10]	Andrew Cloverman used command '/CharGiveItem andrew padlock'.
[13:59:12]	Andrew Cloverman ran 'Use' on item 'Padlock' (#30449)
[13:59:14]	Andrew Cloverman entered observer.
[13:59:16]	Andrew Cloverman exited observer at their location.
[13:59:17]	Andrew Cloverman entered observer.
[13:59:27]	Andrew Cloverman used command '/TextRemove'.
[13:59:32]	Andrew Cloverman exited observer at their location.
