[18:07:55]	Doom Demon has connected.
[18:21:04]	Doom Demon loaded the character 'William Nikts'
[18:22:04]	William Nikts has taken 1 damage from worldspawn.
[18:22:05]	William Nikts has taken 1 damage from worldspawn.
[18:22:06]	William Nikts has taken 1 damage from worldspawn.
[18:22:06]	William Nikts has taken 1 damage from worldspawn.
[18:22:07]	William Nikts has taken 1 damage from worldspawn.
[18:22:08]	William Nikts has taken 1 damage from worldspawn.
[18:22:09]	William Nikts has taken 1 damage from worldspawn.
[18:22:09]	William Nikts has taken 1 damage from worldspawn.
[18:22:10]	William Nikts has taken 1 damage from worldspawn.
[18:22:10]	William Nikts ran 'Equip' on item 'Cyclopic Citizen Suit' (#14162)
[18:22:11]	William Nikts has taken 1 damage from worldspawn.
[18:22:12]	William Nikts has taken 1 damage from worldspawn.
[18:22:12]	William Nikts ran 'equip' on item 'Citizen Filter' (#14163)
[18:22:13]	William Nikts has taken 5 damage from William Nikts.
[18:22:13]	William Nikts has gained 10 tokens.
[18:25:45]	Doom Demon (STEAM_0:0:146983333) has disconnected.
