[09:35:26]	beelty has connected.
[09:41:06]	beelty created the character 'Kashimo Duyaty'
[09:41:06]	Kashimo Duyaty has gained a 'Suitcase' #20907.
[09:41:06]	Kashimo Duyaty has gained a 'Relocation Coupon' #20908.
[09:41:06]	Kashimo Duyaty has gained a 'Cyclopic Citizen Suit' #20909.
[09:41:06]	Kashimo Duyaty has gained a 'Citizen Filter' #20910.
[09:41:06]	beelty loaded the character 'Kashimo Duyaty'
[09:42:06]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:07]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:07]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:08]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:09]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:10]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:11]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:11]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:12]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:13]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:14]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:14]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:15]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:16]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:17]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:17]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:18]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:19]	Kashimo Duyaty has taken 5 damage from Kashimo Duyaty.
[09:42:19]	Kashimo Duyaty has gained 10 tokens.
[09:42:19]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:20]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:20]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:21]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:42:22]	Kashimo Duyaty has taken 1 damage from worldspawn.
[09:43:40]	beelty (STEAM_0:0:16510250) has disconnected.
[16:56:22]	Dilly_ has connected.
[16:57:35]	Dilly_ loaded the character 'OTA.C08-ECHO:OWS.69173'
[16:58:55]	OTA.C08-ECHO:OWS.69173 ran 'Equip' on item 'Combine Grenade' (#20495)
[16:58:59]	OTA.C08-ECHO:OWS.69173 ran 'Equip' on item 'Combine Grenade' (#20495)
[16:59:05]	OTA.C08-ECHO:OWS.69173 ran 'drop' on item 'Combine Grenade' (#20495)
[16:59:05]	OTA.C08-ECHO:OWS.69173 has lost a 'Combine Grenade' #20495.
[16:59:08]	OTA.C08-ECHO:OWS.69173 ran 'take' on item 'Combine Grenade' (#20495)
[16:59:08]	OTA.C08-ECHO:OWS.69173 has gained a 'Combine Grenade' #20495.
[16:59:12]	OTA.C08-ECHO:OWS.69173 ran 'Equip' on item 'Combine Grenade' (#20495)
[16:59:22]	OTA.C08-ECHO:OWS.69173 ran 'drop' on item 'Combine Grenade' (#20495)
[16:59:22]	OTA.C08-ECHO:OWS.69173 has lost a 'Combine Grenade' #20495.
[16:59:27]	OTA.C08-ECHO:OWS.69173 ran 'take' on item 'Combine Grenade' (#20495)
[16:59:27]	OTA.C08-ECHO:OWS.69173 has gained a 'Combine Grenade' #20495.
[17:02:27]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[17:07:27]	CCA.C08-UNION.i1.93347 has gained 10 tokens.
[17:12:27]	CCA.C08-UNION.i1.93347 has gained 10 tokens.
[17:13:12]	[LOOC] CCA.C08-UNION.i1.93347: OH FUCK IT WORKS
[17:13:13]	[LOOC] CCA.C08-UNION.i1.93347: a
[17:13:16]	[LOOC] CCA.C08-UNION.i1.93347: shit
[17:13:30]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[17:13:38]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[17:13:44]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[17:13:51]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[17:14:02]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[17:14:07]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[17:15:24]	CCA.C08-UNION.i1.93347 ran 'unloadAmmo' on item 'USP Match' (#206)
[17:15:24]	CCA.C08-UNION.i1.93347 has gained a '9mm Pistol Magazine' #20911.
[17:15:27]	CCA.C08-UNION.i1.93347 ran 'use' on item '9mm Pistol Magazine' (#20911)
[17:17:40]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[18:45:33]	Global Defence Initiative has connected.
[18:50:08]	Global Defence Initiative created the character 'Robbert Garth'
[18:50:08]	Robbert Garth has gained a 'Suitcase' #20911.
[18:50:08]	Robbert Garth has gained a 'Relocation Coupon' #20912.
[18:50:08]	Robbert Garth has gained a 'Green Citizen Suit' #20913.
[18:50:08]	Robbert Garth has gained a 'Citizen Filter' #20914.
[18:50:08]	Global Defence Initiative loaded the character 'Robbert Garth'
[18:52:08]	Robbert Garth has taken 1 damage from worldspawn.
[18:52:36]	Robbert Garth ran 'Equip' on item 'Green Citizen Suit' (#20913)
[18:52:41]	Robbert Garth ran 'EquipUn' on item 'Green Citizen Suit' (#20913)
[18:57:00]	Dilly_ has connected.
[18:57:09]	Robbert Garth has taken 1 damage from worldspawn.
[18:58:08]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[18:59:37]	Robbert Garth ran 'drop' on item 'Relocation Coupon' (#20912)
[18:59:37]	Robbert Garth has lost a 'Relocation Coupon' #20912.
[18:59:43]	CCA.C08-UNION.i1.93347 ran 'take' on item 'Relocation Coupon' (#20912)
[18:59:43]	CCA.C08-UNION.i1.93347 has gained a 'Relocation Coupon' #20912.
[19:00:19]	Robbert Garth ran 'take' on item 'Citizen ID' (#20915)
[19:00:19]	Robbert Garth has gained a 'Citizen ID' #20915.
[19:00:23]	Robbert Garth ran 'Equip' on item 'Green Citizen Suit' (#20913)
[19:00:24]	Robbert Garth ran 'equip' on item 'Citizen Filter' (#20914)
[19:00:37]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[19:00:47]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[19:01:10]	CCA.C08-UNION.i1.93347 ran 'Equip' on item 'Smoke Grenade' (#13847)
[19:01:24]	[LOOC] Robbert Garth: Uhh 
[19:01:27]	[LOOC] Robbert Garth: errors
[19:01:35]	[LOOC] CCA.C08-UNION.i1.93347: ye content likely didn't mount
[19:01:40]	[LOOC] Robbert Garth: Here
[19:01:50]	[LOOC] CCA.C08-UNION.i1.93347: css or roleplay props likely
[19:01:56]	[LOOC] Robbert Garth: Css...
[19:02:12]	CCA.C08-UNION.i1.93347 ran 'Equip' on item 'Crowbar' (#20583)
[19:02:33]	Robbert Garth used the 'Street Market' vendor.
[19:02:35]	CCA.C08-UNION.i1.93347 used the 'Street Market' vendor.
[19:02:41]	[LOOC] CCA.C08-UNION.i1.93347: get respirator
[19:02:51]	Robbert Garth has lost 10 tokens.
[19:02:51]	Robbert Garth has gained a 'Respirator' #20916.
[19:02:57]	[LOOC] Robbert Garth: y?
[19:03:01]	[LOOC] CCA.C08-UNION.i1.93347: wear it then take off your suit
[19:03:07]	Robbert Garth ran 'Equip' on item 'Respirator' (#20916)
[19:03:07]	[LOOC] CCA.C08-UNION.i1.93347: because it's da way
[19:03:08]	Robbert Garth ran 'EquipUn' on item 'Green Citizen Suit' (#20913)
[19:03:08]	CCA.C08-UNION.i1.93347 has gained 10 tokens.
[19:03:25]	[LOOC] CCA.C08-UNION.i1.93347: good now?
[19:03:28]	[LOOC] CCA.C08-UNION.i1.93347: oh watch this
[19:03:30]	[LOOC] Robbert Garth: i guess
[19:09:54]	Global Defence Initiative has connected.
[19:10:20]	Global Defence Initiative loaded the character 'Robbert Garth'
[19:11:14]	Robbert Garth opened the '' #1325 container.
[19:11:14]	Robbert Garth closed the '' #1325 container.
[19:11:15]	Robbert Garth opened the '' #1325 container.
[19:11:17]	Robbert Garth closed the '' #1325 container.
[19:11:44]	Robbert Garth opened the '' #1233 container.
[19:11:46]	Robbert Garth closed the '' #1233 container.
[19:12:13]	Dilly_ has connected.
[19:13:08]	bonnie has connected.
[19:13:14]	Dilly_ loaded the character 'OSA.S17-HNT.37440'
[19:13:33]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:33]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:34]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:37]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:37]	[LOOC] OSA.S17-HNT.37440: f
[19:13:37]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:38]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:39]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:40]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:41]	[LOOC] OSA.S17-HNT.37440: It was taken away
[19:13:41]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:42]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:43]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:44]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:44]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:48]	[LOOC] Robbert Garth: What was?
[19:13:53]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:13:54]	[LOOC] OSA.S17-HNT.37440: the uhh
[19:13:58]	[LOOC] OSA.S17-HNT.37440: entity thing that holds
[19:13:58]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:14:00]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:14:00]	OSA.S17-HNT.37440 has taken 6 damage from Robbert Garth.
[19:14:00]	Robbert Garth has killed OSA.S17-HNT.37440 with ix_hands.
[19:14:01]	[LOOC] OSA.S17-HNT.37440: the char
[19:14:03]	[LOOC] OSA.S17-HNT.37440: it's neat
[19:14:07]	[LOOC] Robbert Garth: ok
[19:14:11]	bonnie loaded the character 'bonnie'
[19:14:22]	[OOC] OSA.S17-HNT.37440: hello new person person of person thingy
[19:14:31]	Dilly_ loaded the character 'CAC.C17-CRM.62833'
[19:14:41]	[OOC] CAC.C17-CRM.62833: NOOOOOOOOOO this was taken away as well :c
[19:14:44]	bonnie used command '/Content'.
[19:14:58]	[OOC] Robbert Garth: C17 Hmmmm
[19:15:03]	Dilly_ loaded the character 'OTA.C08-ECHO:OWS.69173'
[19:15:11]	[OOC] OTA.C08-ECHO:OWS.69173: *Hmmm* yeah was our old one
[19:15:52]	bonnie ran 'EquipUn' on item 'Green Citizen Suit' (#20879)
[19:15:54]	bonnie ran 'Equip' on item 'Green Citizen Suit' (#20879)
[19:15:56]	bonnie ran 'drop' on item 'Green Citizen Suit' (#20879)
[19:15:56]	bonnie has lost a 'Green Citizen Suit' #20879.
[19:16:01]	bonnie ran 'take' on item 'Green Citizen Suit' (#20879)
[19:16:01]	bonnie has gained a 'Green Citizen Suit' #20879.
[19:16:03]	bonnie ran 'Equip' on item 'Green Citizen Suit' (#20879)
[19:16:10]	Robbert Garth has taken 45 damage from OTA.C08-ECHO:OWS.69173.
[19:16:17]	Robbert Garth has taken 7 damage from OTA.C08-ECHO:OWS.69173.
[19:16:17]	Robbert Garth has taken 45 damage from OTA.C08-ECHO:OWS.69173.
[19:16:18]	Robbert Garth has taken 42 damage from OTA.C08-ECHO:OWS.69173.
[19:16:18]	OTA.C08-ECHO:OWS.69173 has killed Robbert Garth with tfa_psmg.
[19:16:52]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[19:17:34]	bonnie used command '/CharDesc'.
[19:17:35]	bonnie used command '/CharDesc'.
[19:17:49]	[LOOC] Robbert Garth: Go and the new guy
[19:17:52]	[LOOC] CCA.C08-UNION.i1.93347: ye
