[14:10:37]	Nums has connected.
[14:11:33]	Nums loaded the character 'Finan O'Conall'
[14:25:25]	Finan O'Conall has gained 5 tokens.
[14:25:42]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[14:25:42]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[14:25:44]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[14:25:44]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[14:25:48]	Finan O'Conall has gained 20 tokens.
[14:26:04]	Finan O'Conall has gained a 'Bar of Soap' #30734.
[14:26:06]	Finan O'Conall ran 'drop' on item 'Bar of Soap' (#30734)
[14:26:06]	Finan O'Conall has lost a 'Bar of Soap' #30734.
[14:26:23]	Finan O'Conall has taken 10 damage from npc_zombie.
[14:26:54]	Finan O'Conall has gained a 'Scrap Metal' #30736.
[14:26:56]	Finan O'Conall ran 'drop' on item 'Scrap Metal' (#30736)
[14:26:56]	Finan O'Conall has lost a 'Scrap Metal' #30736.
[14:27:03]	Finan O'Conall has taken 10 damage from npc_zombie.
[14:27:03]	npc_zombie has killed Finan O'Conall.
[14:27:51]	Finan O'Conall ran 'drop' on item 'Crowbar' (#27910)
[14:27:51]	Finan O'Conall has lost a 'Crowbar' #27910.
[14:27:56]	Finan O'Conall ran 'take' on item 'Crowbar' (#27910)
[14:27:56]	Finan O'Conall has gained a 'Crowbar' #27910.
[14:27:58]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[14:28:40]	Finan O'Conall has taken 5 damage from npc_headcrab.
[14:28:42]	Finan O'Conall has taken 10 damage from npc_zombie.
[14:28:53]	Finan O'Conall has taken 5 damage from npc_headcrab.
[14:29:17]	Finan O'Conall has taken 88 damage from npc_zombine.
[14:29:17]	npc_zombine has killed Finan O'Conall.
[14:29:17]	npc_zombine destroyed a '4.6x30 Rounds' #30739.
[14:30:42]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[14:30:43]	Finan O'Conall ran 'Equip' on item 'USP Match' (#30693)
[14:32:09]	Finan O'Conall has taken 5 damage from npc_headcrab_fast.
[14:32:14]	Finan O'Conall has taken 5 damage from npc_headcrab_fast.
[14:32:16]	Finan O'Conall has taken 5 damage from npc_headcrab_fast.
[14:32:20]	Finan O'Conall has taken 5 damage from npc_headcrab.
[14:32:46]	Finan O'Conall has gained 20 tokens.
[14:34:30]	Finan O'Conall has gained 20 tokens.
[14:35:38]	Finan O'Conall has gained 10 tokens.
[14:38:30]	Finan O'Conall destroyed a 'Radio Case' #30180.
[14:38:32]	Finan O'Conall ran 'drop' on item 'Handheld Radio' (#30696)
[14:38:32]	Finan O'Conall has lost a 'Handheld Radio' #30696.
[14:38:35]	Finan O'Conall ran 'take' on item 'Handheld Radio' (#30696)
[14:38:35]	Finan O'Conall has gained a 'Handheld Radio' #30696.
[17:55:46]	wendigo has connected.
[17:59:26]	Jason has gained a 'Cyclopic Citizen Suit' #30743.
[17:59:26]	Jason has gained a 'Citizen Filter' #30744.
[17:59:26]	wendigo created the character 'Jason'
[17:59:26]	Jason has gained a 'Suitcase' #30745.
[17:59:26]	Jason has gained a 'Relocation Coupon' #30746.
[17:59:26]	wendigo loaded the character 'Jason'
[17:59:36]	Jason has taken 1 damage from worldspawn.
[17:59:36]	Jason has taken 1 damage from worldspawn.
[17:59:37]	Jason has taken 1 damage from worldspawn.
[17:59:38]	Jason has taken 1 damage from worldspawn.
[17:59:39]	Jason has taken 1 damage from worldspawn.
[17:59:43]	Jason has taken 1 damage from worldspawn.
[17:59:50]	Jason has taken 1 damage from worldspawn.
[17:59:51]	Jason has taken 1 damage from worldspawn.
[17:59:52]	Jason has taken 1 damage from worldspawn.
[17:59:52]	Jason has taken 1 damage from worldspawn.
[17:59:53]	Jason has taken 1 damage from worldspawn.
[17:59:54]	Jason has taken 1 damage from worldspawn.
[17:59:55]	Jason has taken 1 damage from worldspawn.
[17:59:55]	Jason has taken 1 damage from worldspawn.
[17:59:56]	Jason has taken 1 damage from worldspawn.
[18:01:18]	Jason used command '/Content'.
[18:03:38]	Jason used command '/Discord'.
[18:08:29]	Jason has taken 1 damage from worldspawn.
[18:08:29]	Jason has taken 1 damage from worldspawn.
[18:08:30]	Jason has taken 1 damage from worldspawn.
[18:08:31]	Jason has taken 1 damage from worldspawn.
[18:08:32]	Jason has taken 1 damage from worldspawn.
[18:08:33]	Jason has taken 1 damage from worldspawn.
[18:08:36]	Jason has taken 1 damage from worldspawn.
[18:08:37]	Jason has taken 1 damage from worldspawn.
[18:08:37]	Jason has taken 1 damage from worldspawn.
[18:08:40]	Jason has taken 1 damage from worldspawn.
[18:08:40]	Jason has taken 1 damage from worldspawn.
[18:08:41]	Jason has taken 1 damage from worldspawn.
[18:08:42]	Jason has taken 1 damage from worldspawn.
[18:08:43]	Jason has taken 1 damage from worldspawn.
[18:08:44]	Jason has taken 1 damage from worldspawn.
[18:08:45]	Jason has taken 1 damage from worldspawn.
[18:08:46]	Jason has taken 1 damage from worldspawn.
[18:08:46]	Jason has taken 1 damage from worldspawn.
[18:12:07]	wendigo (STEAM_0:1:429480781) has disconnected.
[20:41:54]	Finan O'Conall ran 'drop' on item 'Flashlight' (#28614)
[20:41:54]	Finan O'Conall has lost a 'Flashlight' #28614.
[20:42:08]	Finan O'Conall ran 'take' on item 'Flashlight' (#28614)
[20:42:08]	Finan O'Conall has gained a 'Flashlight' #28614.
[20:48:23]	Nums (STEAM_0:1:196547442) has disconnected.
[21:44:23]	stieman1981 has connected.
[21:45:02]	stieman1981 (STEAM_0:1:47597058) has disconnected.
[22:28:59]	Bean has connected.
[22:29:25]	Bean loaded the character 'Alex Palovichov'
[22:29:46]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[22:29:47]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[22:29:53]	Alex Palovichov ran 'View' on item 'Paper' (#28729)
[22:29:57]	Alex Palovichov ran 'View' on item 'Paper' (#28729)
[22:30:40]	matt saton has connected.
[22:32:15]	Alex Palovichov used the 'Shopkeeper Jim' vendor.
[22:33:38]	Alex Palovichov opened the 'Metal Cabinet' #2713 container.
[22:33:40]	Alex Palovichov closed the 'Metal Cabinet' #2713 container.
[23:02:40]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[23:02:47]	[OOC] CCA.C17-GRID.i3.10945: hlelo
[23:02:47]	CCA.C17-GRID.i3.10945 entered observer.
[23:02:53]	[OOC] Alex Palovichov: hllo
[23:02:58]	[OOC] CCA.C17-GRID.i3.10945: alright so
[23:03:01]	[OOC] CCA.C17-GRID.i3.10945: first thing is most important
[23:03:07]	[OOC] CCA.C17-GRID.i3.10945: go to your helix settings
[23:03:14]	[OOC] CCA.C17-GRID.i3.10945: and if you like, turn off observer reset
[23:03:24]	[OOC] CCA.C17-GRID.i3.10945: so when you go into noclip and leave it, it won't teleport you back where you started
[23:03:33]	[OOC] CCA.C17-GRID.i3.10945: you cna leave it on if you want but i don't recommend it
[23:03:40]	[OOC] Alex Palovichov: Alr
[23:04:16]	Alex Palovichov has lost 5 tokens.
[23:04:18]	Alex Palovichov ran 'Consume' on item 'Consulate Water' (#30747)
[23:04:39]	[OOC] CCA.C17-GRID.i3.10945: alright so noclip is fairly normal
[23:04:47]	Alex Palovichov entered observer.
[23:04:48]	[OOC] CCA.C17-GRID.i3.10945: biggest thing is to not turn on your flashlight or keep out your physgun when in observer
[23:04:51]	[OOC] CCA.C17-GRID.i3.10945: it's bad for immersion
[23:04:53]	Alex Palovichov exited observer at their location.
[23:05:00]	[OOC] Alex Palovichov: Yeah, I saw that happen a few times
[23:05:01]	Alex Palovichov entered observer.
[23:05:04]	[OOC] CCA.C17-GRID.i3.10945: yeah
[23:05:06]	Alex Palovichov exited observer at their location.
[23:05:14]	Alex Palovichov entered observer.
[23:05:22]	[OOC] CCA.C17-GRID.i3.10945: our admin tool we use is ULX
[23:05:31]	[OOC] CCA.C17-GRID.i3.10945: i recommend using the console for your commands
[23:05:41]	[OOC] CCA.C17-GRID.i3.10945: because you can use them in chat but when you send the command, it actually gets sent in IC chat
[23:05:53]	[OOC] Alex Palovichov: Ah okay
[23:06:08]	[OOC] CCA.C17-GRID.i3.10945: you can also use the ULX menu but it's not very fast
[23:06:22]	[OOC] Alex Palovichov: How?
[23:06:29]	[OOC] CCA.C17-GRID.i3.10945: !menu or ulx menu in chat
[23:06:35]	[OOC] CCA.C17-GRID.i3.10945: sorry, !menu in chat or ulx menu in console
[23:06:43]	[OOC] Alex Palovichov: Ah I see
[23:06:56]	[OOC] CCA.C17-GRID.i3.10945: when you're dioing ULX stuff in the console, you can run your commands by just putting the name of the command after "ulx "
[23:07:01]	[OOC] CCA.C17-GRID.i3.10945: without the quotes
[23:07:23]	[OOC] Alex Palovichov: Alr
[23:07:23]	[OOC] CCA.C17-GRID.i3.10945: so "ulx kick Name 'Minging, no intent to RP, come back later.'
[23:07:36]	[OOC] Alex Palovichov: Would I need the '
[23:07:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:07:45]	[OOC] CCA.C17-GRID.i3.10945: you would need to use a double quote for the reason yes
[23:07:50]	[OOC] Alex Palovichov: Alr
[23:07:58]	[OOC] CCA.C17-GRID.i3.10945: if you're passing an argument that has any spaces you put it in double quotes
[23:08:12]	[OOC] Alex Palovichov: Alr
[23:08:13]	[OOC] CCA.C17-GRID.i3.10945: the commands for helix aren't in ULX, those are actual / commands
[23:08:33]	[OOC] CCA.C17-GRID.i3.10945: the most you'll be using are /charsetname, /charsetskin, /chareditbodygroup
[23:08:47]	[OOC] CCA.C17-GRID.i3.10945: the chat shows command descriptions as you type them as you're aware from regular, non-staff stuffw
