[17:00:26]	Praethos has connected.
[17:06:14]	Praethos created the character 'Richard Mundy'
[17:06:14]	Richard Mundy has gained a 'Suitcase' #28047.
[17:06:14]	Richard Mundy has gained a 'Relocation Coupon' #28048.
[17:06:14]	Praethos loaded the character 'Richard Mundy'
[17:06:34]	Praethos (STEAM_0:1:129270116) deleted character 'William Jenson'
[17:06:39]	Madeline Wuntch has connected.
[17:11:05]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i3.36307'
[17:12:08]	[OOC] Richard Mundy: hang on brb  asec
[17:12:23]	[OOC] CCA.C14-GRID.i3.36307: brb as well gotta grab the format shit
[17:15:32]	[OOC] Richard Mundy: back
[17:16:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[17:17:01]	[OOC] CCA.C14-GRID.i3.36307: okay
[17:17:27]	[ME] Richard Mundy: digs in his pocket and retrieves the coupon.
[17:17:30]	Richard Mundy ran 'drop' on item 'Relocation Coupon' (#28048)
[17:17:30]	Richard Mundy has lost a 'Relocation Coupon' #28048.
[17:17:56]	CCA.C14-GRID.i3.36307 ran 'take' on item 'Relocation Coupon' (#28048)
[17:17:56]	CCA.C14-GRID.i3.36307 has gained a 'Relocation Coupon' #28048.
[17:18:49]	CCA.C14-GRID.i3.36307 ran 'take' on item 'Citizen ID' (#28049)
[17:18:49]	CCA.C14-GRID.i3.36307 has gained a 'Citizen ID' #28049.
[17:19:01]	Richard Mundy used command '/Apply'.
[17:20:16]	[ME] CCA.C14-GRID.i3.36307: taps on his PDA
[17:20:23]	CCA.C14-GRID.i3.36307 used command '/OldViewData rich'.
[17:21:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[17:21:28]	[ME] CCA.C14-GRID.i3.36307: places the CID on the counter
[17:21:33]	CCA.C14-GRID.i3.36307 ran 'drop' on item 'Citizen ID' (#28049)
[17:21:33]	CCA.C14-GRID.i3.36307 has lost a 'Citizen ID' #28049.
[17:21:43]	Richard Mundy ran 'take' on item 'Citizen ID' (#28049)
[17:21:43]	Richard Mundy has gained a 'Citizen ID' #28049.
[17:21:50]	[ME] Richard Mundy: picks it up and slips it into his pocket.
[17:22:11]	[OOC] Richard Mundy: oh yeah, its tf2 sniper in hl2rp time
[17:23:42]	[OOC] CCA.C14-GRID.i3.36307: w h a t
[17:23:52]	Mr. Chicken has connected.
[17:23:59]	[OOC] CCA.C14-GRID.i3.36307: oh god
[17:24:46]	Mr. Chicken loaded the character 'Crystal Seline'
[17:24:52]	[OOC] Crystal Seline: hola
[17:25:00]	[OOC] Richard Mundy: ok
[17:25:02]	[OOC] CCA.C14-GRID.i3.36307: salut la
[17:25:06]	[OOC] CCA.C14-GRID.i3.36307: whats up
[17:25:47]	[LOOC] Richard Mundy: you quiet as hell
[17:26:05]	CCA.C14-GRID.i3.36307 has gained 10 tokens.
[17:26:27]	Crystal Seline ran 'drop' on item 'UU-Brand Bread' (#28019)
[17:26:27]	Crystal Seline has lost a 'UU-Brand Bread' #28019.
[17:26:32]	Richard Mundy ran 'take' on item 'UU-Brand Bread' (#28019)
[17:26:32]	Richard Mundy has gained a 'UU-Brand Bread' #28019.
[17:26:36]	Crystal Seline ran 'drop' on item 'Sparkling Breen's Water' (#18385)
[17:26:36]	Crystal Seline has lost a 'Sparkling Breen's Water' #18385.
[17:26:40]	Richard Mundy ran 'take' on item 'Sparkling Breen's Water' (#18385)
