[16:44:57]	josh99smith has connected.
[16:54:14]	josh99smith (STEAM_0:1:83812752) has disconnected.
[18:42:20]	Beedle has connected.
[18:43:15]	Beedle loaded the character 'CCA.C08-UNION.i5.67908'
[18:45:10]	CCA.C08-UNION.i5.67908 opened the '' #1955 container.
[18:45:13]	CCA.C08-UNION.i5.67908 closed the '' #1955 container.
[18:45:52]	Beedle (STEAM_0:1:31603520) has disconnected.
[19:06:55]	gasmask guy has connected.
[19:16:10]	gasmask guy created the character 'James Johnson'
[19:16:10]	James Johnson has gained a 'Suitcase' #20923.
[19:16:10]	James Johnson has gained a 'Relocation Coupon' #20924.
[19:16:10]	James Johnson has gained a 'Green Citizen Suit' #20925.
[19:16:10]	James Johnson has gained a 'Citizen Filter' #20926.
[19:16:10]	gasmask guy loaded the character 'James Johnson'
[19:16:22]	James Johnson used command '/Discord'.
[19:16:33]	[OOC] James Johnson: hello?
[19:17:20]	James Johnson used command '/Content'.
[19:17:50]	James Johnson has taken 5 damage from James Johnson.
[19:17:50]	James Johnson has gained 10 tokens.
[19:18:18]	James Johnson has taken 250 damage from trigger_hurt.
[19:18:18]	trigger_hurt has killed James Johnson.
[19:22:00]	James Johnson ran 'Equip' on item 'Green Citizen Suit' (#20925)
[19:22:18]	[OOC] James Johnson: is someone there?
[19:23:10]	James Johnson has taken 1 damage from worldspawn.
[19:23:11]	James Johnson has taken 1 damage from worldspawn.
[19:23:11]	James Johnson has taken 1 damage from worldspawn.
[19:23:12]	James Johnson has taken 1 damage from worldspawn.
[19:23:13]	James Johnson has taken 1 damage from worldspawn.
[19:23:14]	James Johnson has taken 1 damage from worldspawn.
[19:23:15]	James Johnson has taken 1 damage from worldspawn.
[19:23:15]	James Johnson has taken 1 damage from worldspawn.
[19:23:16]	James Johnson has taken 1 damage from worldspawn.
[19:23:17]	James Johnson has taken 1 damage from worldspawn.
[19:23:18]	James Johnson has taken 1 damage from worldspawn.
[19:23:18]	James Johnson has taken 1 damage from worldspawn.
[19:23:19]	James Johnson has taken 1 damage from worldspawn.
[19:23:20]	James Johnson has taken 1 damage from worldspawn.
[19:23:21]	James Johnson has taken 1 damage from worldspawn.
[19:23:21]	James Johnson has taken 1 damage from worldspawn.
[19:23:22]	James Johnson has taken 1 damage from worldspawn.
[19:23:23]	James Johnson has taken 1 damage from worldspawn.
[19:23:24]	James Johnson has taken 1 damage from worldspawn.
[19:23:31]	James Johnson ran 'equip' on item 'Citizen Filter' (#20926)
[19:23:41]	James Johnson ran 'EquipUn' on item 'Green Citizen Suit' (#20925)
[19:25:16]	James Johnson ran 'Equip' on item 'Green Citizen Suit' (#20925)
[19:25:45]	James Johnson ran 'EquipUn' on item 'Green Citizen Suit' (#20925)
[19:25:52]	gasmask guy (STEAM_0:1:453700418) has disconnected.
[21:42:52]	japan1793 has connected.
[21:46:49]	japan1793 (STEAM_0:1:534723608) has disconnected.
