[15:28:40]	NamRm has connected.
[15:29:08]	NamRm loaded the character 'Aurelio Grau'
[15:29:09]	Aurelio Grau has taken 5 damage from npc_headcrab.
[15:29:11]	Aurelio Grau has taken 5 damage from npc_headcrab.
[15:29:13]	Aurelio Grau has taken 5 damage from npc_headcrab.
[15:29:15]	Aurelio Grau has taken 5 damage from npc_headcrab.
[15:29:28]	Aurelio Grau destroyed a 'Pipe' #35804.
[15:29:28]	Aurelio Grau destroyed a 'Rubber Tire' #35821.
[15:29:48]	Aurelio Grau has taken 10 damage from npc_zombine.
[15:29:51]	Aurelio Grau has taken 10 damage from npc_zombine.
[15:29:52]	Aurelio Grau has taken 10 damage from npc_zombine.
[15:29:53]	Aurelio Grau has taken 40 damage from npc_zombine.
[15:29:53]	npc_zombine has killed Aurelio Grau.
[15:30:56]	Aurelio Grau ran 'drop' on item 'Empty Glass Bottle' (#35686)
[15:30:56]	Aurelio Grau has lost a 'Empty Glass Bottle' #35686.
[15:31:01]	Aurelio Grau ran 'drop' on item 'Refined Electronics' (#35738)
[15:31:01]	Aurelio Grau has lost a 'Refined Electronics' #35738.
[15:31:03]	Aurelio Grau ran 'take' on item 'Refined Electronics' (#35738)
[15:31:03]	Aurelio Grau has gained a 'Refined Electronics' #35738.
[15:32:13]	Aurelio Grau ran 'drop' on item 'Refined Metal' (#35579)
[15:32:13]	Aurelio Grau has lost a 'Refined Metal' #35579.
[15:32:13]	Aurelio Grau ran 'drop' on item 'Refined Metal' (#35577)
[15:32:13]	Aurelio Grau has lost a 'Refined Metal' #35577.
[15:32:14]	Aurelio Grau ran 'drop' on item 'Refined Metal' (#35636)
[15:32:14]	Aurelio Grau has lost a 'Refined Metal' #35636.
[15:32:14]	Aurelio Grau ran 'drop' on item 'Refined Metal' (#35663)
[15:32:14]	Aurelio Grau has lost a 'Refined Metal' #35663.
[15:32:31]	Aurelio Grau has gained a 'Scrap Metal' #35845.
[15:32:35]	Aurelio Grau ran 'drop' on item 'Refined Metal' (#35578)
[15:32:35]	Aurelio Grau has lost a 'Refined Metal' #35578.
[15:32:35]	Aurelio Grau ran 'drop' on item 'Refined Metal' (#35576)
[15:32:35]	Aurelio Grau has lost a 'Refined Metal' #35576.
[15:32:39]	Aurelio Grau ran 'drop' on item 'Scrap Metal' (#35845)
[15:32:39]	Aurelio Grau has lost a 'Scrap Metal' #35845.
[15:32:52]	NamRm (STEAM_0:0:69476140) has disconnected.
