[14:56:46]	Lynch has connected.
[15:07:28]	Lynch loaded the character 'Recruit Nathan Pierce'
[15:10:37]	NamRm has connected.
[15:11:10]	NamRm loaded the character 'CCA.C17-UNION.i2.07979'
[15:11:27]	[OOC] CCA.C17-UNION.i2.07979: hello if only q would delegate power
[15:14:53]	[OOC] Recruit Nathan Pierce: What a pain.
[15:14:58]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:15:13]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:15:28]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:15:43]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:15:58]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:16:03]	CCA.C17-UNION.i2.07979 opened the 'Metal Cabinet' #2498 container.
[15:16:05]	CCA.C17-UNION.i2.07979 closed the 'Metal Cabinet' #2498 container.
[15:16:06]	CCA.C17-UNION.i2.07979 opened the 'Metal Cabinet' #2499 container.
[15:16:08]	CCA.C17-UNION.i2.07979 closed the 'Metal Cabinet' #2499 container.
[15:16:09]	CCA.C17-UNION.i2.07979 opened the 'Metal Cabinet' #2498 container.
[15:16:10]	CCA.C17-UNION.i2.07979 has gained 10 tokens.
[15:16:11]	CCA.C17-UNION.i2.07979 has gained a 'AI-2 Medikit' #33553.
[15:16:12]	CCA.C17-UNION.i2.07979 ran 'AHealSelf' on item 'AI-2 Medikit' (#33553)
[15:16:13]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:16:15]	CCA.C17-UNION.i2.07979 closed the 'Metal Cabinet' #2498 container.
[15:16:17]	CCA.C17-UNION.i2.07979 opened the 'File Cabinet' #203 container.
[15:16:17]	CCA.C17-UNION.i2.07979 closed the 'File Cabinet' #203 container.
[15:16:18]	CCA.C17-UNION.i2.07979 opened the 'File Cabinet' #203 container.
[15:16:23]	CCA.C17-UNION.i2.07979 has gained a 'Health Vial' #33337.
[15:16:24]	CCA.C17-UNION.i2.07979 closed the 'File Cabinet' #203 container.
[15:16:28]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:16:43]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:16:58]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:17:13]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:17:18]	CCA.C17-UNION.i2.07979 used the 'Ration Dispenser' vendor.
[15:17:28]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:17:43]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:17:58]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:18:13]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:18:28]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
[15:18:34]	CCA.C17-UNION.i2.07979 used the 'Ration Dispenser' vendor.
[15:18:36]	CCA.C17-UNION.i2.07979 has gained 0 tokens.
[15:18:37]	CCA.C17-UNION.i2.07979 has gained a 'CCA Grade Beverage (Lemon Flavor)' #37006.
[15:18:37]	CCA.C17-UNION.i2.07979 has gained 0 tokens.
[15:18:37]	CCA.C17-UNION.i2.07979 has gained a 'CCA Grade Beverage (Lemon-Lime Flavor)' #37007.
[15:18:39]	CCA.C17-UNION.i2.07979 used the 'Ration Dispenser' vendor.
[15:18:43]	CCA.C17-UNION.i2.07979 has gained 0 tokens.
[15:18:43]	CCA.C17-UNION.i2.07979 has gained a 'CCA Grade Food Product (Pork Tenderloin Flavor)' #37008.
[15:18:43]	CCA.C17-UNION.i2.07979 has gained 0 tokens.
[15:18:43]	CCA.C17-UNION.i2.07979 has gained a 'CCA Grade Food Product (Barbecue Rib Flavor)' #37009.
[15:18:44]	CCA.C17-UNION.i2.07979 has taken 2 damage from CCA.C17-UNION.i2.07979.
