[10:51:06]	RaysurZ has connected.
[10:51:37]	RaysurZ (STEAM_0:0:984884) has disconnected.
[10:53:05]	Lynch has connected.
[10:54:31]	Lynch loaded the character 'PVT Nathan Pierce'
[10:54:49]	PVT Nathan Pierce used command '/CharDesc'.
[10:58:59]	PVT Nathan Pierce ran 'Equip' on item 'Respirator' (#34055)
[10:59:07]	PVT Nathan Pierce ran 'EquipUn' on item 'Respirator' (#34055)
[11:01:02]	PVT Nathan Pierce opened the 'Locker' #43 container.
[11:01:04]	PVT Nathan Pierce closed the 'Locker' #43 container.
[11:01:05]	PVT Nathan Pierce opened the 'Locker' #44 container.
[11:01:07]	PVT Nathan Pierce closed the 'Locker' #44 container.
[11:15:37]	Lynch (STEAM_0:1:626926779) has disconnected.
[14:59:32]	Weaponized Turtles has connected.
[15:00:56]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[15:02:05]	Tiger Shark has connected.
[15:02:51]	Tiger Shark loaded the character 'Jefferson Jackson'
[15:04:23]	Jefferson Jackson has gained a 'Empty Paint Can' #37970.
[15:04:25]	Jefferson Jackson ran 'drop' on item 'Empty Paint Can' (#37970)
[15:04:25]	Jefferson Jackson has lost a 'Empty Paint Can' #37970.
[15:04:31]	Jefferson Jackson ran 'take' on item 'Pipe' (#31440)
[15:04:31]	Jefferson Jackson has gained a 'Pipe' #31440.
[15:04:42]	Jefferson Jackson has gained a 'Empty Tin Can' #37971.
[15:05:01]	Jefferson Jackson has gained a 'Broken Computer Monitor' #37972.
[15:05:15]	Jefferson Jackson has gained a 'AA Battery' #37973.
[15:05:16]	Jefferson Jackson ran 'drop' on item 'Broken Computer Monitor' (#37972)
[15:05:17]	Jefferson Jackson has lost a 'Broken Computer Monitor' #37972.
[15:05:17]	Jefferson Jackson ran 'drop' on item 'AA Battery' (#37973)
[15:05:17]	Jefferson Jackson has lost a 'AA Battery' #37973.
[15:05:19]	Painevan has connected.
[15:05:21]	Jefferson Jackson opened the 'Dumpster' #2736 container.
[15:05:23]	Jefferson Jackson closed the 'Dumpster' #2736 container.
[15:05:29]	Jefferson Jackson opened the 'Dumpster' #2549 container.
[15:05:30]	Jefferson Jackson closed the 'Dumpster' #2549 container.
[15:05:30]	Jefferson Jackson opened the 'Dumpster' #240 container.
[15:05:31]	Jefferson Jackson closed the 'Dumpster' #240 container.
[15:05:55]	Jefferson Jackson ran 'take' on item 'Pipe' (#37666)
[15:05:55]	Jefferson Jackson has gained a 'Pipe' #37666.
[15:05:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:05:56]	Jefferson Jackson has gained a 'Broken LCD Monitor' #37974.
[15:05:58]	Jefferson Jackson ran 'drop' on item 'Broken LCD Monitor' (#37974)
[15:05:58]	Jefferson Jackson has lost a 'Broken LCD Monitor' #37974.
[15:06:10]	Jefferson Jackson has gained a 'Bar of Soap' #37975.
[15:06:12]	Jefferson Jackson ran 'drop' on item 'Bar of Soap' (#37975)
[15:06:12]	Jefferson Jackson has lost a 'Bar of Soap' #37975.
[15:06:18]	Jefferson Jackson has gained a 'Boot' #37976.
[15:06:20]	Jefferson Jackson ran 'drop' on item 'Boot' (#37976)
[15:06:20]	Jefferson Jackson has lost a 'Boot' #37976.
[15:06:28]	Jefferson Jackson has gained a 'Pliers' #37977.
[15:06:46]	Jefferson Jackson ran 'take' on item 'Empty Sparkling Consulate Water Can' (#37828)
[15:06:46]	Jefferson Jackson has gained a 'Empty Sparkling Consulate Water Can' #37828.
[15:06:47]	Jefferson Jackson ran 'take' on item 'Empty Sparkling Consulate Water Can' (#37824)
[15:06:47]	Jefferson Jackson has gained a 'Empty Sparkling Consulate Water Can' #37824.
[15:06:55]	Jefferson Jackson has gained a 'Shovel' #37978.
[15:06:57]	Jefferson Jackson ran 'drop' on item 'Shovel' (#37978)
[15:06:57]	Jefferson Jackson has lost a 'Shovel' #37978.
[15:07:17]	Jefferson Jackson has taken 5 damage from npc_headcrab.
[15:07:31]	Jefferson Jackson has taken 10 damage from npc_zombine.
[15:07:33]	Jefferson Jackson has taken 10 damage from npc_zombine.
[15:07:34]	Jefferson Jackson has taken 10 damage from npc_zombine.
[15:07:46]	Jefferson Jackson ran 'take' on item '4.6x30 Rounds' (#37980)
[15:07:46]	Jefferson Jackson has gained a '4.6x30 Rounds' #37980.
[15:07:59]	Jefferson Jackson ran 'use' on item '4.6x30 Rounds' (#37980)
[15:08:03]	Jefferson Jackson has taken 5 damage from npc_headcrab_fast.
[15:08:06]	Jefferson Jackson has taken 5 damage from npc_headcrab_fast.
[15:08:12]	Jefferson Jackson has taken 5 damage from npc_headcrab.
[15:08:12]	Jefferson Jackson has gained a 'Citizen Filter' #37980.
[15:08:15]	Jefferson Jackson ran 'drop' on item 'Citizen Filter' (#37980)
[15:08:15]	Jefferson Jackson has lost a 'Citizen Filter' #37980.
[15:08:20]	Jefferson Jackson ran 'take' on item 'Bolts' (#37906)
[15:08:20]	Jefferson Jackson has gained a 'Bolts' #37906.
[15:08:21]	Jefferson Jackson ran 'drop' on item 'Bolts' (#37906)
[15:08:21]	Jefferson Jackson has lost a 'Bolts' #37906.
[15:08:57]	Jefferson Jackson has gained 20 tokens.
[15:09:05]	Jefferson Jackson ran 'take' on item 'Pipe' (#37471)
[15:09:05]	Jefferson Jackson has gained a 'Pipe' #37471.
[15:09:19]	Jefferson Jackson ran 'take' on item 'Fingerless Gloves' (#37982)
[15:09:19]	Jefferson Jackson has gained a 'Fingerless Gloves' #37982.
[15:09:21]	Jefferson Jackson ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#36621)
[15:09:23]	Jefferson Jackson ran 'Equip' on item 'Cyclopic Citizen Suit' (#36621)
[15:09:24]	Jefferson Jackson ran 'Equip' on item 'Fingerless Gloves' (#37982)
[15:09:29]	Painevan loaded the character 'Jonathan Jackson'
[15:09:43]	Jefferson Jackson has gained a 'Pipe' #37983.
[15:10:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:12:06]	Jonathan Jackson used command '/PM Union You do not know what the combine has in store today'.
[15:12:17]	CCA.C17-UNION.i5.94233 used command '/PM jonathan uh oh'.
[15:12:27]	Jonathan Jackson used command '/PM Union ;)'.
[15:12:45]	CCA.C17-UNION.i5.94233 used the 'Box of Posters' vendor.
[15:12:46]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[15:12:46]	CCA.C17-UNION.i5.94233 has gained a 'Human Science Rat Poster' #37991.
[15:12:47]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[15:12:47]	CCA.C17-UNION.i5.94233 has gained a 'Human Science Rat Poster' #37992.
[15:12:52]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Human Science Rat Poster' (#37991)
[15:12:52]	CCA.C17-UNION.i5.94233 has lost a 'Human Science Rat Poster' #37991.
[15:12:54]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Human Science Rat Poster' (#37992)
[15:12:54]	CCA.C17-UNION.i5.94233 has lost a 'Human Science Rat Poster' #37992.
[15:12:56]	CCA.C17-UNION.i5.94233 used the 'Box of Posters' vendor.
[15:12:58]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[15:12:58]	CCA.C17-UNION.i5.94233 has gained a 'Cremator Poster' #37993.
[15:13:02]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Cremator Poster' (#37993)
[15:13:02]	CCA.C17-UNION.i5.94233 has lost a 'Cremator Poster' #37993.
