[06:08:40]	Weaponized Turtles has connected.
[06:09:03]	Weaponized Turtles loaded the character 'Jacob Desmone'
[06:09:10]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#39266)
[06:09:10]	Jacob Desmone has lost a 'Scrap Metal' #39266.
[06:09:12]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#39266)
[06:09:12]	Jacob Desmone has gained a 'Scrap Metal' #39266.
[06:09:35]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected.
[08:48:09]	Lildirtyharry04 has connected.
[08:48:54]	Lildirtyharry04 loaded the character 'Qul'jal'
[09:07:17]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected (timed out).
[10:13:43]	Lildirtyharry04 has connected.
[10:14:27]	Lildirtyharry04 loaded the character 'Qul'jal'
[10:18:48]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[10:28:40]	Nums has connected.
[10:29:26]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[10:29:48]	CCA.C17-JUDGE.i4.77460 ran 'EquipUn' on item 'USP Match' (#29146)
[10:29:49]	CCA.C17-JUDGE.i4.77460 ran 'Equip' on item 'USP Match' (#29146)
[10:29:50]	CCA.C17-JUDGE.i4.77460 ran 'unloadAmmo' on item 'USP Match' (#29146)
[10:29:50]	CCA.C17-JUDGE.i4.77460 has gained a '9mm Pistol Magazine' #39611.
[10:29:56]	CCA.C17-JUDGE.i4.77460 ran 'unloadAmmo' on item 'USP Match' (#29146)
[10:29:56]	CCA.C17-JUDGE.i4.77460 has gained a '9mm Pistol Magazine' #39612.
[10:30:00]	CCA.C17-JUDGE.i4.77460 ran 'EquipUn' on item 'USP Match' (#29146)
[10:30:01]	CCA.C17-JUDGE.i4.77460 ran 'Equip' on item 'USP Match' (#29146)
[10:30:09]	CCA.C17-JUDGE.i4.77460 ran 'use' on item '9mm Pistol Magazine' (#39612)
[10:30:10]	CCA.C17-JUDGE.i4.77460 ran 'use' on item '9mm Pistol Magazine' (#39611)
[10:39:22]	Dilly_ has connected.
[10:41:20]	Dilly_ loaded the character 'Crimson'
[10:52:10]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[11:00:16]	matt saton has connected.
[11:05:30]	matt saton loaded the character 'Andrew Cloverman'
[12:08:59]	Enclave has connected.
[12:10:01]	Enclave loaded the character 'Jack Kingston'
[12:10:44]	Jack Kingston ran 'take' on item 'Broken Keyboard' (#36538)
[12:10:44]	Jack Kingston has gained a 'Broken Keyboard' #36538.
[12:11:35]	Jack Kingston ran 'take' on item 'Flashlight' (#35454)
[12:11:35]	Jack Kingston has gained a 'Flashlight' #35454.
[12:14:13]	Jack Kingston opened the 'Crate' #2733 container.
[12:14:15]	Jack Kingston closed the 'Crate' #2733 container.
[12:15:23]	Jack Kingston opened the 'Refrigerator' #2577 container.
[12:15:25]	Jack Kingston closed the 'Refrigerator' #2577 container.
[12:16:05]	Jack Kingston used the 'Shopkeeper Jim' vendor.
[12:16:29]	Jack Kingston used the 'Shopkeeper Jim' vendor.
[12:16:47]	Jack Kingston opened the 'Cash Register' #2526 container.
[12:16:50]	Jack Kingston closed the 'Cash Register' #2526 container.
[12:17:31]	Jack Kingston ran 'View' on item 'Notepad' (#31583)
[12:17:41]	Jack Kingston opened the 'Trash Bin' #2993 container.
[12:17:43]	Jack Kingston closed the 'Trash Bin' #2993 container.
[12:18:18]	Jack Kingston ran 'View' on item 'Notepad' (#24381)
[12:19:10]	Enclave (STEAM_0:0:34463192) has disconnected.
[12:20:19]	Enclave has connected.
[12:20:38]	Enclave loaded the character 'Jack Kingston'
[12:21:02]	Jack Kingston ran 'View' on item 'Paper' (#24266)
[12:21:31]	Jack Kingston ran 'View' on item 'Notepad' (#17310)
[12:21:32]	Jack Kingston opened the 'Cash Register' #2478 container.
[12:21:35]	Jack Kingston closed the 'Cash Register' #2478 container.
[12:22:12]	Jack Kingston opened the 'Metal Cabinet' #2885 container.
[12:22:13]	Jack Kingston closed the 'Metal Cabinet' #2885 container.
[12:22:13]	Jack Kingston opened the 'Metal Cabinet' #2885 container.
[12:22:16]	Jack Kingston closed the 'Metal Cabinet' #2885 container.
[12:22:17]	Jack Kingston opened the 'Metal Cabinet' #2885 container.
[12:22:17]	Jack Kingston closed the 'Metal Cabinet' #2885 container.
[12:23:05]	Jack Kingston used the 'Box of Posters' vendor.
[12:23:27]	Jack Kingston ran 'drop' on item 'Broken Keyboard' (#36538)
[12:23:27]	Jack Kingston has lost a 'Broken Keyboard' #36538.
[12:23:59]	Jack Kingston opened the 'Cash Register' #2586 container.
[12:24:01]	Jack Kingston closed the 'Cash Register' #2586 container.
[12:26:34]	Jack Kingston opened the 'Metal Cabinet' #2806 container.
[12:26:39]	Jack Kingston closed the 'Metal Cabinet' #2806 container.
[12:26:40]	Jack Kingston opened the 'Refrigerator' #2424 container.
[12:26:42]	Jack Kingston closed the 'Refrigerator' #2424 container.
[12:26:59]	Jack Kingston opened the 'File Cabinet' #2423 container.
[12:27:07]	Jack Kingston closed the 'File Cabinet' #2423 container.
[12:27:08]	Jack Kingston opened the 'Metal Cabinet' #2422 container.
[12:27:20]	Jack Kingston closed the 'Metal Cabinet' #2422 container.
[12:27:24]	Jack Kingston opened the 'Metal Cabinet' #2420 container.
[12:27:28]	Jack Kingston closed the 'Metal Cabinet' #2420 container.
[12:30:53]	Jack Kingston ran 'take' on item 'Axe' (#33892)
[12:30:53]	Jack Kingston has gained a 'Axe' #33892.
[12:30:56]	Jack Kingston ran 'Equip' on item 'Axe' (#33892)
[12:31:15]	Jack Kingston ran 'EquipUn' on item 'Axe' (#33892)
[12:31:40]	Jack Kingston ran 'drop' on item 'Axe' (#33892)
[12:31:40]	Jack Kingston has lost a 'Axe' #33892.
[12:31:55]	Jack Kingston opened the 'Trash Bin' #2374 container.
[12:31:58]	Jack Kingston closed the 'Trash Bin' #2374 container.
[12:32:13]	Jack Kingston has gained a 'Empty Paint Can' #39611.
[12:32:44]	Jack Kingston ran 'drop' on item 'Empty Paint Can' (#39611)
[12:32:44]	Jack Kingston has lost a 'Empty Paint Can' #39611.
[12:34:01]	Bean has connected.
[12:34:08]	Enclave (STEAM_0:0:34463192) has disconnected.
[12:34:23]	Bean loaded the character 'Daniel J. Cutter'
[12:35:00]	[OOC] Daniel J. Cutter: Guh
[12:36:06]	Bean loaded the character 'Alex Palovichov'
[12:36:30]	Bean loaded the character 'CCA.C17-UNION.i5.83253'
[12:37:38]	Bean (STEAM_0:1:591779303) has disconnected.
[12:41:23]	fuckus has connected.
[12:48:58]	fuckus loaded the character 'Tony Ricci'
[12:49:17]	Tony Ricci used command '/DoorBuy'.
[12:50:42]	fuckus loaded the character 'Kiff Sankase'
