[00:00:02]	[OOC] Jack Kingston: ban
[00:00:05]	[OOC] Ephraim 'Loew' Harris: there's no grid
[00:00:07]	[OOC] Ephraim 'Loew' Harris: online
[00:00:11]	CCA.C17-UNION.i1.07979 used command '/Radio Unit going 10-7.'.
[00:00:18]	CCA.C17-UNION.i1.07979 used command '/Radio Have a good time out there.'.
[00:00:21]	[OOC] Shamish McFarlen: hmmm probly union then
[00:00:27]	NamRm loaded the character 'Aurelio Grau'
[00:00:29]	[OOC] David Steves: lemme out
[00:00:35]	[OOC] David Steves: wrongful imprisonment
[00:00:41]	[OOC] David Steves: I want my lawyer
[00:00:46]	CCA.C17-UNION.i5.83253 used command '/Radio 10-4'.
[00:01:06]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:01:09]	CCA.C17-UNION.i5.83253 entered observer.
[00:01:18]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:01:21]	[OOC] Ephraim 'Loew' Harris: I FOUND THEM
[00:01:26]	[OOC] David Steves: KRUSTY KRAB IS UNFAIR
[00:01:26]	[OOC] Ephraim 'Loew' Harris: I AM EXPERIENCING ALMSOT MAXIMUM WARTMH
[00:02:00]	[LOOC] Sona la Rona: dude
[00:02:09]	[LOOC] Sona la Rona: you looked exactly like jacob lmao
[00:02:19]	[LOOC] Aurelio Grau: who is that
[00:02:24]	[LOOC] Aurelio Grau: i dont remember rn
[00:02:30]	[LOOC] Sona la Rona: rebel guy
[00:02:49]	[LOOC] Aurelio Grau: guess he's got good taste
[00:03:39]	[LOOC] Ephraim 'Loew' Harris: so
[00:03:40]	[LOOC] Ephraim 'Loew' Harris: yeah
[00:03:44]	[LOOC] Ephraim 'Loew' Harris: io don't know how to handle this ICly
[00:03:50]	[LOOC] Ephraim 'Loew' Harris: also is my pac showing
[00:03:58]	[LOOC] Aurelio Grau: i think so I see your head
[00:04:01]	[LOOC] Ephraim 'Loew' Harris: yep that's it
[00:04:08]	Sona la Rona ran 'View' on item 'Paper' (#44761)
[00:04:15]	[LOOC] Ephraim 'Loew' Harris: anyways
[00:04:26]	[LOOC] Ephraim 'Loew' Harris: i'm not sure how to handle this ICly. because like. it's not like i've een on ephraim and avoiding you
[00:04:29]	[LOOC] Ephraim 'Loew' Harris: i've just been busy OOCly
[00:04:30]	[OOC] OTA.S17-ECHO.OAS.10512: I am spreading the funny visor lights to everyone
[00:04:33]	[LOOC] Aurelio Grau: ye
[00:04:38]	[LOOC] Ephraim 'Loew' Harris: ICly ephraim wouldn't ignore you
[00:04:38]	[OOC] OTA.S17-ECHO.OAS.10512: DRD is only the start
[00:04:40]	[LOOC] Ephraim 'Loew' Harris: or avoid you
[00:04:42]	[LOOC] Ephraim 'Loew' Harris: you da man
[00:04:43]	[OOC] David Steves: LMME OUT, ALL I DID WAS HELP CONTROL A MICRONATION
[00:04:49]	[OOC] OTA.S17-ECHO.OAS.10512: LMAO 
