[02:36:05]	Greyman has connected.
[02:37:45]	Greyman (STEAM_0:0:72693407) has disconnected.
[04:32:02]	matt saton has connected.
[04:33:25]	matt saton loaded the character 'James Albright'
[04:33:27]	James Albright entered observer.
[04:33:28]	James Albright exited observer at their location.
[04:33:34]	James Albright used command '/ToggleRaise'.
[04:33:38]	James Albright entered observer.
[04:33:39]	James Albright used command '/ToggleRaise'.
[04:33:40]	James Albright exited observer at their location.
[04:33:42]	James Albright used command '/ToggleRaise'.
[04:33:42]	James Albright entered observer.
[04:33:53]	James Albright exited observer at their location.
[04:33:57]	James Albright entered observer.
[04:33:59]	James Albright exited observer at their location.
[04:34:05]	James Albright entered observer.
[04:34:08]	James Albright exited observer at their location.
[04:34:10]	James Albright entered observer.
[04:34:14]	James Albright exited observer at their location.
[04:34:15]	James Albright entered observer.
[04:34:18]	James Albright exited observer at their location.
[04:34:18]	James Albright used command '/ToggleRaise'.
[04:34:22]	James Albright entered observer.
[04:34:23]	James Albright exited observer at their location.
[04:34:29]	James Albright entered observer.
[04:34:50]	James Albright exited observer at their location.
[04:34:51]	James Albright entered observer.
[04:34:53]	James Albright exited observer at their location.
[04:34:53]	James Albright entered observer.
[04:34:54]	James Albright exited observer at their location.
[04:34:56]	James Albright entered observer.
[04:35:55]	James Albright exited observer at their location.
[04:36:10]	James Albright entered observer.
[04:36:25]	James Albright exited observer at their location.
[04:36:34]	James Albright entered observer.
[04:36:40]	James Albright exited observer at their location.
[04:36:41]	James Albright entered observer.
[04:36:46]	James Albright exited observer at their location.
[04:36:47]	James Albright entered observer.
[04:36:52]	James Albright exited observer at their location.
[04:36:55]	James Albright entered observer.
[04:37:06]	James Albright exited observer at their location.
[04:37:33]	James Albright entered observer.
[04:37:35]	James Albright exited observer at their location.
[04:37:56]	James Albright entered observer.
[04:37:57]	James Albright exited observer at their location.
[04:37:57]	James Albright entered observer.
[04:38:14]	James Albright exited observer at their location.
[04:38:16]	James Albright entered observer.
[04:38:19]	James Albright exited observer at their location.
[04:38:19]	James Albright entered observer.
[04:38:19]	James Albright exited observer at their location.
[04:38:20]	James Albright entered observer.
[04:39:08]	James Albright exited observer at their location.
[04:39:14]	James Albright entered observer.
[04:39:15]	James Albright exited observer at their location.
[04:39:20]	James Albright entered observer.
[04:39:32]	James Albright exited observer at their location.
[04:39:32]	James Albright entered observer.
[04:39:42]	James Albright exited observer at their location.
[04:39:45]	James Albright entered observer.
[04:39:49]	James Albright exited observer at their location.
[04:39:51]	James Albright entered observer.
[04:39:59]	James Albright exited observer at their location.
[04:40:03]	James Albright entered observer.
[04:40:10]	James Albright exited observer at their location.
[04:40:11]	James Albright entered observer.
[04:40:11]	James Albright exited observer at their location.
[04:40:13]	James Albright entered observer.
[04:40:13]	James Albright exited observer at their location.
[04:40:14]	James Albright entered observer.
[04:40:17]	James Albright exited observer at their location.
[04:40:19]	James Albright entered observer.
[04:40:34]	James Albright exited observer at their location.
[04:40:38]	James Albright entered observer.
[04:40:41]	James Albright exited observer at their location.
[04:40:42]	James Albright entered observer.
[04:40:43]	James Albright exited observer at their location.
[04:40:43]	James Albright entered observer.
[04:41:56]	James Albright exited observer at their location.
[04:41:57]	James Albright entered observer.
[04:41:57]	James Albright exited observer at their location.
[04:41:58]	James Albright entered observer.
[04:42:00]	James Albright exited observer at their location.
[04:43:01]	James Albright has spawned 'models/props_lab/teleportring.mdl'.
[04:43:04]	James Albright entered observer.
[04:43:20]	James Albright exited observer at their location.
[04:43:23]	James Albright has spawned 'models/props_lab/workspace001.mdl'.
[04:43:24]	James Albright has spawned 'models/props_lab/teleplatform.mdl'.
[04:43:26]	James Albright has spawned 'models/props_lab/teleportbulkeli.mdl'.
[04:43:27]	James Albright entered observer.
[04:43:31]	James Albright exited observer at their location.
[04:43:35]	James Albright has spawned 'models/props_lab/teleportbulk.mdl'.
[04:43:37]	James Albright has spawned 'models/props_lab/teleportbulk.mdl'.
[04:43:41]	James Albright has spawned 'models/props_lab/teleportbulkeli.mdl'.
[04:43:42]	James Albright entered observer.
[04:43:51]	James Albright exited observer at their location.
[04:43:54]	James Albright has spawned 'models/props_lab/labturret.mdl'.
[04:44:01]	James Albright has spawned 'models/props_lab/hev_case.mdl'.
[04:44:05]	James Albright has spawned 'models/props_lab/teleportframe.mdl'.
[04:44:32]	James Albright entered observer.
[04:44:34]	James Albright exited observer at their location.
[04:44:37]	James Albright has spawned 'models/props_lab/teleplatform.mdl'.
[04:44:48]	James Albright entered observer.
[04:44:51]	James Albright exited observer at their location.
[04:44:54]	James Albright has spawned 'models/props_lab/teleportframe.mdl'.
[04:45:00]	James Albright entered observer.
[04:45:02]	James Albright exited observer at their location.
[04:45:05]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:45:09]	James Albright entered observer.
[04:45:16]	James Albright has spawned 'models/props_lab/teleportbulkeli.mdl'.
[04:45:18]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:45:29]	James Albright exited observer at their location.
[04:45:34]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:45:39]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:45:47]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:45:51]	James Albright has spawned 'models/props_lab/teleportframe.mdl'.
[04:45:53]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:45:55]	James Albright has spawned 'models/props_lab/teleportgate.mdl'.
[04:46:18]	James Albright entered observer.
[04:46:19]	James Albright exited observer at their location.
[04:46:21]	James Albright has spawned 'models/props_lab/teleportframe.mdl'.
[04:46:27]	James Albright has spawned 'models/props_lab/teleportbulkeli.mdl'.
[04:46:27]	James Albright entered observer.
[04:46:29]	James Albright has spawned 'models/props_lab/teleportbulk.mdl'.
[04:46:29]	James Albright exited observer at their location.
[04:46:30]	James Albright entered observer.
[04:46:46]	James Albright exited observer at their location.
[04:46:49]	James Albright entered observer.
[04:46:50]	James Albright exited observer at their location.
[04:46:51]	James Albright entered observer.
[04:46:57]	James Albright exited observer at their location.
[04:46:58]	James Albright entered observer.
[04:46:59]	James Albright exited observer at their location.
[04:47:06]	James Albright entered observer.
[04:47:07]	James Albright exited observer at their location.
[04:47:09]	James Albright entered observer.
[04:47:11]	James Albright exited observer at their location.
[04:47:16]	James Albright entered observer.
[04:47:21]	James Albright exited observer at their location.
[04:47:25]	James Albright has spawned 'models/props_lab/teleportring.mdl'.
[04:47:30]	James Albright has spawned 'models/props_lab/scanner3_scrapyard.mdl'.
[04:47:31]	James Albright has spawned 'models/props_lab/teleportring.mdl'.
[04:47:32]	James Albright has spawned 'models/props_lab/scanner1_scrapyard.mdl'.
[04:47:36]	James Albright entered observer.
[04:47:38]	James Albright has spawned 'models/props_lab/scanner2_scrapyard.mdl'.
[04:47:41]	James Albright has spawned 'models/props_lab/scanner3_scrapyard.mdl'.
[04:47:42]	James Albright has spawned 'models/props_lab/scanner4_scrapyard.mdl'.
[04:47:47]	James Albright has spawned 'models/props_lab/generatortube.mdl'.
[04:47:49]	James Albright has spawned 'models/props_lab/generator.mdl'.
[04:47:50]	James Albright exited observer at their location.
[04:48:24]	James Albright has spawned 'models/props_lab/generatortube.mdl'.
[04:49:14]	James Albright has spawned 'models/props_lab/crystalbulk.mdl'.
[04:49:17]	James Albright has spawned 'models/props_lab/cornerunit2.mdl'.
[04:49:23]	James Albright has spawned 'models/props_lab/cornerunit.mdl'.
[04:49:30]	James Albright has spawned 'models/props_lab/labturret.mdl'.
