[05:57:32]	Pang has connected.
[06:02:58]	Pang (STEAM_0:1:534723608) has disconnected.
[10:46:50]	ieloooow' lov.s <3 _ sb has connected.
[10:58:48]	ieloooow' lov.s <3 _ sb (STEAM_0:1:29934046) has disconnected.
[16:10:35]	matt saton has connected.
[16:21:02]	matt saton (STEAM_0:1:53097688) has disconnected.
[21:04:50]	Tundra has connected.
[21:05:17]	Tundra loaded the character 'Aletta Brandy'
[21:05:32]	Aletta Brandy used command '/BecomeClass 13'.
[21:05:38]	Aletta Brandy used command '/BecomeClass 4'.
[21:05:43]	Aletta Brandy used command '/BecomeClass 13'.
[21:05:46]	Aletta Brandy used command '/BecomeClass 4'.
[21:05:51]	Aletta Brandy used command '/BecomeClass 13'.
[21:05:54]	Aletta Brandy used command '/BecomeClass 4'.
[21:06:18]	Aletta Brandy opened the '' #1877 container.
[21:06:19]	Aletta Brandy closed the '' #1877 container.
[21:08:09]	Aletta Brandy ran 'take' on item 'Pickaxe' (#21119)
[21:08:09]	Aletta Brandy has gained a 'Pickaxe' #21119.
[21:08:11]	Aletta Brandy ran 'Equip' on item 'Pickaxe' (#21119)
[21:08:12]	Aletta Brandy used the 'Street Market' vendor.
[21:09:13]	Aletta Brandy used the 'Shady Salesman' vendor.
[21:09:38]	Aletta Brandy has taken 10 damage from npc_zombine.
[21:09:39]	Aletta Brandy has taken 10 damage from npc_zombine.
[21:09:41]	Aletta Brandy has taken 10 damage from npc_zombine.
[21:09:43]	Aletta Brandy has taken 10 damage from npc_zombine.
[21:09:46]	Aletta Brandy has taken 172 damage from npc_zombine.
[21:09:46]	npc_zombine has killed Aletta Brandy.
[21:10:06]	Aletta Brandy ran 'Equip' on item 'Pickaxe' (#21119)
[21:11:14]	Aletta Brandy has taken 5 damage from npc_headcrab.
[21:11:19]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[21:11:19]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[21:11:22]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[21:11:25]	Aletta Brandy has gained 10 tokens.
[21:11:37]	Aletta Brandy ran 'take' on item 'A Bar of Soap' (#21185)
[21:11:37]	Aletta Brandy has gained a 'A Bar of Soap' #21185.
[21:12:00]	Aletta Brandy has taken 5 damage from npc_fastzombie.
[21:12:06]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[21:12:09]	Aletta Brandy has gained 20 tokens.
[21:12:15]	Aletta Brandy has taken 10 damage from npc_poisonzombie.
[21:12:55]	Aletta Brandy has gained 20 tokens.
[21:13:06]	Aletta Brandy has taken 10 damage from npc_zombine.
[21:13:28]	Aletta Brandy has taken 5 damage from npc_headcrab.
[21:13:39]	Aletta Brandy has taken 5 damage from npc_headcrab.
[21:13:48]	Aletta Brandy has taken 5 damage from npc_headcrab_fast.
[21:13:50]	Aletta Brandy has taken 5 damage from npc_headcrab_fast.
[21:14:00]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[21:14:06]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[21:14:23]	Aletta Brandy has gained 20 tokens.
[21:14:50]	Aletta Brandy has taken 5 damage from npc_headcrab.
[21:14:53]	Aletta Brandy ran 'take' on item 'Empty Paint Can' (#21186)
[21:14:53]	Aletta Brandy has gained a 'Empty Paint Can' #21186.
[21:15:09]	Aletta Brandy ran 'take' on item 'Fingerless Gloves' (#21187)
[21:15:09]	Aletta Brandy has gained a 'Fingerless Gloves' #21187.
[21:17:21]	Aletta Brandy has taken 5 damage from npc_headcrab_poison.
[21:17:21]	Aletta Brandy has taken 7 damage from npc_headcrab_poison.
[21:18:35]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[21:18:35]	npc_zombie_torso has killed Aletta Brandy.
[21:18:47]	Aletta Brandy ran 'Equip' on item 'Pickaxe' (#21119)
[21:19:18]	Aletta Brandy ran 'drop' on item 'A Bar of Soap' (#21185)
[21:19:18]	Aletta Brandy has lost a 'A Bar of Soap' #21185.
[21:19:22]	Aletta Brandy ran 'drop' on item 'Fingerless Gloves' (#21187)
[21:19:22]	Aletta Brandy has lost a 'Fingerless Gloves' #21187.
[21:19:28]	Aletta Brandy ran 'drop' on item 'Empty Paint Can' (#21186)
[21:19:28]	Aletta Brandy has lost a 'Empty Paint Can' #21186.
[21:19:37]	Aletta Brandy ran 'take' on item 'Empty Paint Can' (#21186)
[21:19:37]	Aletta Brandy has gained a 'Empty Paint Can' #21186.
[21:19:40]	Aletta Brandy ran 'take' on item 'Padlock' (#12916)
[21:19:40]	Aletta Brandy has gained a 'Padlock' #12916.
[21:19:43]	Aletta Brandy ran 'drop' on item 'Padlock' (#12916)
[21:19:43]	Aletta Brandy has lost a 'Padlock' #12916.
[21:19:52]	Aletta Brandy ran 'drop' on item 'Empty Paint Can' (#21186)
[21:19:52]	Aletta Brandy has lost a 'Empty Paint Can' #21186.
[21:22:43]	Aletta Brandy has taken 10 damage from npc_zombie.
[21:22:46]	Aletta Brandy ran 'take' on item 'Wires' (#21188)
[21:22:46]	Aletta Brandy has gained a 'Wires' #21188.
[21:23:02]	Aletta Brandy has taken 110 damage from Aletta Brandy.
[21:23:02]	Aletta Brandy has killed Aletta Brandy.
[21:23:51]	Aletta Brandy ran 'take' on item 'Empty Paint Can' (#21186)
[21:23:51]	Aletta Brandy has gained a 'Empty Paint Can' #21186.
[21:23:58]	Aletta Brandy ran 'drop' on item 'Wires' (#21188)
[21:23:58]	Aletta Brandy has lost a 'Wires' #21188.
[21:24:06]	Aletta Brandy ran 'drop' on item 'Empty Paint Can' (#21186)
[21:24:06]	Aletta Brandy has lost a 'Empty Paint Can' #21186.
[21:24:30]	Aletta Brandy ran 'drop' on item 'Pickaxe' (#21119)
[21:24:30]	Aletta Brandy has lost a 'Pickaxe' #21119.
[21:24:37]	Aletta Brandy ran 'take' on item 'Pickaxe' (#21119)
[21:24:37]	Aletta Brandy has gained a 'Pickaxe' #21119.
[21:24:39]	Aletta Brandy ran 'take' on item 'Wires' (#21152)
[21:24:39]	Aletta Brandy has gained a 'Wires' #21152.
[21:24:43]	Aletta Brandy ran 'drop' on item 'Wires' (#21152)
[21:24:43]	Aletta Brandy has lost a 'Wires' #21152.
[21:24:53]	Aletta Brandy ran 'drop' on item 'Pickaxe' (#21119)
[21:24:53]	Aletta Brandy has lost a 'Pickaxe' #21119.
[21:25:54]	Tundra (STEAM_0:1:526457179) has disconnected.
