[12:27:58]	matt saton has connected.
[12:29:03]	matt saton (STEAM_0:1:53097688) has disconnected.
[12:52:42]	Dilly_ has connected.
[12:54:57]	Dilly_ loaded the character 'Crimson'
[12:55:22]	Crimson opened the '' #1141 container.
[12:55:24]	Crimson closed the '' #1141 container.
[12:55:25]	Crimson opened the '' #971 container.
[12:55:33]	Crimson closed the '' #971 container.
[12:56:10]	Crimson opened the '' #2032 container.
[12:56:11]	Crimson closed the '' #2032 container.
[12:56:36]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[12:57:44]	CCA.C08-UNION.i1.93347 ran 'EquipUn' on item 'SPAS-12' (#14391)
[12:57:46]	CCA.C08-UNION.i1.93347 ran 'EquipUn' on item 'USP Match' (#206)
[12:57:57]	Dilly_ (STEAM_0:0:52468151) has disconnected.
