[09:21:55]	Dilly_ has connected.
[09:23:05]	Dilly_ loaded the character 'Jim Stinson'
[09:23:14]	Dilly_ loaded the character 'Douglas Hudson'
[09:23:23]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[09:23:24]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[09:23:32]	Douglas Hudson has taken 10 damage from npc_zombie.
[09:23:32]	npc_zombie has killed Douglas Hudson.
[09:23:40]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[09:24:51]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[09:24:52]	Douglas Hudson ran 'Equip' on item 'Wrench' (#35464)
[09:25:30]	Douglas Hudson ran 'EquipUn' on item 'Wrench' (#35464)
[09:25:31]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[09:26:02]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:26:02]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:26:04]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:26:36]	Douglas Hudson has taken 10 damage from npc_zombie.
[09:26:43]	Douglas Hudson ran 'take' on item 'Blue Pre-War Shirt' (#36168)
[09:26:43]	Douglas Hudson has gained a 'Blue Pre-War Shirt' #36168.
[09:26:47]	Douglas Hudson ran 'EquipUn' on item 'Green Shirt' (#35472)
[09:26:53]	Douglas Hudson ran 'Equip' on item 'Blue Pre-War Shirt' (#36168)
[09:27:02]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:27:02]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:27:04]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:27:05]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:27:05]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:27:07]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[09:27:10]	Douglas Hudson has gained 20 tokens.
[09:27:22]	Douglas Hudson ran 'take' on item 'Powercord' (#36169)
[09:27:22]	Douglas Hudson has gained a 'Powercord' #36169.
[09:27:30]	Douglas Hudson has taken 5 damage from npc_headcrab.
[09:27:47]	Douglas Hudson ran 'take' on item 'Wires' (#36170)
[09:27:47]	Douglas Hudson has gained a 'Wires' #36170.
[09:28:11]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[15:55:56]	matt saton has connected.
[15:58:42]	matt saton loaded the character 'CCA.C17-GRID.i3.69192'
[15:58:47]	CCA.C17-GRID.i3.69192 entered observer.
[15:58:54]	CCA.C17-GRID.i3.69192 exited observer at their location.
