[07:04:33]	Namara has connected.
[07:05:36]	Namara loaded the character 'Arson Redding'
[07:08:27]	Arson Redding has taken 5 damage from Arson Redding.
[07:08:27]	Arson Redding has gained 10 tokens.
[07:09:21]	Arson Redding used the 'General Store Vendor' vendor.
[07:10:57]	Arson Redding has lost 4 tokens.
[07:10:57]	Arson Redding has gained a 'Pan' #36252.
[07:11:02]	Arson Redding ran 'Equip' on item 'Pan' (#36252)
[07:11:25]	Arson Redding ran 'EquipUn' on item 'Pan' (#36252)
[07:11:27]	Arson Redding used the 'General Store Vendor' vendor.
[07:14:35]	eggman has connected.
[07:16:37]	eggman created the character 'Eugene Hill'
[07:16:37]	Eugene Hill has gained a 'Suitcase' #36253.
[07:16:37]	Eugene Hill has gained a 'Relocation Coupon' #36254.
[07:16:37]	eggman loaded the character 'Eugene Hill'
[07:16:51]	Eugene Hill used command '/Content'.
[07:18:38]	Eugene Hill used command '/CharFallOver 0.1'.
[07:18:44]	Eugene Hill used command '/CharFallOver 0.1'.
[07:19:11]	Eugene Hill used the 'Paper Stash' vendor.
[07:20:17]	Eugene Hill opened the '' #2403 container.
[07:20:17]	Eugene Hill closed the '' #2403 container.
[07:20:18]	Eugene Hill opened the '' #2403 container.
[07:20:20]	Eugene Hill closed the '' #2403 container.
[07:20:20]	Eugene Hill used the 'General Store Vendor' vendor.
[07:20:52]	[OOC] Arson Redding: Hello ?
[07:20:55]	[OOC] Eugene Hill: hello
[07:21:05]	[OOC] Arson Redding: Sorry , I've been afk lol
[07:21:09]	[OOC] Eugene Hill: its okay
[07:21:19]	[OOC] Eugene Hill: i need to get the content anyways
[07:21:29]	eggman (STEAM_0:1:62846785) has disconnected.
[07:23:09]	Arson Redding opened the '' #2403 container.
[07:23:12]	Arson Redding closed the '' #2403 container.
[07:23:13]	Arson Redding used the 'General Store Vendor' vendor.
[07:26:24]	eggman has connected.
[07:27:09]	eggman loaded the character 'Eugene Hill'
[07:27:18]	[OOC] Eugene Hill: hey 
[07:27:23]	[OOC] Arson Redding: Hiya
[07:27:30]	Eugene Hill used the 'General Store Vendor' vendor.
[07:27:36]	Eugene Hill has lost 17 tokens.
[07:27:36]	Eugene Hill has gained a 'Gray and Brown Coat and Sweater' #36255.
[07:27:40]	Eugene Hill has lost 5 tokens.
[07:27:40]	Eugene Hill has gained a 'Green Beanie' #36256.
[07:27:43]	Eugene Hill has lost 10 tokens.
[07:27:43]	Eugene Hill has gained a 'Flashlight' #36257.
[07:27:47]	Eugene Hill has lost 1 token.
[07:27:47]	Eugene Hill has gained a 'Chainlet' #36258.
[07:27:54]	Eugene Hill ran 'Equip' on item 'Gray and Brown Coat and Sweater' (#36255)
[07:27:56]	Eugene Hill ran 'Equip' on item 'Green Beanie' (#36256)
[07:30:41]	Eugene Hill ran 'take' on item 'Suitcase' (#36117)
[07:30:41]	Eugene Hill has gained a 'Suitcase' #36117.
[07:30:41]	Eugene Hill has gained a 'Teal and Black Coat' #36131.
[07:30:41]	Eugene Hill has gained a 'Fingerless Gloves' #35635.
[07:30:41]	Eugene Hill has gained a 'Sweatpants' #36132.
[07:30:41]	Eugene Hill has gained a 'Blue Beanie' #35475.
[07:32:30]	Eugene Hill used command '/Discord'.
[07:34:22]	Eugene Hill ran 'take' on item 'Battered Scrap' (#30889)
[07:34:22]	Eugene Hill has gained a 'Battered Scrap' #30889.
[07:35:15]	Eugene Hill used command '/CharFallOver 0.1'.
[07:35:22]	Eugene Hill used command '/CharFallOver 0.1'.
[07:35:28]	Eugene Hill used command '/CharFallOver 0.1'.
[07:35:33]	Eugene Hill used command '/CharFallOver 0.1'.
[07:35:39]	Eugene Hill used command '/CharFallOver 0.1'.
[07:35:45]	Eugene Hill used command '/CharFallOver 0.1'.
[07:35:54]	[OOC] Arson Redding: Are you walking into a field ?
[07:36:04]	[OOC] Eugene Hill: I tried to
[07:36:36]	[OOC] Arson Redding: Careful , I could hear it like it was next to me
[07:36:44]	[OOC] Eugene Hill: maybe it was
[07:37:11]	[OOC] Eugene Hill: did you hear that?
[07:37:30]	[OOC] Arson Redding: I did
[07:37:46]	[OOC] Eugene Hill: its weird how yuo can hear it but i cant hear it at all
[07:38:05]	[OOC] Eugene Hill: but i do have sound overhaul addons so thats probably why..
[07:38:38]	[OOC] Arson Redding: Also , I know how to get to the sewers , but they're locked off now and nothing to brag about
[07:38:55]	[OOC] Eugene Hill: congrats
[07:39:05]	[OOC] Eugene Hill: how long have you been playing hl2rp
[07:39:12]	[OOC] Arson Redding: This server or overall ?
[07:39:16]	[OOC] Eugene Hill: just in general
[07:39:49]	[OOC] Arson Redding: A little while
[07:39:59]	Arson Redding ran 'Equip' on item 'Brown Beanie' (#36183)
[07:40:04]	[OOC] Eugene Hill: i could run this map without my eyes
[07:40:05]	Arson Redding ran 'EquipUn' on item 'Brown Beanie' (#36183)
[07:40:13]	[OOC] Eugene Hill: its embeded forever into my memory
[07:40:29]	[OOC] Eugene Hill: one day when im 58, ill know the exact layout of this map unless i get dementia by that point
[07:40:34]	[OOC] Eugene Hill: its a curse
[07:40:38]	[OOC] Arson Redding: Lol
[07:40:38]	[OOC] Eugene Hill: dont play hl2rp
[07:40:42]	[LOOC] Eugene Hill: get out while you can
[07:40:52]	[OOC] Arson Redding: I just like HL lore
[07:41:17]	[OOC] Eugene Hill: every single person came into hl2rp with that idea
[07:41:23]	[OOC] Eugene Hill: but they left mentally different
[07:41:33]	[OOC] Eugene Hill: completely bonkers and unrelated to hl2rp and the game itself
[07:41:39]	[OOC] Arson Redding: Dawg I'm already broken , ain't no RP server gonna make me worse
[07:41:46]	[OOC] Eugene Hill: i feel u g
[07:42:15]	[OOC] Eugene Hill: shit gets tuff in life but u gotta grind ur teeth and get through it 
[07:42:40]	[OOC] Arson Redding: I'm in Pennsylvania , it's awful here
[07:43:10]	[OOC] Arson Redding: Mhm
[07:43:19]	[LOOC] Eugene Hill: I know a way into the sewer
[07:43:21]	[OOC] Arson Redding: Atleast you ain't in AMerica
[07:43:25]	[LOOC] Eugene Hill: Cmon
[07:43:53]	[LOOC] Arson Redding: Okey
[07:44:35]	Eugene Hill has taken 10 damage from prop_physics.
[07:45:11]	Arson Redding has taken 10 damage from prop_physics.
[07:46:06]	Eugene Hill used command '/CharFallOver 0.1'.
[07:46:19]	Eugene Hill used command '/CharFallOver 0.1'.
[07:47:14]	Arson Redding used command '/PM eugene Only one left up there I think'.
[07:47:43]	Arson Redding used command '/PM eugene I'll wait here'.
[07:48:39]	Eugene Hill ran 'drop' on item 'Suitcase' (#36117)
[07:48:39]	Eugene Hill has lost a 'Suitcase' #36117.
[07:48:39]	Eugene Hill has lost a 'Teal and Black Coat' #36131.
[07:48:39]	Eugene Hill has lost a 'Fingerless Gloves' #35635.
[07:48:39]	Eugene Hill has lost a 'Sweatpants' #36132.
[07:48:39]	Eugene Hill has lost a 'Blue Beanie' #35475.
[07:49:27]	Arson Redding has taken 5 damage from prop_ignored_by_npc_nav.
[07:50:57]	Arson Redding ran 'Equip' on item 'Pan' (#36252)
[07:51:03]	Arson Redding ran 'EquipUn' on item 'Pan' (#36252)
[07:52:05]	Arson Redding used command '/PM eugene Found the sewer'.
[07:52:14]	Eugene Hill has taken 3 damage from npc_fastzombie.
[07:52:14]	Eugene Hill has taken 3 damage from npc_fastzombie.
[07:52:29]	Arson Redding ran 'Equip' on item 'Pan' (#36252)
[07:52:35]	Eugene Hill used command '/PM arson theres a LOT of zombies'.
[07:52:36]	Arson Redding has taken 10 damage from npc_zombie_torso.
[07:52:41]	Arson Redding has taken 10 damage from npc_zombie_torso.
[07:52:43]	Arson Redding has taken 10 damage from npc_zombie_torso.
[07:53:08]	Arson Redding ran 'take' on item 'Blue Pre-War Shirt' (#36186)
[07:53:08]	Arson Redding has gained a 'Blue Pre-War Shirt' #36186.
[07:53:28]	Arson Redding used command '/PM eugene I'm in the sewers'.
[07:53:35]	Eugene Hill has taken 3 damage from npc_fastzombie.
[07:53:36]	Eugene Hill has taken 3 damage from npc_fastzombie.
[07:53:36]	Eugene Hill has taken 3 damage from npc_fastzombie.
[07:54:03]	Arson Redding ran 'take' on item 'Cloth Scrap' (#36259)
[07:54:03]	Arson Redding has gained a 'Cloth Scrap' #36259.
[07:54:26]	Arson Redding used command '/PM eugene Didya die ?'.
[07:54:33]	Eugene Hill used command '/PM eugene nope but theres a bunch of em'.
[07:54:46]	Eugene Hill has taken 7 damage from monster_hound_eye.
[07:54:56]	Eugene Hill has taken 5 damage from npc_fastzombie.
[07:55:12]	Arson Redding ran 'take' on item 'AA Battery' (#36260)
[07:55:12]	Arson Redding has gained a 'AA Battery' #36260.
[07:55:20]	Arson Redding has taken 3 damage from npc_fastzombie.
[07:55:20]	Arson Redding has taken 3 damage from npc_fastzombie.
[07:56:04]	Arson Redding used command '/PM eugene I'm being tailed by fasts , hiding in a room'.
[07:56:20]	Arson Redding used command '/PM eugene ... full of houndeyes'.
[07:56:32]	Eugene Hill ran 'take' on item 'Combine Air Tank' (#34052)
[07:56:32]	Eugene Hill has gained a 'Combine Air Tank' #34052.
[07:56:34]	Eugene Hill ran 'take' on item 'Combine Air Tank' (#34038)
[07:56:34]	Eugene Hill has gained a 'Combine Air Tank' #34038.
[07:56:36]	Eugene Hill ran 'take' on item 'Combine Air Tank' (#33465)
[07:56:36]	Eugene Hill has gained a 'Combine Air Tank' #33465.
[07:56:37]	Eugene Hill ran 'take' on item 'Zip Tie' (#30874)
[07:56:37]	Eugene Hill has gained a 'Zip Tie' #30874.
[07:56:38]	Eugene Hill ran 'take' on item 'Zip Tie' (#31435)
[07:56:38]	Eugene Hill has gained a 'Zip Tie' #31435.
[07:56:39]	Eugene Hill ran 'take' on item 'Zip Tie' (#30873)
[07:56:39]	Eugene Hill has gained a 'Zip Tie' #30873.
[07:56:40]	Eugene Hill ran 'take' on item 'Combine Air Tank' (#34037)
[07:56:40]	Eugene Hill has gained a 'Combine Air Tank' #34037.
[07:56:41]	Eugene Hill ran 'Use' on item 'Zip Tie' (#31434)
[07:56:42]	Eugene Hill ran 'take' on item 'Zip Tie' (#31434)
[07:56:42]	Eugene Hill has gained a 'Zip Tie' #31434.
[07:56:45]	Eugene Hill ran 'take' on item 'Suitcase' (#33940)
[07:56:53]	Eugene Hill ran 'take' on item 'Suitcase' (#33940)
[07:56:53]	Eugene Hill has gained a 'Suitcase' #33940.
[07:56:53]	Eugene Hill has gained a 'Combine Hazmat Worker Suit' #33400.
[07:56:53]	Eugene Hill has gained a 'Handcannon Packing' #35524.
[07:56:53]	Eugene Hill has gained a 'Combat Knife' #22008.
[07:56:54]	Arson Redding used command '/PM eugene Where are you ?'.
[07:57:00]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#35462)
[07:57:00]	Eugene Hill has gained a 'Raw Headcrab Meat' #35462.
