[18:00:33]	ATP Engineer has connected.
[18:03:01]	ATP Engineer created the character 'Karinsa Buckingham'
[18:03:01]	Karinsa Buckingham has gained a 'Suitcase' #21237.
[18:03:01]	Karinsa Buckingham has gained a 'Relocation Coupon' #21238.
[18:03:01]	Karinsa Buckingham has gained a 'Green Citizen Suit' #21239.
[18:03:01]	Karinsa Buckingham has gained a 'Citizen Filter' #21240.
[18:03:01]	ATP Engineer loaded the character 'Karinsa Buckingham'
[18:03:19]	Karinsa Buckingham ran 'Equip' on item 'Green Citizen Suit' (#21239)
[18:03:21]	Karinsa Buckingham ran 'equip' on item 'Citizen Filter' (#21240)
[18:04:00]	Karinsa Buckingham used command '/Discord'.
[18:06:56]	Karinsa Buckingham has taken 5 damage from Karinsa Buckingham.
[18:06:56]	Karinsa Buckingham has killed Karinsa Buckingham.
[18:06:56]	Karinsa Buckingham has gained 10 tokens.
[18:07:55]	[Y] Karinsa Buckingham: LET ME I.
[18:07:59]	[Y] Karinsa Buckingham: LET ME IN.
[18:08:11]	[W] Karinsa Buckingham: Fucking bullshit.
[18:08:24]	Karinsa Buckingham used command '/BecomeClass cwu'.
[18:09:36]	ATP Engineer (STEAM_0:1:619674003) has disconnected.
[18:25:47]	Hoxton has connected.
[18:26:19]	Hoxton (STEAM_0:0:53902249) has disconnected.
[18:36:36]	ieloooow' lov.s <3 _ sb has connected.
[18:51:24]	ieloooow' lov.s <3 _ sb (STEAM_0:1:29934046) has disconnected.
[19:23:30]	RAXEL has connected.
[19:26:12]	RAXEL (STEAM_0:1:632182218) has disconnected.
[19:28:38]	RAXEL has connected.
[19:30:44]	RAXEL loaded the character 'JVJFH'
[19:36:40]	RAXEL (STEAM_0:1:632182218) has disconnected.
