[15:10:55]	AtlasGuns88 has connected.
[15:17:32]	AtlasGuns88 loaded the character 'George Renner'
[15:17:52]	AtlasGuns88 (STEAM_0:0:155606903) has disconnected.
[19:28:38]	Engineer Gaming has connected.
[19:29:26]	Engineer Gaming loaded the character 'Guh!?!?!'
[19:29:48]	Guh!?!?! has taken 250 damage from trigger_hurt.
[19:29:48]	trigger_hurt has killed Guh!?!?!.
[19:30:03]	Engineer Gaming (STEAM_0:1:195313943) deleted character 'Guh!?!?!'
[19:30:06]	Engineer Gaming (STEAM_0:1:195313943) deleted character 'Gulguga'
[19:30:53]	Engineer Gaming created the character 'Thehhyue'
[19:30:53]	Thehhyue has gained a 'Suitcase' #21244.
[19:30:53]	Thehhyue has gained a 'Relocation Coupon' #21245.
[19:30:53]	Thehhyue has gained a 'Cyclopic Citizen Suit' #21246.
[19:30:53]	Thehhyue has gained a 'Citizen Filter' #21247.
[19:30:53]	Engineer Gaming loaded the character 'Thehhyue'
[19:31:28]	Thehhyue has taken 5 damage from Thehhyue.
[19:31:28]	Thehhyue has killed Thehhyue.
[19:31:28]	Thehhyue has gained 10 tokens.
[19:31:57]	Thehhyue ran 'Equip' on item 'Cyclopic Citizen Suit' (#21246)
[19:32:07]	Thehhyue ran 'equip' on item 'Citizen Filter' (#21247)
[19:32:21]	Engineer Gaming (STEAM_0:1:195313943) has disconnected.
