[15:42:40]	IdiotElite has connected.
[15:45:58]	IdiotElite created the character 'Alex W.'
[15:45:58]	Alex W. has gained a 'Suitcase' #21247.
[15:45:58]	Alex W. has gained a 'Relocation Coupon' #21248.
[15:45:58]	Alex W. has gained a 'Green Citizen Suit' #21249.
[15:45:58]	Alex W. has gained a 'Citizen Filter' #21250.
[15:45:58]	IdiotElite loaded the character 'Alex W.'
[15:46:34]	Alex W. ran 'Equip' on item 'Green Citizen Suit' (#21249)
[15:46:41]	Alex W. ran 'equip' on item 'Citizen Filter' (#21250)
[15:47:49]	Alex W. used command '/Apply'.
[15:49:06]	Alex W. used command '/Content'.
[15:49:42]	IdiotElite (STEAM_0:0:610099275) has disconnected.
