[11:16:06]	LightRinger has connected.
[11:20:10]	LightRinger loaded the character 'R4-i5'
[11:20:18]	[OOC] R4-i5: oh right...
[11:25:11]	R4-i5 used command '/CharFallOver'.
[11:25:23]	LightRinger loaded the character 'Private Blunfow Trustok'
[11:26:13]	LightRinger loaded the character 'R2-k0'
[11:28:17]	R2-k0 has spawned 'models/props_c17/FurnitureBoiler001a.mdl'.
[11:38:46]	R2-k0 opened the '' #251 container.
[11:38:57]	R2-k0 has gained a 'Defender Pistol' #2530.
[11:38:59]	R2-k0 has gained a 'E-11D Blaster' #2564.
[11:39:05]	R2-k0 has gained a 'DH-17a Blaster' #2414.
[11:39:09]	R2-k0 has gained a 'Identichip' #2580.
[11:39:09]	R2-k0 ran 'Equip' on item 'E-11D Blaster' (#2564)
[11:39:12]	R2-k0 closed the '' #251 container.
[11:40:05]	R2-k0 ran 'Equip' on item 'DH-17a Blaster' (#2414)
[11:40:16]	R2-k0 ran 'EquipUn' on item 'DH-17a Blaster' (#2414)
[11:40:17]	R2-k0 ran 'Equip' on item 'Defender Pistol' (#2530)
[11:40:45]	R2-k0 ran 'drop' on item 'E-11D Blaster' (#2564)
[11:40:45]	R2-k0 has lost a 'E-11D Blaster' #2564.
[11:40:46]	R2-k0 ran 'drop' on item 'Defender Pistol' (#2530)
[11:40:46]	R2-k0 has lost a 'Defender Pistol' #2530.
[11:40:47]	R2-k0 ran 'drop' on item 'DH-17a Blaster' (#2414)
[11:40:47]	R2-k0 has lost a 'DH-17a Blaster' #2414.
[11:40:50]	R2-k0 ran 'drop' on item 'Identichip' (#2580)
[11:40:50]	R2-k0 has lost a 'Identichip' #2580.
[11:45:05]	R2-k0 used command '/CharFallOver'.
[11:45:06]	R2-k0 used command '/CharGetUp'.
[11:45:09]	R2-k0 used command '/CharGetUp'.
[11:45:10]	R2-k0 used command '/CharGetUp'.
[11:45:33]	R2-k0 has taken 10 damage from kingpommes_lfs_tie_fighter.
[11:45:44]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:48]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:49]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:52]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:54]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:55]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:57]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:45:59]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:00]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:01]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:02]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:03]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:04]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:05]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:08]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:09]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:10]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:12]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:46:13]	R2-k0 has spawned 'models/props_c17/gravestone_statue001a.mdl'.
[11:48:29]	R2-k0 has taken 66 damage from worldspawn.
[11:51:58]	R2-k0 has taken 1 damage from door44.
[11:52:51]	R2-k0 has spawned 'models/props_c17/GasPipes006a.mdl'.
[11:52:52]	R2-k0 has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[11:52:58]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:12]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:22]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:33]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:40]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:41]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:43]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:44]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:45]	R2-k0 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[11:53:51]	R2-k0 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:53:54]	R2-k0 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:53:56]	R2-k0 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:53:58]	R2-k0 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:58:08]	R2-k0 has taken 78 damage from worldspawn.
[11:58:08]	worldspawn has killed R2-k0.
[11:58:57]	R2-k0 has taken 79 damage from console_explo.
[11:58:59]	R2-k0 has taken 80 damage from console_explo.
[11:58:59]	console_explo has killed R2-k0.
[11:59:30]	R2-k0 has taken 90 damage from console_explo.
[11:59:33]	R2-k0 has taken 90 damage from console_explo.
[11:59:33]	console_explo has killed R2-k0.
[11:59:56]	R2-k0 has taken 90 damage from console_explo.
[12:00:04]	R2-k0 has taken 89 damage from console_explo.
[12:00:04]	console_explo has killed R2-k0.
[12:01:44]	R2-k0 ran 'take' on item 'Identichip' (#2580)
[12:01:44]	R2-k0 has gained a 'Identichip' #2580.
[12:10:51]	R2-k0 used the 'Supply Locker' vendor.
[12:10:55]	R2-k0 has gained 0 credits.
[12:10:55]	R2-k0 has gained a 'E-11 Blaster' #2713.
[12:10:56]	R2-k0 has gained 0 credits.
[12:10:56]	R2-k0 has gained a 'E-10 Blaster' #2714.
[12:10:59]	R2-k0 has gained 0 credits.
[12:10:59]	R2-k0 has gained a 'EC-17 Blaster' #2715.
[12:11:01]	R2-k0 has gained 0 credits.
[12:11:01]	R2-k0 has gained a 'RK-3 Blaster' #2716.
[12:11:02]	R2-k0 has gained 0 credits.
[12:11:02]	R2-k0 has gained a 'RT-97C Blaster' #2717.
[12:11:20]	R2-k0 has gained 0 credits.
[12:11:20]	R2-k0 has gained a 'RK-3 Blaster' #2718.
[12:11:24]	R2-k0 ran 'Equip' on item 'RK-3 Blaster' (#2718)
[12:11:30]	R2-k0 used the 'Supply Locker' vendor.
[12:11:32]	R2-k0 has gained 0 credits.
[12:11:32]	R2-k0 has gained a 'Tibanna Cartridge' #2719.
[12:11:32]	R2-k0 has gained 0 credits.
[12:11:32]	R2-k0 has gained a 'Tibanna Cartridge' #2720.
[12:11:33]	R2-k0 has gained 0 credits.
[12:11:33]	R2-k0 has gained a 'Tibanna Cartridge' #2721.
[12:11:33]	R2-k0 has gained 0 credits.
[12:11:33]	R2-k0 has gained a 'Tibanna Cartridge' #2722.
[12:11:35]	R2-k0 has gained 0 credits.
[12:11:35]	R2-k0 has gained a 'Comlink' #2723.
[12:11:37]	R2-k0 has gained 0 credits.
[12:11:37]	R2-k0 has gained a 'Flashlight' #2724.
[12:11:42]	R2-k0 ran 'use' on item 'Tibanna Cartridge' (#2722)
[12:11:42]	R2-k0 ran 'use' on item 'Tibanna Cartridge' (#2721)
[12:11:44]	R2-k0 ran 'use' on item 'Tibanna Cartridge' (#2719)
[12:11:44]	R2-k0 ran 'use' on item 'Tibanna Cartridge' (#2720)
[12:11:57]	R2-k0 ran 'EquipUn' on item 'RK-3 Blaster' (#2718)
[12:11:58]	R2-k0 ran 'Equip' on item 'RT-97C Blaster' (#2717)
[12:12:12]	R2-k0 ran 'EquipUn' on item 'RT-97C Blaster' (#2717)
[12:12:13]	R2-k0 ran 'Equip' on item 'RK-3 Blaster' (#2716)
[12:12:23]	R2-k0 ran 'EquipUn' on item 'RK-3 Blaster' (#2716)
