[11:35:55]	matt saton has connected.
[11:45:22]	matt saton loaded the character 'Darth Hexus'
[11:45:51]	Darth Hexus used command '/CharSetModel hexus models/epangelmatikes/templeguard/temple_guard_opt.mdl'.
[11:46:14]	Darth Hexus used command '/ToggleRaise'.
[11:46:19]	Darth Hexus used command '/ToggleRaise'.
[11:46:52]	Darth Hexus entered observer.
[11:47:01]	Darth Hexus exited observer at their location.
[11:47:02]	Darth Hexus entered observer.
[11:47:02]	Darth Hexus exited observer at their location.
[11:48:31]	Darth Hexus has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[11:49:15]	Darth Hexus has spawned 'models/kingpommes/starwars/misc/palp_panel1.mdl'.
[11:49:18]	Darth Hexus has spawned 'models/kingpommes/starwars/misc/palp_lamp.mdl'.
[11:49:24]	Darth Hexus has spawned 'models/kingpommes/starwars/deathstar/wallpanel11.mdl'.
[11:49:27]	Darth Hexus has spawned 'models/kingpommes/starwars/deathstar/powercell2b.mdl'.
[11:49:32]	Darth Hexus has spawned 'models/kingpommes/starwars/misc/droids/head_r4.mdl'.
[11:49:46]	Darth Hexus has spawned 'models/kingpommes/starwars/misc/droids/wed_15.mdl'.
[11:49:50]	Darth Hexus has spawned 'models/kingpommes/starwars/playermodels/wed.mdl'.
[11:49:58]	Darth Hexus has spawned 'models/kingpommes/starwars/misc/droids/leg_side.mdl'.
[11:50:13]	Darth Hexus has spawned 'models/kingpommes/starwars/misc/droids/head_r2.mdl'.
[11:51:40]	Darth Hexus has gained a 'Fusion Cutter' #2731.
[11:51:40]	Darth Hexus used command '/CreateCustomItem Fusion Cutter models/props/starwars/weapons/fusion_cutter.mdl A handheld object, meant for welding and cutting things using extremely high temperatures.'.
[11:51:44]	Darth Hexus ran 'drop' on item 'Fusion Cutter' (#2731)
[11:51:44]	Darth Hexus has lost a 'Fusion Cutter' #2731.
[11:52:49]	Darth Hexus has spawned 'models/props/starwars/furniture/dejarik_mantellian.mdl'.
[11:52:51]	Darth Hexus entered observer.
[11:52:54]	Darth Hexus exited observer at their location.
[11:53:04]	Darth Hexus has spawned 'models/props/starwars/weapons/detpack.mdl'.
