[11:54:16]	DRD has connected.
[11:55:05]	DRD loaded the character 'Master Chief Petty Officer Semryle Mattmus'
[11:55:07]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:56:49]	Master Chief Petty Officer Semryle Mattmus exited observer.
[11:56:49]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:56:50]	Master Chief Petty Officer Semryle Mattmus exited observer.
[11:56:50]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:56:51]	Master Chief Petty Officer Semryle Mattmus exited observer.
[11:56:52]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:56:53]	Master Chief Petty Officer Semryle Mattmus exited observer.
[11:56:54]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:57:21]	Master Chief Petty Officer Semryle Mattmus exited observer at their location.
[11:57:23]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:57:48]	Master Chief Petty Officer Semryle Mattmus exited observer at their location.
[11:57:48]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:57:49]	Master Chief Petty Officer Semryle Mattmus exited observer at their location.
[11:57:50]	Master Chief Petty Officer Semryle Mattmus entered observer.
[11:58:35]	DRD loaded the character 'Unknown'
[11:58:36]	Unknown entered observer.
[11:59:24]	Ikso Veak used command '/CharSetName UNKNOWN Ikso Veak'.
[11:59:28]	Ikso Veak exited observer at their location.
[11:59:29]	Ikso Veak entered observer.
[11:59:59]	Ikso Veak exited observer at their location.
[12:00:00]	Ikso Veak entered observer.
[12:00:04]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_gauntlet]'.
[12:00:09]	Ikso Veak exited observer at their location.
[12:00:10]	Ikso Veak entered observer.
[12:00:13]	Ikso Veak exited observer at their location.
[12:00:14]	Ikso Veak entered observer.
[12:00:15]	Ikso Veak exited observer at their location.
[12:01:27]	Ikso Veak entered observer.
[12:01:28]	Ikso Veak exited observer at their location.
[12:01:32]	Ikso Veak entered observer.
[12:01:54]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_combineheli]'.
[12:01:58]	Ikso Veak has spawned a 'Entity [1072][lfs_ywing]'.
[12:02:00]	Ikso Veak exited observer at their location.
[12:02:25]	Ikso Veak entered observer.
[12:02:38]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_bf109]'.
[12:02:39]	Ikso Veak exited observer at their location.
[12:02:40]	Ikso Veak entered observer.
[12:02:43]	Ikso Veak exited observer at their location.
[12:03:17]	Ikso Veak entered observer.
[12:03:29]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_repcorvette1]'.
[12:03:41]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_alligator]'.
[12:03:48]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_lambda]'.
[12:03:50]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_advdroid]'.
[12:03:52]	Ikso Veak has spawned a 'Entity [1074][lunasflightschool_awing]'.
[12:03:53]	Ikso Veak exited observer at their location.
[12:03:57]	Ikso Veak has taken 100 damage from worldspawn.
[12:03:57]	worldspawn has killed Ikso Veak.
[12:04:10]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_z95]'.
[12:04:15]	Ikso Veak has spawned a 'Entity [1072][lunasflightschool_z95]'.
[12:04:15]	Ikso Veak has taken 50 damage from lunasflightschool_z95.
[12:04:15]	Ikso Veak has taken 200 damage from worldspawn.
[12:04:15]	worldspawn has killed Ikso Veak.
[12:04:40]	Ikso Veak entered observer.
[12:04:44]	Ikso Veak exited observer at their location.
[12:04:53]	Ikso Veak entered observer.
[12:04:54]	Ikso Veak entered observer.
[12:05:03]	Ikso Veak entered observer.
[12:05:04]	Ikso Veak entered observer.
[12:05:05]	Ikso Veak entered observer.
[12:05:06]	Ikso Veak entered observer.
[12:05:17]	Ikso Veak entered observer.
[12:05:28]	Ikso Veak entered observer.
[12:05:32]	Ikso Veak has taken 171 damage from worldspawn.
[12:05:32]	worldspawn has killed Ikso Veak.
[12:08:08]	Ikso Veak used command '/ToggleRaise'.
[12:08:36]	Ikso Veak used command '/ToggleRaise'.
[12:08:47]	Ikso Veak used command '/ToggleRaise'.
[12:08:57]	Ikso Veak has taken 7 damage from Ikso Veak.
[12:08:57]	Ikso Veak has taken 4 damage from Ikso Veak.
[12:08:57]	Ikso Veak has taken 6 damage from Ikso Veak.
[12:08:58]	Ikso Veak has taken 5 damage from Ikso Veak.
[12:08:58]	Ikso Veak has taken 7 damage from Ikso Veak.
[12:08:58]	Ikso Veak has taken 7 damage from Ikso Veak.
[12:08:58]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:08:59]	Ikso Veak has taken 4 damage from Ikso Veak.
[12:09:02]	Ikso Veak used command '/ToggleRaise'.
[12:09:19]	Ikso Veak used command '/ToggleRaise'.
[12:09:27]	Ikso Veak used command '/ToggleRaise'.
[12:09:40]	Ikso Veak entered observer.
[12:09:51]	Ikso Veak used command '/ToggleRaise'.
[12:10:04]	Ikso Veak exited observer at their location.
[12:10:10]	Ikso Veak has taken 5 damage from Ikso Veak.
[12:10:11]	Ikso Veak has taken 2 damage from Ikso Veak.
[12:10:11]	Ikso Veak has taken 4 damage from Ikso Veak.
[12:10:11]	Ikso Veak has taken 5 damage from Ikso Veak.
[12:10:12]	Ikso Veak has taken 2 damage from Ikso Veak.
[12:10:12]	Ikso Veak has taken 4 damage from Ikso Veak.
[12:10:12]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:10:13]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:10:13]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:10:13]	Ikso Veak has taken 2 damage from Ikso Veak.
[12:10:13]	Ikso Veak has taken 5 damage from Ikso Veak.
[12:10:14]	Ikso Veak has taken 5 damage from Ikso Veak.
[12:10:14]	Ikso Veak has taken 2 damage from Ikso Veak.
[12:10:14]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:10:15]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:10:15]	Ikso Veak has taken 3 damage from Ikso Veak.
[12:10:15]	Ikso Veak has taken 5 damage from Ikso Veak.
[12:10:15]	Ikso Veak has killed Ikso Veak.
[12:11:06]	Ikso Veak entered observer.
[12:11:08]	Ikso Veak exited observer at their location.
[12:11:08]	Ikso Veak entered observer.
[12:11:10]	Ikso Veak exited observer at their location.
[12:11:10]	Ikso Veak entered observer.
[12:11:12]	Ikso Veak exited observer at their location.
[12:11:12]	Ikso Veak entered observer.
[12:11:14]	Ikso Veak exited observer at their location.
[12:11:15]	Ikso Veak entered observer.
[12:11:16]	Ikso Veak exited observer at their location.
[12:11:17]	Ikso Veak entered observer.
[12:11:19]	Ikso Veak exited observer at their location.
[12:11:19]	Ikso Veak entered observer.
[12:11:21]	Ikso Veak exited observer at their location.
[12:11:22]	Ikso Veak entered observer.
[12:11:22]	Ikso Veak exited observer at their location.
[12:11:22]	Ikso Veak entered observer.
[12:11:23]	Ikso Veak exited observer at their location.
[12:11:24]	Ikso Veak entered observer.
[12:11:25]	Ikso Veak exited observer at their location.
[12:11:25]	Ikso Veak entered observer.
[12:11:26]	Ikso Veak exited observer at their location.
[12:11:26]	Ikso Veak entered observer.
[12:11:28]	Ikso Veak exited observer at their location.
[12:11:28]	Ikso Veak entered observer.
[12:11:28]	Ikso Veak exited observer at their location.
[12:11:29]	Ikso Veak entered observer.
[12:11:31]	Ikso Veak exited observer at their location.
[12:11:31]	Ikso Veak entered observer.
[12:11:33]	Ikso Veak exited observer at their location.
[12:11:33]	Ikso Veak entered observer.
[12:11:52]	Ikso Veak exited observer at their location.
[12:11:53]	Ikso Veak entered observer.
[12:11:54]	Ikso Veak exited observer at their location.
[12:11:55]	Ikso Veak entered observer.
[12:12:09]	Ikso Veak exited observer at their location.
[12:12:10]	Ikso Veak entered observer.
[12:12:11]	Ikso Veak exited observer at their location.
[12:12:11]	Ikso Veak entered observer.
[12:12:12]	Ikso Veak exited observer at their location.
[12:12:12]	Ikso Veak entered observer.
[12:12:14]	Ikso Veak exited observer at their location.
[12:12:15]	Ikso Veak entered observer.
[12:12:28]	Ikso Veak exited observer at their location.
[12:12:28]	Ikso Veak entered observer.
[12:12:28]	Ikso Veak exited observer at their location.
[12:12:29]	Ikso Veak entered observer.
[12:12:29]	Ikso Veak exited observer at their location.
[12:12:30]	Ikso Veak entered observer.
[12:12:30]	Ikso Veak exited observer at their location.
[12:12:31]	Ikso Veak entered observer.
[12:12:31]	Ikso Veak exited observer at their location.
[12:12:31]	Ikso Veak entered observer.
[12:12:32]	Ikso Veak exited observer at their location.
[12:12:32]	Ikso Veak entered observer.
[12:12:32]	Ikso Veak exited observer at their location.
[12:12:33]	Ikso Veak entered observer.
[12:12:34]	Ikso Veak exited observer at their location.
[12:12:36]	Ikso Veak has taken 108 damage from worldspawn.
[12:12:36]	worldspawn has killed Ikso Veak.
[12:12:43]	Ikso Veak entered observer.
[12:13:02]	Ikso Veak exited observer at their location.
[12:13:02]	Ikso Veak entered observer.
[12:13:03]	Ikso Veak exited observer at their location.
[12:13:03]	Ikso Veak entered observer.
[12:14:02]	Ikso Veak exited observer at their location.
[12:14:03]	Ikso Veak entered observer.
[12:14:03]	Ikso Veak exited observer at their location.
[12:14:05]	Ikso Veak entered observer.
[12:14:07]	Ikso Veak exited observer at their location.
[12:14:07]	Ikso Veak entered observer.
[12:14:08]	Ikso Veak exited observer at their location.
[12:14:08]	Ikso Veak entered observer.
[12:14:08]	Ikso Veak exited observer at their location.
[12:14:08]	Ikso Veak entered observer.
[12:14:09]	Ikso Veak exited observer at their location.
[12:14:09]	Ikso Veak entered observer.
[12:14:10]	Ikso Veak exited observer at their location.
[12:14:10]	Ikso Veak entered observer.
[12:14:10]	Ikso Veak exited observer at their location.
