[12:44:12]	Bigdaddy has connected.
[12:46:10]	Bigdaddy (STEAM_0:0:451069299) has disconnected.
[16:34:52]	Chicken has connected.
[16:35:09]	NamRm has connected.
[16:35:40]	Chicken loaded the character 'Flight Crewman Third Class Dash Rene'
[16:36:59]	NamRm loaded the character 'Sergeant LS-7979'
[16:37:09]	[OOC] Sergeant LS-7979: cock
[16:37:58]	DRD has connected.
[16:39:26]	DRD loaded the character 'R2-Z7'
[16:39:41]	R2-Z7 ran 'EquipUn' on item 'Armor Dirtifier' (#1041)
[16:39:45]	R2-Z7 ran 'Equip' on item 'Armor Dirtifier' (#1041)
[16:39:47]	R2-Z7 ran 'EquipUn' on item 'Armor Dirtifier' (#1041)
[16:41:15]	R2-Z7 ran 'Equip' on item 'Armor Dirtifier' (#1041)
[16:41:21]	R2-Z7 ran 'EquipUn' on item 'Armor Dirtifier' (#1041)
[16:41:59]	R2-Z7 has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[16:42:07]	Flight Crewman Third Class Dash Rene has taken 5 damage from R2-Z7.
[16:42:07]	Flight Crewman Third Class Dash Rene has taken 5 damage from R2-Z7.
[16:42:19]	Chicken loaded the character 'Private IN-5515'
[16:42:37]	Sergeant LS-7979 used command '/c Anyone wanna spar?'.
[16:42:42]	Chicken loaded the character 'Flight Crewman Third Class Dash Rene'
[16:43:36]	Chicken loaded the character 'Private IN-5515'
[16:45:17]	Private IN-5515 rolled 57 out of 100.
[16:45:17]	Private IN-5515 used command '/Roll'.
[16:45:18]	Sergeant LS-7979 rolled 42 out of 100.
[16:45:18]	Sergeant LS-7979 used command '/Roll'.
[16:45:23]	R2-Z7 rolled 23 out of 100.
[16:45:23]	R2-Z7 used command '/Roll'.
[16:45:35]	[ME] Private IN-5515: punches in helmet lense
[16:46:03]	R2-Z7 ran 'drop' on item 'Alien Pistol' (#1038)
[16:46:03]	R2-Z7 has lost a 'Alien Pistol' #1038.
[16:46:10]	[LOOC] Sergeant LS-7979: prt sc
[16:46:15]	R2-Z7 ran 'take' on item 'Alien Pistol' (#1038)
[16:46:15]	R2-Z7 has gained a 'Alien Pistol' #1038.
[16:48:02]	[ME] Sergeant LS-7979: attempts to dodge.
[16:48:04]	R2-Z7 has spawned 'models/Gibs/Antlion_gib_Large_2.mdl'.
[16:48:17]	R2-Z7 has spawned 'models/Gibs/Antlion_gib_Large_2.mdl'.
[16:48:27]	R2-Z7 has spawned 'models/Gibs/HGIBS.mdl'.
[16:48:46]	[ME] Sergeant LS-7979: sends a right hook to his temple.
[16:50:19]	[IT] Sergeant LS-7979: You are dazed. 3 more punches and you are out cold.
[16:50:21]	[ME] Private IN-5515: punches the mans temple because fuck you
[16:50:27]	[ME] Sergeant LS-7979: attempts to dodge.
[16:51:38]	[ME] Sergeant LS-7979: attempts to send a right roundhouse kick to the head.
[16:53:31]	[ME] Private IN-5515: takes it
[16:54:21]	[ME] Private IN-5515: nut shots with foot
[16:55:09]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:31]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:40]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:04]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:16]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
