[19:31:19]	FB|| light ROOM has connected.
[19:32:02]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[19:33:48]	matt saton has connected.
[19:34:05]	Mr. Chief has connected.
[19:34:57]	matt saton loaded the character 'Lieutenant Ezyn Linmer'
[19:35:09]	Lieutenant Ezyn Linmer entered observer.
[19:36:18]	Mr. Chief loaded the character 'Flight Petty Officer Third Class John Tzar'
[19:36:22]	Flight Petty Officer Third Class John Tzar entered observer.
[19:36:24]	Doughnut has connected.
[19:36:27]	Flight Petty Officer Third Class John Tzar exited observer at their location.
[19:36:27]	Flight Petty Officer Third Class John Tzar entered observer.
[19:36:30]	Flight Petty Officer Third Class John Tzar exited observer at their location.
[19:37:03]	Doughnut loaded the character 'Petty Officer Second Class Arnold Jackson'
[19:37:07]	Petty Officer Second Class Arnold Jackson entered observer.
[19:37:15]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:37:15]	Petty Officer Second Class Arnold Jackson has taken 1 damage from door22.
[19:37:15]	Petty Officer Second Class Arnold Jackson has taken 1 damage from door22.
[19:37:15]	Petty Officer Second Class Arnold Jackson has taken 1 damage from door22.
[19:37:16]	Petty Officer Second Class Arnold Jackson entered observer.
[19:37:17]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:37:28]	Flight Petty Officer Third Class John Tzar entered observer.
[19:37:29]	Flight Petty Officer Third Class John Tzar exited observer at their location.
[19:37:44]	Lieutenant Ezyn Linmer used command '/DeleteErrorModels'.
[19:37:59]	FB|| light ROOM loaded the character 'Corporal ST-7886'
[19:39:16]	[OOC] Corporal ST-7886: bruh
[19:39:29]	DRD has connected.
[19:39:51]	[OOC] Corporal ST-7886: Can you add 2 stat points to Con on this char?
[19:40:41]	Lieutenant Ezyn Linmer exited observer at their location.
[19:40:41]	Lieutenant Ezyn Linmer entered observer.
[19:40:42]	Lieutenant Ezyn Linmer exited observer at their location.
[19:40:43]	Lieutenant Ezyn Linmer entered observer.
[19:41:13]	Mr. Chicken has connected.
[19:41:28]	DRD (STEAM_0:0:193599766) has disconnected.
[19:41:46]	Lieutenant Ezyn Linmer exited observer at their location.
[19:41:46]	Lieutenant Ezyn Linmer entered observer.
[19:41:51]	Lieutenant Ezyn Linmer exited observer at their location.
[19:41:52]	Lieutenant Ezyn Linmer entered observer.
[19:41:59]	Lieutenant Ezyn Linmer exited observer at their location.
[19:42:02]	Mr. Chicken loaded the character 'Flight Crewman Third Class Dash Rene'
[19:42:12]	Lieutenant Ezyn Linmer entered observer.
