[22:35:46]	Doughnut has connected.
[22:36:12]	Doughnut loaded the character 'Trainee RG-3506'
[22:36:13]	Trainee RG-3506 entered observer.
[22:38:14]	DRD has connected.
[22:44:31]	DRD loaded the character 'Petty Officer Third Class Karissa Novar'
[22:44:41]	[OOC] Petty Officer Third Class Karissa Novar: cu nt
[22:44:48]	[OOC] Trainee RG-3506: bi tch
[22:44:56]	Trainee RG-3506 exited observer at their location.
[22:45:12]	Trainee RG-3506 used command '/ToggleRaise'.
[22:45:15]	Petty Officer Third Class Karissa Novar has taken 1 damage from door70.
[22:45:15]	Petty Officer Third Class Karissa Novar has taken 115 damage from Trainee RG-3506.
[22:45:15]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_royal_guard_staff.
[22:45:16]	Trainee RG-3506 used command '/ToggleRaise'.
[22:45:21]	Petty Officer Third Class Karissa Novar has taken 1 damage from Trainee RG-3506.
[22:45:26]	Trainee RG-3506 used command '/ToggleRaise'.
[22:45:27]	Petty Officer Third Class Karissa Novar has spawned 'models/kingpommes/starwars/playermodels/astromech.mdl'.
[22:45:28]	Petty Officer Third Class Karissa Novar has spawned 'models/kingpommes/starwars/playermodels/astromech.mdl'.
[22:45:30]	Petty Officer Third Class Karissa Novar has taken 112 damage from Trainee RG-3506.
[22:45:30]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_royal_guard_staff.
[22:45:35]	Petty Officer Third Class Karissa Novar has taken 1 damage from Trainee RG-3506.
[22:45:36]	Petty Officer Third Class Karissa Novar has taken 1 damage from Trainee RG-3506.
[22:45:40]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[22:45:42]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[22:45:43]	Trainee RG-3506 entered observer.
[22:45:53]	Trainee RG-3506 exited observer at their location.
[22:45:54]	[LOOC] Petty Officer Third Class Karissa Novar: no sound
[22:45:56]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:45:56]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:45:56]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:45:56]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:45:56]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with weapon_lightsaber.
[22:46:05]	[OOC] Trainee RG-3506: join vc
[22:46:06]	Trainee RG-3506 used command '/ToggleRaise'.
[22:46:12]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:12]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:12]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:12]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:12]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with weapon_lightsaber.
[22:46:19]	[OOC] Petty Officer Third Class Karissa Novar: phone charge
[22:46:22]	[OOC] Trainee RG-3506: wack
[22:46:29]	[OOC] Trainee RG-3506: why tf can you even spawn lightsabers?
[22:46:35]	[OOC] Petty Officer Third Class Karissa Novar: no clue
[22:46:39]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:39]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:39]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:39]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:46:39]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with gmod_tool.
[22:46:50]	Trainee RG-3506 used command '/CharTakeFlag karissa w'.
[22:46:57]	[OOC] Trainee RG-3506: try now
[22:47:01]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
[22:47:01]	Trainee RG-3506 has taken 25 damage from Petty Officer Third Class Karissa Novar.
